Strizirep	Strizirep	I
–	–	Z
Ž6166	Ž6166	X
6,6	6,6	Mdc
LC	LC	Y
67124	67124	Mdc
D8	D8	Xf
–	–	Z
Brzet	Brzet	Npmsn
–	–	Z
Nemira	nemir	Ncmsg
(	(	Z
D8	D8	X
)	)	Z
2,5	2,5	Mdc
LC	LC	Npmsn
67125	67125	Mdc
Ž6167	Ž6167	X
–	–	Z
Čelina	Čelina	Npfsn
(	(	Z
D8	D8	X
)	)	Z
0,7	0,7	Mdc
LC	LC	Npmsn
67126	67126	Mdc
Ž6164	Ž6164	X
–	–	Z
Postire	Postira	Npfsg
–	–	Z
Ž6161	Ž6161	X
2,4	2,4	Mdc
LC	LC	Y
67127	67127	Mdc
Ž6260	Ž6260	X
–	–	Z
Zečići	zečić	Ncmpn
–	–	Z
Kovačevići	Kovačević	Npmpn
–	–	Z
Kreševo	Kreševo	Npnsa
(	(	Z
Ž6171	Ž6171	X
)	)	Z
5,6	5,6	Mdc
LC	LC	Npmsn
67128	67128	Mdc
D70	D70	X
–	–	Z
Smolovje	Smolovja	Npfsg
0,7	0,7	Mdc
LC	LC	Y
67129	67129	Mdc
D70	D70	X
–	–	Z
Kostanje	kostanje	Ncnsn
(	(	Z
Ž6169	Ž6169	X
)	)	Z
2,8	2,8	Mdc
LC	LC	Npmsn
67131	67131	Mdc
Jerčići	Jerčići	Xf
–	–	Z
Podgrađe	Podgrađa	Npfsg
(	(	Z
Ž6169	Ž6169	X
)	)	Z
1,3	1,3	Mdc
LC	LC	Y
67132	67132	Mdc
Lokva	Lokva	Npfsn
(	(	Z
Crkva	crkva	Ncfsn
)	)	Z
–	–	Z
Ž6167	Ž6167	X
1,6	1,6	Mdc
LC	LC	Y
67133	67133	Mdc
Ž6166	Ž6166	X
–	–	Z
Crkva	crkva	Ncfsn
Svetog	svet	Agpmsgy
Duha	duh	Ncmsg
–	–	Z
Ž6166	Ž6166	X
1,4	1,4	Mdc
LC	LC	Y
67134	67134	Mdc
Ž6166	Ž6166	X
–	–	Z
Dubci	Dubc	Npmpn
(	(	Z
D39	D39	X
)	)	Z
5,5	5,5	Mdc
LC	LC	Npmsn
67135	67135	Mdc
Mimice	Mimica	Npfsg
–	–	Z
D8	D8	X
0,6	0,6	Mdc
LC	LC	Y
67136	67136	Mdc
D8	D8	Xf
–	–	Z
Pisak	pisak	Ncmsn
0,3	0,3	Mdc
LC	LC	Y
67137	67137	Mdc
D39	D39	X
–	–	Z
Kula	kula	Ncfsn
–	–	Z
D60	D60	X
2,7	2,7	Mdc
LC	LC	Npmsn
67138	67138	Mdc
Katuni	Katun	Npmpn
(	(	Z
D39	D39	X
)	)	Z
–	–	Z
Šarići	Šarić	Npmpn
(	(	Z
L67139	L67139	X
)	)	Z
3,0	3,0	Mdc
LC	LC	Npmsn
67139	67139	Mdc
Opanci	Opanc	Npmpn
(	(	Z
Ž6173	Ž6173	X
)	)	Z
–	–	Z
Žeževica	Žeževica	Npfsn
(	(	Z
Ž6172	Ž6172	X
)	)	Z
5,1	5,1	Mdc
LC	LC	Y
67140	67140	Mdc
Žeževica	Žeževica	Npfsn
(	(	Z
Ž6172	Ž6172	X
)	)	Z
–	–	Z
D62	D62	X
3,6	3,6	Mdc
LC	LC	Y
67141	67141	Mdc
Lovreć	Lovreć	Npfsn
(	(	Z
D60	D60	X
)	)	Z
–	–	Z
Čaljkušići	Čaljkušići	Npfsl
–	–	Z
Goričaj	Goričaj	Npmsn
(	(	Z
Ž6179	Ž6179	X
)	)	Z
6,1	6,1	Mdc
LC	LC	Y
67142	67142	Mdc
Lovreć	Lovreć	Npfsn
(	(	Z
L67141	L67141	X
)	)	Z
–	–	Z
Ž6179	Ž6179	X
