koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

Izvještaj	izvještaj	Ncmsn
Tip	tip	Ncmsn
vrijednosti	vrijednost	Ncfsg
Redak	redak	Ncmsn
Stupac	Stupac	Npmsn
Tag	Tag	Npmsn
C	C	Npmsn
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
080	080	Mdc
050	050	Mdc
0080050	0080050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
090	090	Mdc
050	050	Mdc
0090050	0090050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
091	091	Mdc
050	050	Mdc
0091050	0091050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
092	092	Mdc
050	050	Mdc
0092050	0092050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
120	120	Mdc
050	050	Mdc
0120050	0120050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
130	130	Mdc
050	050	Mdc
0130050	0130050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
133	133	Mdc
050	050	Mdc
0133050	0133050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
136	136	Mdc
050	050	Mdc
0136050	0136050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
138	138	Mdc
050	050	Mdc
0138050	0138050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
150	150	Mdc
050	050	Mdc
0150050	0150050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
160	160	Mdc
050	050	Mdc
0160050	0160050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
170	170	Mdc
050	050	Mdc
0170050	0170050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
180	180	Mdc
050	050	Mdc
0180050	0180050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
190	190	Mdc
050	050	Mdc
0190050	0190050	Mdc
C	C	Y
05.01	05.01	Mdc
Postotak	postotak	Ncmsn
