se	sebe	Px--sa
Zvanje	zvanje	Ncnsn
ZAPOVJEDNIK	zapovjednik	Ncmsn
–	–	Z
A	a	Cc

a	a	Cc
)	)	Z
Navigacija	navigacija	Ncfsn
i	i	Cc
signalizacija	signalizacija	Ncfsn
–	–	Z
usmeni	usmen	Agpmpny
i	i	Cc
pismeni	pismen	Agpmsayn
ispit	ispit	Ncmsan

–	i	Agpfsny
Regulacija	regulacija	Ncfsn
unutarnji	unutarnji	Agpmpny
plovnih	plovan	Agpmpgy
putova	put	Ncmpg
za	za	Sa
veliku	velik	Agpfsay
i	i	Cc
malu	mali	Agpfsay
vodu	voda	Ncfsa
;	;	Z

–		Agcnsay
Vezivanje	vezivanje	Ncnsa
plovila	plovilo	Ncnsg
–	–	Z
vrste	vrsta	Ncfsg
i	i	Cc
nazivi	naziv	Ncmpn
užadi	uže	Ncfsg
;	;	Z

–		Agcnsay
Manevriranje	manevriranje	Ncnsa
plovila	plovilo	Ncnsg
i	i	Cc
sastava	sastav	Ncmsg
;	;	Z

–	i	Agpnsny
Vođenje	vođenje	Ncnsn
plovila	plovilo	Ncnsg
–	–	Pi-nsa
kormilarenje	kormilarenje	Ncnsa
(	(	Z
danju	danju	Rgp
i	i	Cc
noću	noću	Rgp
)	)	Z
;	;	Z

–	–	Agpmpny
Navigacijski	navigacijski	Agpmpny
instrumenti	instrument	Ncmpn
i	i	Cc
pomagala	pomagalo	Ncnpn
;	;	Z

–	i	Agpfpny
Nezgode	nezgoda	Ncfpn
(	(	Z
havarije	havarija	Ncfsg
)	)	Z
plovila	plovilo	Ncnsg
i	i	Cc
sastava	sastav	Ncmsg
i	i	Cc
upotreba	upotreba	Ncfpg
opreme	oprema	Ncfsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
;	;	Z

–	i	Agpfsny
Protupožarna	protupožarni	Agpfsny
zaštita	zaštita	Ncfsn
i	i	Cc
upotreba	upotreba	Ncfsn
protupožarne	protupožarni	Agpfsgy
opreme	oprema	Ncfsg
;	;	Z

–	–	Z
Riječne	riječni	Agpfpny
luke	luka	Ncfpn
,	,	Z
pristaništa	pristanište	Ncnsg
i	i	Cc
tovarišta	tovarište	Ncnsg
;	;	Z

–	–	Z
Brodske	brodski	Agpfsgy
prevodnice	prevodnica	Ncfsg
,	,	Z
manevar	manevar	Ncmsn
prevođenja	prevođenje	Ncnsg
;	;	Z

–	–	Sa
Bazenska	bazenski	Agpnpay
pristaništa	pristanište	Ncnpa
,	,	Z
zimovnici	zimovnik	Ncmpn
i	i	Cc
zimska	zimski	Agpnpay
skloništa	sklonište	Ncnpa
;	;	Z

–	i	Agpfsny
Ekonomičnost	ekonomičnost	Ncfsn
riječnog	riječni	Agpmsgy
prometa	promet	Ncmsg
,	,	Z
ekonomična	ekonomičan	Agpfsny
i	i	Cc
sigurnosna	sigurnosni	Agpfsny
brzina	brzina	Ncfsn
;	;	Z

–	–	Agpmsny
Europski	europski	Agpmsny
unutarnji	unutarnji	Agpmpny
plovni	plovan	Agpmpny
putovi	put	Ncmpn

–	–	Pd-mpn
Plovni	plovan	Agpmpny
putovi	put	Ncmpn
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl

–	–	Z
Dnevni	dnevni	Agpmsny
i	i	Cc
noćni	noćni	Agpmpny
znaci	znak	Ncmpn
plovila	plovilo	Ncnpg
,	,	Z
te	te	Cc
zvučni	zvučan	Agpmpny
signali	signal	Ncmpn
u	u	Sl
plovidbi	plovidba	Ncfsl
i	i	Cc
stajanju	stajanje	Ncnsl
;	;	Z

–	i	Agpnsgy
Pravila	pravilo	Ncnsg
plovidbe	plovidba	Ncfpa
u	u	Sl
svim	sav	Agpmply
vremenskim	vremenski	Agpmply
uvjetima	uvjet	Ncmpl
;	;	Z

–	i	Agpnsny
Obilježavanje	obilježavanje	Ncnsn
plovnog	plovan	Agpmsgy
puta	put	Ncmsg
i	i	Cc
objekti	objekt	Ncmpn
sigurnosti	sigurnost	Ncfsg
