neosnovane	neosnovan	Agpmpay
prigovore	prigovor	Ncmpa
da	da	Cs
bi	biti	Vaa3s
u	u	Sl
slučaju	slučaj	Ncmsl
Hypo	Hypo	Npmsn
bila	biti	Vap-sf
riječ	riječ	Ncfsn
o	o	Sl
političkom	politički	Agpmsly
progonu	progon	Ncmsl
podnositelja	podnositelj	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
o	o	Sl
političkoj	politički	Agpfsly
odluci	odluka	Ncfsl
da	da	Cs
se	sebe	Px--sa
protiv	protiv	Sg
njega	on	Pp3msg
poduzme	poduzeti	Vmr3s
kazneni	kazneni	Agpmsayn
progon	progon	Ncmsan
.	.	Z

2	2	Mdc
)	)	Z
Prigovor	prigovor	Ncmsan
o	o	Sl
povredi	povreda	Ncfsl
prava	pravo	Ncnpg
na	na	Sa
jednakost	jednakost	Ncfsa
oružja	oružje	Ncnsg

185.	185.	Mdo

Podnositelj	podnositelj	Ncmsn
je	biti	Var3s
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
prigovorio	prigovoriti	Vmp-sm
da	da	Cs
mu	on	Pp3msd
je	biti	Var3s
povrijeđeno	povrijeđen	Agpnsny
pravo	pravo	Ncnsn
na	na	Sa
jednakost	jednakost	Ncfsa
oružja	oružje	Ncnsg
(	(	Z
članak	članak	Ncmsn
29.	29.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
alineja	alineja	Ncfsn
6.	6.	Mdo
Ustava	ustava	Ncfsn
i	i	Cc
članak	članak	Ncmsn
6.	6.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
točka	točka	Ncfsn
(	(	Z
d	d	X
)	)	Z
Konvencije	konvencija	Ncfpn
)	)	Z
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
odbijanje	odbijanje	Ncnsa
suda	sud	Ncmsg
da	da	Cs
ispita	ispitati	Vmr3s
dva	dva	Mlc
svjedoka	svjedok	Ncmsg
koja	koji	Pi-fsn
je	biti	Var3s
predložila	predložiti	Vmp-sf
njegova	njegov	Ps3fsn
obrana	obrana	Ncfsn
(	(	Z
svjedoke	svjedok	Ncmpa
Davida	David	Npmsay
Teachera	Teacher	Npmsay
