godišnji	godišnji	Agpmsny
plan	plan	Ncmsn
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
koje	koji	Pi-fpa
donosi	donositi	Vmr3s
obveznik	obveznik	Ncmsn
planiranja	planiranje	Ncnsg
,	,	Z

10.	10.	Mdo
podatci	podatak	Ncmpn
o	o	Sl
provedenim	provesti	Agpfply
mjerama	mjera	Ncfpl
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
–	–	Z
podatci	podatak	Ncmpn
kojima	koji	Pi-mpi
se	sebe	Px--sa
identificira	identificirati	Vmr3s
provedena	provesti	Appfsny
mjera	mjera	Ncfsn
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
i	i	Cc
ulazni	ulazan	Agpmpny
podatci	podatak	Ncmpn
za	za	Sa
izračun	izračun	Ncmsan
ili	ili	Cc
mjerenje	mjerenje	Ncnsa
ušteda	ušteda	Ncfpg
utvrđenim	utvrditi	Appmply
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

11.	11.	Mdo
potporne	potporni	Agpfsgy
mjere	mjera	Ncfsg
–	i	Agpfpay
mjere	mjera	Ncfpa
povećanja	povećanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
koje	koji	Pi-fpn
za	za	Sa
rezultat	rezultat	Ncmsan
nemaju	nemati	Vmr3p
mjerljivu	mjerljiv	Agpfsay
uštedu	ušteda	Ncfsa
,	,	Z
te	te	Cc
se	sebe	Px--sa
ne	ne	Qz
pripisuju	pripisivati	Vmr3p
nositelju	nositelj	Ncmsl
ušteda	ušteda	Ncfpg
,	,	Z

12.	12.	Mdo
praćenje	praćenje	Ncnsa
ušteda	ušteda	Ncfpg
energije	energija	Ncfsg
–	–	Z
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
provedbe	provedba	Ncfsg
mjera	mjera	Ncfpg
za	za	Sa
povećanje	povećanje	Ncnsa
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
koje	koji	Pi-fpn
su	biti	Var3p
rezultat	rezultat	Ncmsn
energetske	energetski	Agpfsgy
usluge	usluga	Ncfsg
ili	ili	Cc
provedbe	provedba	Ncfsg
mjere	mjera	Ncfsg
poboljšanja	poboljšanje	Ncnsg
energetske	energetski	Agpfsgy
učinkovitosti	učinkovitost	Ncfsg
obveznika	obveznik	Ncmpg
planiranja	planiranje	Ncnsg
,	,	Z
a	a	Cc
provodi	provoditi	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
i	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

13.	13.	Mdo
verifikacija	verifikacija	Ncfsn
ušteda	ušteda	Ncfpg
energije	energija	Ncfsg
