djevojaka	djevojka	Ncfpg
,	,	Z
običaji	običaj	Ncmpn
za	za	Sa
svetu	svet	Agpfsay
Luciju	Lucija	Ncfsa
,	,	Z
božićni	božićni	Agpmpny
običaji	običaj	Ncmpn
,	,	Z
Kneževi	knežev	Agpmpny
Vinogradi	vinograd	Ncmpn
5.000,00	5.000,00	Mdc
–	–	Z
Međunarodni	međunarodni	Agpmsny
susret	susret	Ncmsn
–	–	Z
smotra	smotra	Ncfsn
glazbeno	glazbeno	Rgp
pjevačkih	pjevački	Agpmpgy
sastava	sastav	Ncmpg
i	i	Cc
likovna	likovni	Agpfsny
kolonija	kolonija	Ncfsn
,	,	Z
Kneževi	knežev	Agpmpny
Vinogradi	vinograd	Ncmpn
10.000,00	10.000,00	Mdc
–	–	Z
Večer	večer	Ncfsn
mađarskog	mađarski	Agpmsgy
folklora	folklor	Ncmsg
,	,	Z
Kneževi	knežev	Agpmpny
Vinogradi	vinograd	Ncmpn
8.000,00	8.000,00	Mdc
4.13.	4.13.	Mdo

CENTAR	centar	Ncmsn
ZA	za	Sa
KULTURU	kultura	Ncfsa
I	i	Cc
OBUČAVANJE	obučavanje	Ncnsa
SAVEZA	savez	Ncmsg
MAĐARSKIH	mađarski	Agpfpgy
UDRUGA	udruga	Ncfpg
»	»	Z
SZTARAI	SZTARAI	Xf
MIHALY	MIHALY	Xf
«	«	Z
BELI	beli	Agpmsny
MANASTIR	manastir	Ncmsn
60.000,00	60.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
60.000,00	60.000,00	Mdc
–	–	Z
obučavanje	obučavanje	Ncnsn
narodne	narodni	Agpfsgy
glazbe	glazba	Ncfsg
–	–	Z
obučavanje	obučavanje	Ncnsa
narodnog	narodni	Agpmsgy
plesa	ples	Ncmsg
4.14.	4.14.	Mdo

KULTURNO	kulturan	Agpnsny
UMJETNIČKO	umjetnički	Agpnsny
DRUŠTVO	društvo	Ncnsn
»	»	Z
PETEFI	PETEFI	Npmsn
ŠANDOR	ŠANDOR	Npmsn
«	«	Z
MARINCI	marinac	Ncmpn
40.000,00	40.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
Plesna	plesni	Agpfsny
skupina	skupina	Ncfsn
30.000,00	30.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Smotra	smotra	Ncfsn
folklora	folklor	Ncmsg
»	»	Z
Zavjetni	zavjetan	Agpmsayn
dan	dan	Ncmsan
«	«	Z
,	,	Z
Marinci	marinac	Ncmpn
10.000,00	10.000,00	Mdc
4.15.	4.15.	Mdo

MAĐARSKO	mađarski	Agpnsny
KULTURNO	kulturan	Agpnsny
DRUŠTVO	društvo	Ncnsn
»	»	Z
MORICZ	MORICZ	Npmsn
ZSIGMOND	ZSIGMOND	Npmsn
«	«	Z
PULA	Pula	Npfsn
20.000,00	20.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
njegovanje	njegovanje	Ncnsn
tradicijske	tradicijski	Agpfsgy
kulture	kultura	Ncfsg
(	(	Z
folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
,	,	Z
zbor	zbor	Ncmsn
,	,	Z
kreativna	kreativan	Agpfsny
radionica	radionica	Ncfsn
)	)	Z
12.000,00	12.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Dani	dan	Ncmpn
mađarske	mađarski	Agpfsgy
kulture	kultura	Ncfsg
,	,	Z
Pula	Pula	Npfsn
8.000,00	8.000,00	Mdc
4.16.	4.16.	Mdo

UDRUGA	udruga	Ncfsn
MLADEŽI	mladež	Ncfsg
ZA	za	Sa
NJEGOVANJE	njegovanje	Ncnsa
OBIČAJA	običaj	Ncmsg
MAĐARA	Mađar	Npmsg
NOVI	nov	Agpmsny
BEZDAN	bezdan	Ncmsn
52.000,00	52.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
47.000,00	47.000,00	Mdc
–	–	Z
folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
–	–	Z
etnosekcija	etnosekcija	Ncfpg
za	za	Sa
njegovanje	njegovanje	Ncnsa
običaja	običaj	Ncmsg
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Međunarodni	međunarodni	Agpmsny
susret	susret	Ncmsn
mađarskih	mađarski	Agpmpgy
narodnih	narodni	Agpmpgy
glazbenih	glazben	Agpmpgy
sastava	sastav	Ncmpg
,	,	Z
Novi	nov	Agpmsny
Bezdan	Bezdan	Npmsn
5.000,00	5.000,00	Mdc
4.17.	4.17.	Mdo

ZAJEDNICA	zajednica	Ncfsn
MAĐARA	Mađar	Npmsg
GRUBIŠNOG	grubišni	Agpnsgy
POLJA	polje	Ncnsg
25.000,00	25.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
ženska	ženski	Agpfsny
pjevačka	pjevački	Agpfsny
skupina	skupina	Ncfsn
,	,	Z
mješovita	mješovit	Agpfsny
plesna	plesni	Agpfsny
skupina	skupina	Ncfsn
odraslih	odrastao	Agpmpgy
,	,	Z
dječja	dječji	Agpfsny
plesna	plesni	Agpfsny
skupina	skupina	Ncfsn
,	,	Z
dječja	dječji	Agpfsny
pjevačka	pjevački	Agpfsny
skupina	skupina	Ncfsn
,	,	Z
tamburaška	tamburaški	Agpfsny
sekcija	sekcija	Ncfsn
,	,	Z
dječja	dječji	Agpfsny
igraonica	igraonica	Ncfsn
,	,	Z
dramska	dramski	Agpfsny
sekcija	sekcija	Ncfsn
15.000,00	15.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
dan	dan	Ncmsan
etnokuće	etnokuća	Ncfsg
Bilogora	Bilogor	Npmsg
,	,	Z
Grubišno	grubišan	Agpnsny
Polje	polje	Ncnsn
10.000,00	10.000,00	Mdc
4.18.	4.18.	Mdo

CIVILNI	civilan	Agpmsny
CENTAR	centar	Ncmsn
DEAK	DEAK	Npmsn
FERENC	FERENC	Npmsn
,	,	Z
LUG	lug	Ncmsn
48.000,00	48.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
38.000,00	38.000,00	Mdc
–	–	Z
Mješoviti	mješovit	Agpmsny
pjevački	pjevački	Agpmsny
zbor	zbor	Ncmsn
–	–	Z
Ženska	ženski	Agpfsny
folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
–	–	Z
Dramska	dramski	Agpfsny
sekcija	sekcija	Ncfsn
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Dan	dan	Ncmsn
mađarske	mađarski	Agpfsgy
kulture	kultura	Ncfsg
/	/	Z
Lug	lug	Ncmsn
2015	2015	Mdc
5.000,00	5.000,00	Mdc
–	–	Z
Međunarodna	međunarodni	Agpfsny
smotra	smotra	Ncfsn
kulturnog	kulturan	Agpnsgy
stvaralaštva	stvaralaštvo	Ncnsg
,	,	Z
Lug	lug	Ncmsn
5.000,00	5.000,00	Mdc
4.19.	4.19.	Mdo

MAĐARSKO	mađarski	Agpnsny
KULTURNO	kulturan	Agpnsny
UMJETNIČKO	umjetnički	Agpnsny
DRUŠTVO	društvo	Ncnsn
,	,	Z
DARDA	DARD	Npmsg
44.000,00	44.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
30.000,00	30.000,00	Mdc
–	–	Z
mješovita	mješovit	Agpfsny
folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
–	–	Z
ženski	ženski	Agpmsny
pjevački	pjevački	Agpmsny
zbor	zbor	Ncmsn
–	–	Z
dječja	dječji	Agpfsny
folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
9.	9.	Mdo
smotra	smotra	Ncfsn
mađarskih	mađarski	Agpmpgy
zborova	zbor	Ncmpg
,	,	Z
Darda	Darda	Npfsn
7.000,00	7.000,00	Mdc
–	–	Z
10.	10.	Mdo
smotra	smotra	Ncfsn
mađarskog	mađarski	Agpmsgy
folklora	folklor	Ncmsg
,	,	Z
Darda	Darda	Npfsn
7.000,00	7.000,00	Mdc
4.20.	4.20.	Mdo

ZAJEDNICA	zajednica	Ncfsn
MAĐARA	Mađar	Npmsg
KOPRIVNIČKO-KRIŽEVAČKE	koprivničko-križevački	Agpfsgy
ŽUPANIJE	županija	Ncfsg
15.000,00	15.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
tamburaški	tamburaški	Agpmsny
orkestar	orkestar	Ncmsn
i	i	Cc
glazbena	glazben	Agpfsny
skupina	skupina	Ncfsn
10.000,00	10.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
proslava	proslava	Ncfsn
Dana	Dan	Npmsg
Mađara	Mađar	Npmsg
KKŽ	KK	Npmsg
,	,	Z
Pakrac	Pakrac	Npmsn
,	,	Z
Velika	velik	Agpfsny
Pisanica	pisanica	Ncfsn
i	i	Cc
Kapošvar	Kapošvar	Npmsn
5.000,00	5.000,00	Mdc
4.21.	4.21.	Mdo

DRUŠTVO	društvo	Ncnsn
MAĐARA	Mađar	Npmsg
LIPIK	LIPIK	Npmsn
25.000,00	25.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
–	–	Z
etnosekcija	etnosekcija	Ncfsn
15.000,00	15.000,00	Mdc
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
Kulturni	kulturan	Agpmpny
dani	dan	Ncmpn
Mađara	Mađar	Npmsg
–	–	Z
10.	10.	Mdo
jubilarni	jubilaran	Agpmpny
–	–	Z
obilježavanje	obilježavanje	Ncnsa
10	10	Mdc
godina	godina	Ncfpg
