Vularija	Vularija	Npfsn
–	–	Npfsn
Orehovica	Orehovica	Npfsn
(	(	Z
Ž2022	Ž2022	X
)	)	Z
2,3	2,3	Mdc
ŽC	ŽC	Npmsn
2056	2056	Mdc
Trakošćan	Trakošćan	Npmsn
(	(	Z
Ž2258	Ž2258	X
)	)	Z
–	–	Z
Jazbina	jazbina	Ncfsn
Cvetlinska	Cvetlinska	Npfsn
–	–	Z
Donja	donji	Agpnpny
Voća	voće	Ncnpn
–	–	Z
Kanjiri	Kanjiri	Npmsn
–	–	Z
Ž2101	Ž2101	X
20,2	20,2	Mdc
ŽC	ŽC	Npmsn
2057	2057	Mdc
Ž2056	Ž2056	X
–	–	Z
Žarovnica	Žarovnica	Npfsn
–	–	Z
Ž2101	Ž2101	X
7,4	7,4	Mdc
ŽC	ŽC	Npmsn
2058	2058	Mdc
Kameničko	kamenički	Agpnsny
Podgorje	podgorje	Ncnsn
(	(	Z
L25013	L25013	X
)	)	Z
–	–	Z
Ž2101	Ž2101	X
3,4	3,4	Mdc
ŽC	ŽC	Y
2059	2059	Mdc
Klenovnik	Klenovnik	Npmsn
(	(	Z
Ž2243	Ž2243	X
)	)	Z
–	–	Z
Koškovec	Koškovec	Npmsn
–	–	Z
D35	D35	X
8,8	8,8	Mdc
ŽC	ŽC	Y
2060	2060	Mdc
Biljevec	Biljevec	Npmsn
(	(	Z
Ž2029	Ž2029	X
)	)	Z
–	–	Z
Maruševec	Maruševec	Npmsn
–	–	Z
Korenjak	Korenjak	Npmsn
–	–	Z
Ribić	Ribić	Npmsn
Breg	Br	Npmsi
–	–	Z
Ž2101	Ž2101	X
9,3	9,3	Mdc
ŽC	ŽC	Npmsn
2061	2061	Mdc
D35	D35	X
–	–	Z
Krkanec	Krkanec	Npmsn
–	–	Z
Tužno	tužan	Agpnsny
(	(	Z
Ž2063	Ž2063	X
)	)	Z
3,7	3,7	Mdc
ŽC	ŽC	Npmsn
2062	2062	Mdc
Ž2060	Ž2060	X
–	–	Z
Maruševec	Maruševec	Npmsn
–	–	Z
Cerje	Cerja	Npfsg
Nebojse	Nebojsa	Npfsg
–	–	Z
Ž2059	Ž2059	X
5,6	5,6	Mdc
ŽC	ŽC	Npmsn
2063	2063	Mdc
D35	D35	X
–	–	Z
Tužno	tužan	Agpnsny
–	–	Z
Črešnjevo	črešnjev	Aspnsay
–	–	Z
Beretinec	Beretinec	Npmsn
(	(	Z
Ž2050	Ž2050	X
)	)	Z
8,5	8,5	Mdc
ŽC	ŽC	Npmsn
2064	2064	Mdc
Ž2063	Ž2063	X
–	–	Z
Cerje	cerje	Ncnsn
–	–	Z
Tužno	tužan	Agpnsny
–	–	Z
Gačice	Gačica	Npfpn
–	–	Z
Gradišće	Gradišće	Npnsn
–	–	Z
Ž2105	Ž2105	X
5,1	5,1	Mdc
ŽC	ŽC	Npmsn
2065	2065	Mdc
Tužno	tužan	Agpnsny
(	(	Z
Ž2063	Ž2063	X
)	)	Z
–	–	Z
Pece	Pece	Npmsn
(	(	Z
Ž2105	Ž2105	X
)	)	Z
5,0	5,0	Mdc
ŽC	ŽC	Npmsn
2066	2066	Mdc
