plaćanjima	plaćanje	Ncnpi
,	,	Z
povratima	povrat	Ncmpl
sredstava	sredstvo	Ncnpg
i	i	Cc
sl.	sl.	Y

9.1.2.	9.1.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
financijsko	financijski	Agpnsay
upravljanje	upravljanje	Ncnsa
i	i	Cc
kontrole	kontrola	Ncfsg

Članak	članak	Ncmsn
153.	153.	Mdo

Služba	služba	Ncfsn
za	za	Sa
financijsko	financijski	Agpnsay
upravljanje	upravljanje	Ncnsa
i	i	Cc
kontrole	kontrola	Ncfpa
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
koordinacije	koordinacija	Ncfsg
uspostave	uspostava	Ncfsg
i	i	Cc
razvoja	razvoj	Ncmsg
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfpg
u	u	Sl
ustrojstvenim	ustrojstven	Agpfply
jedinicama	jedinica	Ncfpl
Ministarstva	ministarstvo	Ncnsg
;	;	Z
priprema	pripremati	Vmr3s
prijedlog	prijedlog	Ncmsan
godišnjeg	godišnji	Agpmsgy
plana	plan	Ncmsg
uspostave	uspostava	Ncfsg
i	i	Cc
razvoja	razvoj	Ncmsg
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfpg
i	i	Cc
godišnjeg	godišnji	Agpmsgy
plana	plan	Ncmsg
rada	rad	Ncmsg
,	,	Z
izrađuje	izrađivati	Vmr3s
naputke	naputak	Ncmpa
i	i	Cc
upute	uputa	Ncfpa
za	za	Sa
potrebe	potreba	Ncfpa
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfpg
,	,	Z
organizira	organizirati	Vmr3s
i	i	Cc
održava	održavati	Vmr3s
radionice	radionica	Ncfpa
vezano	vezano	Rgp
uz	uz	Sa
provedbu	provedba	Ncfsa
važećih	važeći	Agpmpgy
propisa	propis	Ncmpg
i	i	Cc
internih	interni	Agpfpgy
pisanih	pisan	Agpfpgy
uputa	uputa	Ncfpg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
razvojem	razvoj	Ncmsi
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfpg
,	,	Z
prati	pratiti	Vmr3s
provedbu	provedba	Ncfsa
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfpg
kod	kod	Sg
obveznika	obveznik	Ncmpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
priprema	pripremati	Vmr3s
izjavu	izjava	Ncfsa
o	o	Sl
fiskalnoj	fiskalan	Agpfsly
odgovornosti	odgovornost	Ncfsl
čelnika	čelnik	Ncmpg
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
provjerava	provjeravati	Vmr3s
sadržaj	sadržaj	Ncmsan
izjave	izjava	Ncfsg
o	o	Sl
fiskalnoj	fiskalan	Agpfsly
odgovornosti	odgovornost	Ncfsl
čelnika	čelnik	Ncmpg
obveznika	obveznik	Ncmpg
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
Ministarstva	ministarstvo	Ncnsg
,	,	Z
prati	pratiti	Vmr3s
i	i	Cc
koordinira	koordinirati	Vmr3s
provedbu	provedba	Ncfsa
plana	plan	Ncmsg
uspostave	uspostava	Ncfsg
i	i	Cc
razvoja	razvoj	Ncmsg
financijskog	financijski	Agpnsgy
upravljanja	upravljanje	Ncnsg
i	i	Cc
kontrola	kontrola	Ncfsn
te	te	Cc
pruža	pružati	Vmr3s
pomoć	pomoć	Ncfsa
ostalim	ostali	Agpfpiy
ustrojstvenim	ustrojstven	Agpfpiy
jedinicama	jedinica	Ncfpi
unutar	unutar	Sg
Ministarstva	ministarstvo	Ncnsg
