ciljem	cilj	Ncmsi
gdje	gdje	Rgp
je	biti	Var3s
primjenjivo	primjenjiv	Agpnsny
,	,	Z
certifikata	certifikat	Ncmpg
o	o	Sl
ponovnom	ponovan	Agpmsly
izvozu	izvoz	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prilikom	prilikom	Sg
stavljanja	stavljanje	Ncnsg
tuna	tuna	Ncfpg
u	u	Sa
uzgojne	uzgojan	Agpmpay
kaveze	kavez	Ncmpa
relevantni	relevantan	Agpmpny
BCD	bcd	Agpmpny
obrasci	obrazac	Ncmpn
mogu	moći	Vmr3p
se	sebe	Px--sa
grupirati	grupirati	Vmn
u	u	Sl
»	»	Z
Grupni	grupni	Agpmsayn
BCD	BCD	Npmsan
«	«	Z
koji	koji	Pi-msn
dobiva	dobivati	Vmr3s
novi	nov	Agpmsayn
broj	broj	Ncmsan
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
je	biti	Var3s
sva	sav	Agpfsny
riba	riba	Ncfsn
stavljena	staviti	Appfsny
u	u	Sa
isti	isti	Agpmsayn
uzgojni	uzgojan	Agpmsayn
kavez	kavez	Ncmsan
i	i	Cc
u	u	Sl
istom	isti	Agpmsly
danu	dan	Ncmsl
,	,	Z
i	i	Qo
to	to	Qo
u	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Rgp
je	biti	Var3s
ulov	ulov	Ncmsn
ostvaren	ostvariti	Appmsnn
kao	kao	Cs
:	:	Z

a	a	Cc
)	)	Z
više	mnogo	Rgc
ulova	ulov	Ncmpg
istog	isti	Agpnsgy
plovila	plovilo	Ncnsg
;	;	Z

b	b	Npmsn
)	)	Z
zajednički	zajednički	Agpmsny
ribolov	ribolov	Ncmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
»	»	Z
Grupni	grupni	Agpmsny
BCD	bcd	Ncmsn
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
sve	sav	Agpmpay
relevantne	relevantan	Agpmpay
BCD	bci	Agpmpay
obrasce	obrazac	Ncmpa
i	i	Cc
mora	morati	Vmr3s
ga	on	Pp3msa
pratiti	pratiti	Vmn
lista	listati	Vmr3s
tih	taj	Pd-mpg
obrazaca	obrazac	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Papirnati	papirnat	Agpmsny
BCD	BCD	Npmsn
može	moći	Vmr3s
se	sebe	Px--sa
zamijeniti	zamijeniti	Vmn
elektroničkim	elektronički	Agpmsiy
e-BCD	e-bc	Agpmsiy
dokumentom	dokument	Ncmsi
koji	koji	Pi-msn
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
kroz	kroz	Sa
ICCAT	ICCAT	Npmsan
sustav	sustav	Ncmsan
sukladno	sukladno	Rgp
ICCAT	icci	Agpfsly
preporuci	preporuka	Ncfsl
13	13	Mdc
-	-	Z
17.	17.	Mdo

(	(	Z
6	6	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
izdati	izdati	Vmn
BCD-a	BCD	Npmsg
obrazac	obrazac	Ncmsan
samo	samo	Rgp
za	za	Sa
ribarska	ribarski	Agpnpay
plovila	plovilo	Ncnpa
koja	koji	Pi-npn
