Toplice	toplice	Ncfpn
ŽC	ŽC	Y
2181	2181	Mdc
Sokolovac	Sokolovac	Npmsn
(	(	Z
D41	D41	X
)	)	Z
–	–	Z
Srijem	Srijem	Npmsan
–	–	Z
Široko	širok	Agpnsny
Selo	selo	Ncnsn
–	–	Z
Ž2212	Ž2212	X
11,1	11,1	Mdc
ŽC	ŽC	Npmsn
2182	2182	Mdc
Novigrad	Novigrad	Npmsn
Podravski	podravski	Agpmsny
(	(	Z
D2	D2	X
)	)	Z
–	–	Z
D.	D.	Y
Mosti	Moste	Ncfsl
–	–	Z
Kapela	kapela	Ncfsn
–	–	Z
Ž2143	Ž2143	X
21,6	21,6	Mdc
ŽC	ŽC	Npmsn
2183	2183	Mdc
Virje	Virje	Npnsa
(	(	Z
D2	D2	X
)	)	Z
–	–	Z
Šemovci	Šemovc	Npmpn
(	(	Z
D43	D43	X
)	)	Z
4,6	4,6	Mdc
ŽC	ŽC	Npmsn
2184	2184	Mdc
Molve	Molva	Npfsg
(	(	Z
D210	D210	Npmsn
)	)	Z
–	–	Z
Molve	molv	Aspfsgy
Grede	greda	Ncfsg
–	–	Z
Grkine	Grkina	Npfsg
–	–	Z
Đurđevac	Đurđevac	Npmsn
(	(	Z
Ž2247	Ž2247	X
)	)	Z
13,2	13,2	Mdc
ŽC	ŽC	Npmsn
2185	2185	Mdc
Ž2184	Ž2184	X
–	–	Z
Novo	nov	Agpnsny
Virje	virje	Ncnsn
–	–	Z
Ferdinandovac	Ferdinandovac	Npmsn
–	–	Z
Kloštar	Kloštar	Npmsn
Podravski	podravski	Agpmsny
(	(	Z
D2	D2	X
)	)	Z
24,5	24,5	Mdc
ŽC	ŽC	Npmsn
2186	2186	Mdc
Mihanović	Mihanović	Npmsn
Dol	Dol	Npmsn
(	(	Z
D205	D205	X
)	)	Z
–	–	Z
Kraljevec	Kraljevec	Npmsn
–	–	Z
Dubravica	Dubravica	Npfsn
–	–	Npfsn
Zaprešić	Zaprešić	Npfsn
(	(	Z
D225	D225	Npmsn
)	)	Z
26,5	26,5	Mdc
ŽC	ŽC	Npmsn
2187	2187	Mdc
G.	G.	Y
P.	P.	Y
Mihanović	Mihanović	Npmsn
Dol	Dol	Npmsn
(	(	Z
gr	gr	Ncmsn
.	.	Z

R.	R.	Y
Slovenije	Slovenija	Npfsg
)	)	Z
–	–	Z
Ž2186	Ž2186	X
0,2	0,2	Mdc
ŽC	ŽC	Y
2188	2188	Mdc
Ravnice	ravnica	Ncfsg
–	–	Z
D205	D205	Mdc
1,2	1,2	Mdc
ŽC	ŽC	Y
2189	2189	Mdc
Jalšje	Jalšje	Npnsa
(	(	Z
L22041	L22041	X
)	)	Z
–	–	Z
Gubaševo	Gubaševo	Npnsa
(	(	Z
D205	D205	Npmsn
)	)	Z
3,4	3,4	Mdc
ŽC	ŽC	Npmsn
2191	2191	Mdc
Dubrovčan	Dubrovčan	Npmsn
(	(	Z
D205	D205	Npmsn
)	)	Z
–	–	Z
Družilovec	Družilovec	Npmsn
–	–	Z
Veliko	velik	Agpnsny
Trgovišće	trgovišće	Ncnsn
(	(	Z
Ž2195	Ž2195	X
)	)	Z
4,2	4,2	Mdc
ŽC	ŽC	Npmsn
2192	2192	Mdc
Veliko	velik	Agpnsny
Trgovišće	trgovišće	Ncnsn
(	(	Z
Ž2195	Ž2195	X
)	)	Z
–	–	Z
Domahovo	Domahovo	Npnsn
–	–	Z
Žeinci	Žeinc	Npmpn
(	(	Z
Ž2195	Ž2195	X
)	)	Z
4,7	4,7	Mdc
ŽC	ŽC	Npmsn
2193	2193	Mdc
Jakuševec	Jakuševec	Npmsn
Zabočki	zabočki	Agpmsny
–	–	Z
Ž2161	Ž2161	X
1,1	1,1	Mdc
ŽC	ŽC	Y
2195	2195	Mdc
Zabok	Zabok	Npmsn
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Pavlovec	Pavlovec	Npmsn
Zabočki	zabočki	Agpmsny
–	–	Z
Gubaševo	Gubaševo	Npnsn
–	–	Z
V.	V.	Mro
Trgovišće	Trgovišće	Npnsn
–	–	Z
Luka	Luka	Npmsn
–	–	Npmsn
Pojatno	Pojatno	Npmsn
–	–	Z
Ž2186	Ž2186	X
22,3	22,3	Mdc
ŽC	ŽC	Npmsn
2197	2197	Mdc
Hum	hum	Ncmsn
Zabočki	zabočki	Agpmsny
(	(	Z
D24	D24	X
)	)	Z
–	–	Z
Oroslavje	Oroslavje	Npnsa
(	(	Z
D307	D307	Npmsn
)	)	Z
3,2	3,2	Mdc
ŽC	ŽC	Npmsn
2198	2198	Mdc
Bedekovčina	Bedekovčin	Npmsg
(	(	Z
D24	D24	X
)	)	Z
–	–	Z
Lepa	Lepa	Npfsn
Ves	Ves	Npfsn
–	–	Z
D.	D.	Y
Stubica	Stubica	Npfsn
(	(	Z
D307	D307	Npmsn
)	)	Z
8,5	8,5	Mdc
ŽC	ŽC	Npmsn
2200	2200	Mdc
Donji	donji	Agpmsny
Hruševec	Hruševec	Npmsn
–	–	Z
D307	D307	Mdc
3,1	3,1	Mdc
ŽC	ŽC	Y
2201	2201	Mdc
Poznanovec	Poznanovec	Npmsn
(	(	Z
D24	D24	X
)	)	Z
–	–	Z
Dubovec	Dubovec	Npmsn
–	–	Z
Banščica	Banščica	Npfsn
(	(	Z
D307	D307	Npmsn
)	)	Z
