92/05.	92/05.	Mdo
,	,	Z
107/07.	107/07.	Mds
,	,	Z
27/08.	27/08.	Mds
,	,	Z
49/11.	49/11.	Mds
,	,	Z
150/11.	150/11.	Mds
,	,	Z
34/12.	34/12.	Mds
,	,	Z
37/13.	37/13.	Mdo
,	,	Z
38/13.	38/13.	Mdo
i	i	Cc
1/15.	1/15.	Mdo
[	[	Z
21	21	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
86/08.	86/08.	Mdo
i	i	Cc
61/11.	61/11.	Mds
[	[	Z
22	22	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
93/14.	93/14.	Mds
[	[	Z
23	23	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
22/13.	22/13.	Mds
[	[	Z
24	24	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
28/10.	28/10.	Mds
[	[	Z
25	25	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
27/01.	27/01.	Mdo
i	i	Cc
39/09.	39/09.	Mds
–	–	Z
Zakon	zakon	Ncmsan
o	o	Sl
osnovici	osnovica	Ncfsl
plaće	plaća	Ncfsg
u	u	Sl
javnim	javan	Agpfply
službama	služba	Ncfpl
[	[	Z
26	26	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
40/11.	40/11.	Mdo
i	i	Cc
13/12.	13/12.	Mds
[	[	Z
27	27	Mdc
]	]	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
141/06.	141/06.	Mds
[	[	Z
28	28	Mdc
]	]	Z
