Dosadašnji	dosadašnji	Agpmpny
članci	članak	Ncmpn
9.	9.	Mdo
,	,	Z
10.	10.	Mdo
i	i	Cc
11.	11.	Mdo
postaju	postati	Vmr3p
članci	članak	Ncmpn
10.	10.	Mdo
,	,	Z
11.	11.	Mdo
i	i	Cc
12.	12.	Mdo

Članak	članak	Ncmsn
8.	8.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
01/15	01/15	Mdc
-	-	Z
01/51	01/51	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
524	524	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02	02	Mdc
-	-	Z
01/1	01/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
14.	14.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo

Ministar	ministar	Ncmsn
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Mirando	Mirando	Npfsn
Mrsić	Mrsić	Npfsn
,	,	Z
dr.	dr.	Y
med	med	Ncmsan
.	.	Z
,	,	Z
v.	v.	Y
r.	r.	Y

