Oliba	Oliba	Npfsn
;	;	Z

12.	12.	Mdo
od	od	Sg
rta	rt	Ncmsg
Karf	Karf	Npmsn
do	do	Sg
rta	rt	Ncmsg
Borci	borac	Ncmpn
na	na	Sl
sjeverozapadnoj	sjeverozapadni	Agpfsly
obali	obala	Ncfsl
otoka	otok	Ncmsg
Silbe	Silba	Npfsg
;	;	Z

13.	13.	Mdo
od	od	Sg
rta	rt	Ncmsg
Mavrova	Mavrovo	Npnsg
do	do	Sg
uvale	uvala	Ncfsg
Nozdre	Nozdra	Npfsg
na	na	Sl
južnoj	južan	Agpfsly
obali	obala	Ncfsl
otoka	otok	Ncmsg
Silbe	Silba	Npfsg
;	;	Z

14.	14.	Mdo
oko	oko	Sg
otočića	otočić	Ncmsg
Grujica	Grujic	Npmsg
;	;	Z

15.	15.	Mdo
od	od	Sg
rta	rt	Ncmsg
Medvijak	Medvijak	Npmsn
do	do	Sg
rta	rt	Ncmsg
Lopata	lopata	Ncfsn
na	na	Sl
istočnoj	istočni	Agpfsly
obali	obala	Ncfsl
otoka	otok	Ncmsg
Premuda	Premud	Npmsg
;	;	Z

16.	16.	Mdo
otočića	otočić	Ncmsg
Lutrošnjak	Lutrošnjak	Npmsn
;	;	Z

17.	17.	Mdo
oko	oko	Sg
otoka	otok	Ncmsg
Škarda	Škard	Npmsg
;	;	Z

18.	18.	Mdo
oko	oko	Sg
otočića	otočić	Ncmsg
Vodenjak	vodenjak	Ncmsn
;	;	Z

19.	19.	Mdo
oko	oko	Sg
otočića	otočić	Ncmsg
Tranerčica	Tranerčica	Npfsn
;	;	Z

20.	20.	Mdo
oko	oko	Sg
otočića	otočić	Ncmsg
Lagnići	Lagnići	Npmsn
;	;	Z

21.	21.	Mdo
od	od	Sg
rta	rt	Ncmsg
Vranač	Vranač	Npfsg
do	do	Sg
istočnog	istočni	Agpmsgy
rta	rt	Ncmsg
uvale	uvala	Ncfsg
Lipić	Lipić	Npfsg
,	,	Z
uključujući	uključivati	Rr
lovište	lovište	Ncnsa
oko	oko	Sg
otočića	otočić	Ncmsg
Lušnjak	Lušnjak	Npmsn
i	i	Cc
Rižnjak	Rižnjak	Npmsan
,	,	Z
na	na	Sl
istočnoj	istočni	Agpfsly
obali	obala	Ncfsl
otoka	otok	Ncmsg
Molata	Molat	Npmsg
;	;	Z

22.	22.	Mdo
od	od	Sg
rta	rt	Ncmsg
Glavica	Glavica	Npfsn
do	do	Sg
rta	rt	Ncmsg
u	u	Sl
prolazu	prolaz	Ncmsl
Malo	mali	Agpnsay
žalo	žalo	Ncnsa
,	,	Z
uključujući	uključivati	Rr
lovište	lovište	Ncnsa
oko	oko	Sg
otočića	otočić	Ncmsg
Kamenjak	Kamenjak	Npmsn
i	i	Cc
Vrtlac	Vrtlac	Npmsn
,	,	Z
na	na	Sl
