3191/49	3191/49	Mds
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
5046	5046	Mdc
)	)	Z
,	,	Z
3191/199	3191/199	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
5046	5046	Mdc
)	)	Z
,	,	Z
3191/200	3191/200	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
5046	5046	Mdc
)	)	Z
Kalinovac	kalinovac	Agpmsny
Datum	datum	Ncmsn
:	:	Z
30.06.2015	30.06.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
05	05	Mdc
-	-	Z
06/1022	06/1022	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
6	6	Mdc
Z-2216	Z-2216	Mdc
Ličko-senjska	ličko-senjski	Agpfsny
županija	županija	Ncfsn
Općina	Općina	Npfsn
DONJI	donji	Agpmsny
LAPAC	lapac	Ncmsn
Doljani	Doljan	Npmpn
Crkva	crkva	Ncfsn
Rođenja	rođenje	Ncnsg
Presvete	presvet	Agpfsgy
Bogorodice	bogorodica	Ncfsg
1	1	Mdc
Doljani	doljan	Agpmsny
Datum	datum	Ncmsn
:	:	Z
10.07.2015	10.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0137	06/0137	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6568	Z-6568	Y
Nebljusi	Nebljusi	Npfsn
Crkva	Crkva	Npfsn
sv.	sv.	Y
Ilije	Ilija	Npmsg
Proroka	Prorok	Npmsg
644	644	Mdc
Nebljusi	nebljus	Agpmsny
Datum	datum	Ncmsn
:	:	Z
10.07.2015	10.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0136	06/0136	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6569	Z-6569	Mdc
Donji	donji	Agpmsny
Lapac	lapac	Ncmsn
Stari	star	Agpmsny
hotel	hotel	Ncmsn
Ozeblin	Ozeblin	Npmsn
560	560	Mdc
Donji	donji	Agpmsny
Lapac	lapac	Agpmsny
Datum	datum	Ncmsn
:	:	Z
13.07.2015	13.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0142	06/0142	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6574	z-6574	Agpmsny
Grad	grad	Ncmsn
OTOČAC	OTOČAC	Npmsn
Ramljani	Ramljani	Npmsn
Crkva	crkva	Ncfsn
sv.	sv.	Y
Arhanđela	Arhanđel	Npmsg
Mihovila	Mihovil	Npmsg
k.	k.	Y
č.	č.	Y
2080	2080	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
74	74	Mdc
)	)	Z
Ramljani	ramljan	Agpmsny
Datum	datum	Ncmsn
:	:	Z
08.07.2015	08.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0135	06/0135	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6567	Z-6567	Y
Općina	Općina	Npfsn
BRINJE	BRINJE	Npfsn
Stajnica	Stajnica	Npfsn
Crkva	Crkva	Npfsn
sv.	sv.	Y
Nikole	Nikola	Npmsg
Biskupa	Biskup	Npmsg
179	179	Mdc
Stajnica	Stajnic	Npmsg
Datum	datum	Ncmsn
:	:	Z
08.04.2015	08.04.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0079	06/0079	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6349	z-6349	Agpmsny
Brinje	brinje	Agpmsny
Most	most	Ncmsn
preko	preko	Sg
potoka	potok	Ncmsg
Radetića	Radetić	Npmsg
na	na	Sl
dijelu	dio	Ncmsl
k.	ki	Agpmsly
č.	č	Ncmsl
633	633	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
2884	2884	Mdc
)	)	Z
,	,	Z
k.	k.	Y
o.	o.	Y
Brinje	Brinja	Npfsg
,	,	Z
položaj	položaj	Ncmsan
po	po	Sl
Gauss-Kriegeru	gauss-krieger	Ncmsl
X	X	X
=	=	Z
4983949	4983949	Mdc
i	i	Cc
Y	Y	X
=	=	Z
5510712	5510712	Mdc
Brinje	brinje	Agpmsny
Datum	datum	Ncmsn
:	:	Z
13.05.2015	13.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0105	06/0105	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6538	Z-6538	Y
Općina	Općina	Npfsn
UDBINA	UDBINA	Npfsn
Jošan	Jošan	Npfsn
Crkva	Crkva	Npfsn
sv.	sv.	Y
Save	Sava	Npfsg
3291/2	3291/2	Agpmsny
Jošan	jošan	Agpmsny
Datum	datum	Ncmsn
:	:	Z
06.05.2015	06.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0097	06/0097	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6530	z-6530	Agpmsny
Grad	grad	Ncmsn
GOSPIĆ	Gospić	Npmsn
Gospić	Gospić	Npmsn
Fontana	fontana	Ncfsn
»	»	Z
Marta	mart	Ncmsg
Vodarica	vodarica	Ncfsn
«	«	Z
dio	dio	Ncmsn
k.	k.	Y
č.	č.	Y
5304	5304	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4718	4718	Mdc
)	)	Z
,	,	Z
k.	k.	Y
o.	o.	Y
Gospić	Gospić	Npmsn
,	,	Z
položaj	položaj	Ncmsan
po	po	Sl
Gauss-Kriegeru	gauss-krieger	Ncmsl
X	X	X
=	=	Z
4933574,00	4933574,00	Mdc
i	i	Cc
Y	Y	X
=	=	Z
5530211,00	5530211,00	Mdc
Gospić	Gospić	Npmsn
Datum	Datum	Npmsn
:	:	Z
08.05.2015	08.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0100	06/0100	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6533	z-6533	Agpmsny
Bilaj	bilaj	Agpmsny
Most	most	Ncmsn
preko	preko	Sg
rijeke	rijeka	Ncfsg
Like	Lika	Npfsg
položaj	položaj	Ncmsan
po	po	Sl
Gauss-Kriegeru	gauss-krieger	Ncmsl
X	X	X
=	=	Z
4930067,00	4930067,00	Mdc
i	i	Cc
Y	Y	X
=	=	Z
5534017,00	5534017,00	Mdc
Bilaj	Bila	Npmpg
;	;	Z
Divoselo	divoselo	Agpmsny
Datum	datum	Ncmsn
:	:	Z
13.05.2015	13.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0106	06/0106	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6539	Z-6539	Npmsn
Gospić	Gospić	Npmsn
Pil	Pil	Npmsn
Krista	Krist	Npmsg
Spasitelja	Spasitelj	Npmsg
dio	dio	Ncmsn
k.	k.	Y
č.	č.	Y
5304	5304	Mdc
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsan
.	.	Z
4718	4718	Mdc
)	)	Z
,	,	Z
k.	k.	Y
o.	o.	Y
Gospić	Gospić	Npmsn
,	,	Z
položaj	položaj	Ncmsan
po	po	Sl
Gauss-Kriegeru	gauss-krieger	Ncmsl
X	X	X
=	=	Z
4933493,00	4933493,00	Mdc
i	i	Cc
Y	Y	X
=	=	Z
5529651,00	5529651,00	Mdc
Gospić	Gospić	Npmsn
Datum	Datum	Npmsn
:	:	Z
11.05.2015	11.05.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0102	06/0102	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/3	02/3	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6535	Z-6535	Y
Općina	Općina	Npmsn
PERUŠIĆ	Perušić	Npmsn
Gornji	gornji	Agpmsny
Kosinj	Kosinj	Npmsn
Kapela	kapela	Ncfsn
sv.	sv.	Y
Ane	Ana	Npfsg
2056	2056	Mdc
Gornji	gornji	Agpmsny
Kosinj	kosinj	Agpmsny
Datum	datum	Ncmsn
:	:	Z
08.07.2015	08.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0131	06/0131	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
Z-6566	z-6566	Agpmsny
Grad	grad	Ncmsn
SENJ	SENJ	Npmsn
Senj	Senj	Npmsn
Kuća	Kuća	Npmsn
Petrovski	Petrovski	Npmsn
k.	k.	Y
č.	č.	Y
570	570	Mdc
(	(	Z
u	u	Sl
zemljišnim	zemljišni	Agpfply
knjigama	knjiga	Ncfpl
k.		Agpfply
č.	č.	Y
430/303	430/303	Mdc
K	k	Y
(	(	Z
zk	zk	Rgp
.	.	Z
ul	UL	Ncmsn
.	.	Z
282	282	Mdc
-	-	Z
284	284	Mdc
)	)	Z
Senj	senj	Agpmsny
Datum	datum	Ncmsn
:	:	Z
09.07.2015	09.07.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
02	02	Mdc
-	-	Z
01/273	01/273	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
01	01	Mdc
-	-	Z
03	03	Mdc
-	-	Z
02/2	02/2	Mdc
-	-	Z
15	15	Mdc
-	-	Z
6	6	Mdc
Z-159	Z-159	Mdc
Općina	općina	Ncfsn
KARLOBAG	KARLOBAG	Npfsg
Baške	Baška	Npfsg
Oštarije	Oštarija	Npfsg
Spomen-obilježje	spomen-obilježje	Ncnsn
Kubus	kubus	Ncmsn
na	na	Sl
dijelu	dio	Ncmsl
k.	ki	Agpmsly
č.	č	Ncmsl
754/9	754/9	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Baške	Baška	Npfsg
Oštarije	Oštarija	Npfsg
,	,	Z
položaj	položaj	Ncmsan
po	po	Sl
Gauss-Kriegeru	gauss-krieger	Ncmsl
X	X	X
=	=	Z
4931568,00	4931568,00	Mdc
i	i	Cc
Y	Y	X
=	=	Z
5511784,00	5511784,00	Mdc
Baške	Baška	Npfsg
Oštarije	Oštarija	Npfsg
Datum	datum	Ncmsn
:	:	Z
30.09.2015	30.09.2015	Mdo
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
06/0176	06/0176	Agpmsny
