osnovana	osnovati	Appfsny
prijelazna	prijelazan	Agpfsny
institucija	institucija	Ncfsn
,	,	Z
odnosno	odnosno	Rgp
svim	sav	Agpfpiy
dopunama	dopuna	Ncfpi
te	taj	Pd-fsg
odluke	odluka	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Prijenos	prijenos	Ncmsn
između	između	Sg
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
ili	ili	Cc
dioničara	dioničar	Ncmsg
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
s	sa	Sg
jedne	jedan	Mlcfsg
strane	strana	Ncfsg
i	i	Cc
prijelazne	prijelazan	Agpfpay
institucije	institucija	Ncfpa
s	sa	Sg
druge	drugi	Mlofsg
strane	strana	Ncfsg
podliježe	podlijegati	Vmr3s
zaštitnim	zaštitni	Agpfpiy
mjerama	mjera	Ncfpi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
glave	glava	Ncfsg
XII	xii	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Prava	pravo	Ncnpn
koja	koji	Pi-npn
su	biti	Var3p
potrebna	potreban	Agpfsny
za	za	Sa
neposredno	neposredan	Agpnsay
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
ili	ili	Cc
osnivanje	osnivanje	Ncnsn
podružnice	podružnica	Ncfsg
u	u	Sl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
prenesenu	prenesen	Agpfsay
imovinu	imovina	Ncfsa
,	,	Z
prava	pravo	Ncnsg
ili	ili	Cc
obveze	obveza	Ncfpn
prelaze	prelaziti	Vmr3p
s	sa	Sg
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
na	na	Sa
prijelaznu	prijelazan	Agpfsay
instituciju	institucija	Ncfsa
.	.	Z

Prijelazna	prijelazan	Agpfsny
institucija	institucija	Ncfsn
se	sebe	Px--sa
smatra	smatrati	Vmr3s
pravnim	pravni	Agpmsiy
slijednikom	slijednik	Ncmsi
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
prenesenom	prenesen	Agpfsiy
imovinom	imovina	Ncfsi
,	,	Z
pravima	prav	Agpfpiy
i	i	Cc
obvezama	obveza	Ncfpi
.	.	Z

Prijelazna	prijelazan	Agpfsny
institucija	institucija	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
mjesto	mjesto	Ncnsa
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
u	u	Sa
sve	sav	Agpmpay
postupke	postupak	Ncmpa
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
institucija	institucija	Ncfsn
u	u	Sl
sanaciji	sanacija	Ncfsl
sudjelovala	sudjelovati	Vmp-sf
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
prenesenom	prenesen	Agpfsiy
imovinom	imovina	Ncfsi
,	,	Z
pravima	prav	Agpfpiy
i	i	Cc
obvezama	obveza	Ncfpl
neovisno	neovisan	Agpnsny
