odnose	odnositi	Vmr3p
na	na	Sa
jahtu	jahta	Ncfsa
u	u	Sl
gradnji	gradnja	Ncfsl
.	.	Z

Članak	članak	Ncmsn
12.	12.	Mdo

U	u	Sl
listu	list	Ncmsl
A	a	Cc
uloška	uložak	Ncmsg
glavne	glavni	Agpfsgy
knjige	knjiga	Ncfsg
upisnika	upisnik	Ncmpg
plutajućih	plutajući	Agpmpgy
objekata	objekt	Ncmpg
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
:	:	Z
ime	ime	Ncnsn
objekta	objekt	Ncmsg
;	;	Z
oznaka	oznaka	Ncfsn
objekta	objekt	Ncmsg
;	;	Z
luka	luka	Ncfsn
upisa	upis	Ncmsg
;	;	Z
IMO	IMO	Npmsn
broj	broj	Ncmsn
;	;	Z
NIB	NIB	Npmsn
;	;	Z
pozivni	pozivni	Agpmsny
znak	znak	Ncmsn
;	;	Z
MMSI	MMSI	Npfsl
,	,	Z
odobreno	odobren	Agpnsay
mjesto	mjesto	Ncnsa
priveza	privez	Ncmsg
ili	ili	Cc
sidrenja	sidrenje	Ncnsg
/	/	Z
odobrena	odobren	Agpfsny
lokacija	lokacija	Ncfsn
;	;	Z
vrsta	vrsta	Ncfsn
objekta	objekt	Ncmsg
;	;	Z
država	država	Ncfsn
,	,	Z
mjesto	mjesto	Ncnsn
,	,	Z
graditelj	graditelj	Ncmsn
i	i	Cc
godina	godina	Ncfsn
gradnje	gradnja	Ncfsg
;	;	Z
materijal	materijal	Ncmsn
gradnje	gradnja	Ncfsg
;	;	Z
broj	broj	Ncmsn
paluba	paluba	Ncfsn
;	;	Z
bruto	bruto	Agpfsny
tonaža	tonaža	Ncfsn
;	;	Z
najveći	velik	Agsmsny
dopušteni	dopustiti	Agpmsny
broj	broj	Ncmsn
osoba	osoba	Ncfpg
;	;	Z
nadvođe	nadvođe	Ncnsn
na	na	Sl
ljetnoj	ljetni	Agpfsly
teretnoj	teretan	Agpfsly
liniji	linija	Ncfsl
;	;	Z
nosivost	nosivost	Ncfsn
na	na	Sl
ljetnoj	ljetni	Agpfsly
teretnoj	teretan	Agpfsly
liniji	linija	Ncfsl
;	;	Z
dimenzije	dimenzija	Ncfsg
(	(	Z
duljina	duljina	Ncfsn
preko	preko	Sg
svega	sav	Agpnsgy
,	,	Z
duljina	duljina	Ncfsn
trupa	trup	Ncmsg
,	,	Z
najveća	velik	Agsfsny
širina	širina	Ncfsn
,	,	Z
konstruktivna	konstruktivan	Agpfsny
širina	širina	Ncfsn
,	,	Z
visina	visina	Ncfsn
na	na	Sl
boku	bok	Ncmsl
)	)	Z
,	,	Z
najveći	velik	Agsmsny
gaz	gaz	Ncmsn
;	;	Z
strojni	strojni	Agpmsny
uređaj	uređaj	Ncmsn
(	(	Z
broj	broj	Ncmsn
i	i	Cc
vrsta	vrsta	Ncfsn
,	,	Z
tip	tip	Ncmsn
,	,	Z
snaga	snaga	Ncfsn
/	/	Z
brzina	brzina	Ncfsn
vrtnje	vrtnja	Ncfsg
)	)	Z
;	;	Z
nabavna	nabavni	Agpfsny
vrijednost	vrijednost	Ncfsn
plutajućeg	plutajući	Agpmsgy
objekta	objekt	Ncmsg
;	;	Z
podaci	podatak	Ncmpn
o	o	Sl
prethodnom	prethodan	Agpmsly
upisu	upis	Ncmsl
(	(	Z
oznaka	oznaka	Ncfsn
/	/	Z
ime	ime	Ncnsn
,	,	Z
luka	luka	Ncfsn
upisa	upis	Ncmsg
i	i	Cc
država	država	Ncfsn
pripadnosti	pripadnost	Ncfsg
)	)	Z
;	;	Z
datum	datum	Ncmsan
prvog	prvi	Mlomsg
upisa	upis	Ncmsg
;	;	Z
najmanji	mali	Agsmsny
broj	broj	Ncmsn
članova	član	Ncmpg
posade	posada	Ncfsg
odnosno	odnosno	Rgp
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
određen	odrediti	Appmsnn
posebnim	poseban	Agpmsiy
propisom	propis	Ncmsi
te	te	Cc
ostali	ostali	Agpmpny
podaci	podatak	Ncmpn
o	o	Sl
plutajućem	plutajući	Agpmsly
objektu	objekt	Ncmsl
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

U	u	Sl
listu	list	Ncmsl
A	a	Cc
uloška	uložak	Ncmsg
glavne	glavni	Agpfsgy
knjige	knjiga	Ncfsg
upisnika	upisnik	Ncmsg
nepomičnih	nepomičan	Agpmpgy
odobalnih	odobalan	Agpmpgy
objekata	objekt	Ncmpg
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
:	:	Z
ime	ime	Ncnsn
objekta	objekt	Ncmsg
;	;	Z
oznaka	oznaka	Ncfsn
objekta	objekt	Ncmsg
;	;	Z
luka	luka	Ncfsn
upisa	upis	Ncmsg
;	;	Z
IMO	IMO	Npmsn
broj	broj	Ncmsn
;	;	Z
NIB	NIB	Npmsn
;	;	Z
pozivni	pozivni	Agpmsny
znak	znak	Ncmsn
;	;	Z
MMSI	MMSI	Npfsl
;	;	Z
odobreno	odobren	Agpnsny
mjesto	mjesto	Ncnsn
priveza	privez	Ncmsg
ili	ili	Cc
sidrenja	sidrenje	Ncnsg
/	/	Z
odobrena	odobren	Agpfsny
lokacija	lokacija	Ncfsn
;	;	Z
vrsta	vrsta	Ncfsn
objekta	objekt	Ncmsg
;	;	Z
graditelj	graditelj	Ncmsn
,	,	Z
mjesto	mjesto	Ncnsa
,	,	Z
država	država	Ncfpg
