mjestu	mjesto	Ncnsl

Članak	članak	Ncmsn
30.	30.	Mdo

Iza	iza	Sg
Priloga	prilog	Ncmsg
6	6	Mdc
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
Prilog	prilog	Ncmsn
7	7	Mdc
,	,	Z
koji	koji	Pi-msn
postaje	postajati	Vmr3s
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
Pravilnika	pravilnik	Ncmsg
o	o	Sl
otpornosti	otpornost	Ncfsl
na	na	Sa
požar	požar	Ncmsan
i	i	Cc
drugim	drugi	Agpmply
zahtjevima	zahtjev	Ncmpl
koje	koji	Pi-fpn
građevine	građevina	Ncfpn
moraju	morati	Vmr3p
zadovoljiti	zadovoljiti	Vmn
u	u	Sl
slučaju	slučaj	Ncmsl
požara	požar	Ncmsg
,	,	Z
i	i	Cc
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
PRILOG	prilog	Ncmsn
7	7	Mdc

Tablica	tablica	Ncfsn
1.	1.	Mdo
Usporedni	usporedan	Agpmsny
prikaz	prikaz	Ncmsn
razreda	razred	Ncmsg
reakcije	reakcija	Ncfsg
na	na	Sa
požar	požar	Ncmsan
(	(	Z
HRN	HRN	Npmsn
EN	EN	Npmsn
)	)	Z
s	sa	Si
klasama	klasa	Ncfpi
gorivosti	gorivost	Ncfsg
(	(	Z
HRN	HRN	Npmsn
DIN	din	Ncmsn
)	)	Z

DODATNI	dodatan	Agpmsny
ZAHTJEV	zahtjev	Ncmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
13501	13501	Mdc
-	-	Z
1	1	Mdc
HR	HR	Y
DIN	DIN	Npmsn
4102	4102	Mdc
-	-	Z
1	1	Mdc
Nema	nemati	Vmr3s
razvoja	razvoj	Ncmsg
dima	dim	Ncmsg
Ne	ne	Qz
gori	gorjeti	Vmr3s
plamenom	plamen	Ncmsi
NEGORIV	negoriv	Agpmsnn
BEZ	bez	Sg
GORIVIH	goriv	Agpmpgy
GRAĐEVNIH	građevni	Agpmpgy
PROIZVODA	proizvod	Ncmpg
x	X	X
x	X	Xf
A1	A1	Xf
A1	A1	Xf
NEGORIV	NEGORIV	Npfsg
SA	sa	Si
GORIVIM	goriv	Agpmpiy
GRAĐEVNIM	građevni	Agpmpiy
PROIZVODIMA	proizvod	Ncmpi
x	X	X
x	X	Xf
A2-s1	A2-s1	Xf
d0	d0	Xf
A2	A2	Xf
TEŠKO	teško	Rgp
GORIV	goriv	Agpmsnn
x	X	X
x	X	X
B	b	X
,	,	Z
C-s1	C-s1	Xf
d0	d0	Xf
B1	B1	Xf
x	X	Xf
A2	A2	Xf
,	,	Z
B	b	X
,	,	Z
C-s2	C-s2	Xf
d0	d0	Xf
x	X	Xf
A2	A2	Xf
,	,	Z
B	b	X
,	,	Z
C-s3	C-s3	Xf
d0	d0	Xf
x	X	Xf
A2	A2	Xf
,	,	Z
B	b	X
,	,	Z
C-s1	C-s1	Xf
d1	d1	Xf
x	X	Xf
A2	A2	Xf
,	,	Z
B	b	X
,	,	Z
C-s1	C-s	Npmsl
d2	d2	Xf
A2	A2	Xf
,	,	Z
B	b	X
,	,	Z
C-s3	C-s	Npmsl
d2	d2	Cc
NORMALNO	normalno	Rgp
GORIV	goriv	Agpmsnn
x	X	Npmsn
x	X	Xf
D-s1	D-s1	Xf
d0	d0	Xf
B2	B2	Xf
x	X	Xf
D-s2	D-s2	Xf
d0	d0	Xf
x	X	Xf
D-s3	D-s3	Xf
d0	d0	Xf
x	X	Xf
D-s1	D-s1	Xf
d2	d2	Xf
D-s2	D-s2	Xf
d2	d2	Xf
D-s3	D-s3	Xf
d2	d2	Xf
E	e	Xf
E-d2	E-d2	Xf
LAKO	lako	Rgp
ZAPALJIV	zapaljiv	Agpmsnn
F	F	X
B3	B3	X

s	sa	Sg
–	–	Agpmsayn
dim	dim	Ncmsan
(	(	Z
s1	s1	Xf
=	=	Z
malo	malo	Rgp
ili	ili	Cc
bez	bez	Sg
dima	dim	Ncmsg
,	,	Z
s2	s2	Mds
=	=	Z
srednji	srednji	Agpmsny
dim	dim	Ncmsn
,	,	Z
s3		Agsmsny
=	=	Z
gusti	gust	Agpmsny
dim	dim	Ncmsn
)	)	Z

d	d	I
–	–	Z
kapljičnost	kapljičnost	Ncfsn
(	(	Z
d0	di	Agpnsny
=	=	Z
nema	nemati	Vmr3s
kapljica	kapljica	Ncfsn
unutar	unutar	Sg
600	600	Mdc
sekundi	sekunda	Ncfpg
,	,	Z
d1	d1	Pi3n-n
=	=	Z
kapa	kapa	Ncfpg
unutar	unutar	Sg
600	600	Mdc
sekundi	sekunda	Ncfpg
ali	ali	Cc
ne	ne	Qz
gori	gorjeti	Vmr3s
duže	dugo	Rgc
od	od	Sg
10	10	Mdc
sekundi	sekunda	Ncfpg
,	,	Z
d2	da	Ncfsl
=	=	Z
ne	ne	Qz
kao	kao	Cs
d0	d0	Mls
ili	ili	Cc
d1	d1	Pd-nsn
,	,	Z
jako	jako	Rgp
kapa	kapati	Vmr3s
i	i	Cc
gori	gorjeti	Vmr3s
)	)	Z

Tablica	tablica	Ncfsn
2.	2.	Mdo
Usporedni	usporedan	Agpmsny
prikaz	prikaz	Ncmsn
razreda	razred	Ncmsg
reakcije	reakcija	Ncfsg
na	na	Sa
požar	požar	Ncmsan
podova	pod	Ncmpg
(	(	Z
HRN	HRN	Npmsn
EN	EN	Npmsn
)	)	Z
s	sa	Si
klasama	klasa	Ncfpi
gorivosti	gorivost	Ncfsg
(	(	Z
HRN	HRN	Npmsn
DIN	din	Ncmsn
)	)	Z

ZAHTJEV	zahtjev	Ncmsn
HRN	HRN	Npmsn
EN	EN	Npmsn
13501	13501	Mdc
-	-	Z
1	1	Mdc
dodatni	dodatan	Agpmsny
zahtjev	zahtjev	Ncmsn
HR	HR	Npmsn
DIN	DIN	Npmsn
4102	4102	Mdc
-	-	Z
1	1	Mdc
NEGORIV	NEGORIV	Y
A1fl	A1fl	Xf
A1	A1	Xf
A2fl-s1	A2fl-s1	Xf
Nema	nemati	Vmr3s
razvoja	razvoj	Ncmsg
dima	dim	Ncmsg
A2	A2	Cc
TEŠKO	teško	Rgp
GORIV	goriv	Agpmsnn
Bfl-s1	Bfl-s1	Npmsn
Nema	nemati	Vmr3s
razvoja	razvoj	Ncmsg
dima	dim	Ncmsg
B1	B	Npmsg
Cfl-s1	Cfl-s	Npmsg
NORMALNO	normalno	Rgp
GORIV	goriv	Agpmsnn
A2fl-s2	A2fl-s2	Mdc
B2	i	Agpmsgy
Bfl-s2	Bfl-s	Npmsg
Cfl-s2	Cfl-s	Npmsg
Dfl-s1	Dfl-s	Npmsg
Dfl-s2	Dfl-s	Npmsg
Efl	Ef	Npmsg
LAKO	lako	Rgp
ZAPALJIV	zapaljiv	Agpmsnn
Ffl	Ffl	Npmsn
B3	B3	X

«	«	Z

PRIJELAZNE	prijelazan	Agpfpny
I	i	Cc
ZAVRŠNE	završan	Agpfpay
ODREDBE	odredba	Ncfpa

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Posebni	poseban	Agpmpny
propisi	propis	Ncmpn
kojima	koji	Pi-mpi
se	sebe	Px--sa
propisuju	propisivati	Vmr3p
zahtjevi	zahtjev	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
otpornost	otpornost	Ncfsa
i	i	Cc
reakciju	reakcija	Ncfsa
na	na	Sa
požar	požar	Ncmsan
te	te	Cc
druge	drugi	Mlompa
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
područja	područje	Ncnsg
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
koje	koji	Pi-fpn
moraju	morati	Vmr3p
ispunjavati	ispunjavati	Vmn
građevine	građevina	Ncfpa
za	za	Sa
posebne	poseban	Agpfpay
namjene	namjena	Ncfpa
,	,	Z
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
ako	ako	Cs
su	biti	Var3p
sukladni	sukladan	Agpmpny
važećim	važeći	Agpfpdy
normama	norma	Ncfpd
iz	iz	Sg
područja	područje	Ncnsg
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
