računajući	računati	Rr
od	od	Sg
dana	dan	Ncmpg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
upis	upis	Ncmsan
,	,	Z

3	3	Mdc
)	)	Z
brod	brod	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
klasificiran	klasificirati	Appmsnn
od	od	Sg
strane	strana	Ncfsg
organizacije	organizacija	Ncfsg
priznate	priznati	Vmr2p
sukladno	sukladno	Rgp
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
391/2009.	391/2009.	Mdo

(	(	Z
3	3	Mdc
)	)	Z
Prilikom	prilikom	Sg
provjere	provjera	Ncfsg
kriterija	kriterij	Ncmsg
statusa	status	Ncmsg
brodskih	brodski	Agpfpgy
isprava	isprava	Ncfpg
Ministarstvo	ministarstvo	Ncnsn
provjerava	provjeravati	Vmr3s
udovoljava	udovoljavati	Vmr3s
li	li	Qq
brod	brod	Ncmsn
sljedećim	sljedeći	Agpmpiy
zahtjevima	zahtjev	Ncmpi
:	:	Z

1	1	Mdc
)	)	Z
brod	brod	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
svjedodžbu	svjedodžba	Ncfsa
o	o	Sl
klasi	klasa	Ncfsl
izdanu	izdati	Appfsay
od	od	Sg
organizacije	organizacija	Ncfsg
priznate	priznati	Vmr2p
sukladno	sukladno	Rgp
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
391/2009	391/2009	Mdc
,	,	Z

2	2	Mdc
)	)	Z
brod	brod	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
plovidbene	plovidben	Agpfpay
isprave	isprava	Ncfpa
izdane	izdan	Agpfpay
sukladno	sukladno	Rgp
međunarodnim	međunarodni	Agpfpiy
konvencijama	konvencija	Ncfpi
SOLAS	SOLAS	Npmsn
1974	1974	Mdc
,	,	Z
LL	LL	Npmsn
1966	1966	Mdc
,	,	Z
TONNAGE	TONNAGE	Npmsn
1969	1969	Mdc
,	,	Z
i	i	Cc
MARPOL	MARPOL	Npmsn
73/78	73/78	Mdc
,	,	Z
te	te	Cc
pripadne	pripadan	Agpmpay
obvezatne	obvezatan	Agpmpay
kodekse	kodeks	Ncmpa
usvojene	usvojen	Agpmpay
od	od	Sg
Međunarodne	međunarodni	Agpfsgy
pomorske	pomorski	Agpfsgy
organizacije	organizacija	Ncfsg
,	,	Z
zajedno	zajedno	Rgp
s	sa	Si
njihovim	njihov	Agpmpiy
Protokolima	protokol	Ncmpi
,	,	Z
primjenljivim	primjenljiv	Agpmsiy
na	na	Sa
postojeće	postojeći	Agpmpay
brodove	brod	Ncmpa
,	,	Z

3	3	Mdc
)	)	Z
plovidbene	plovidben	Agpfsgy
isprave	isprava	Ncfsg
iz	iz	Sg
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
izdane	izdati	Appfpny
od	od	Sg
strane	strana	Ncfsg
države	država	Ncfsg
čiju	čiji	Pi-fsa
zastavu	zastava	Ncfsa
brod	brod	Ncmsn
vije	viti	Vmr3s
ili	ili	Cc
od	od	Sg
strane	strana	Ncfsg
organizacije	organizacija	Ncfsg
priznate	priznati	Vmr2p
sukladno	sukladno	Rgp
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
391/2009	391/2009	Ncfsn
koja	koji	Pi-fsn
iste	isti	Agpfsgy
izdaje	izdavati	Vmr3s
u	u	Sa
ime	ime	Ncnsa
države	država	Ncfsg
zastave	zastava	Ncfsg
,	,	Z

4	4	Mdc
)	)	Z
u	u	Sl
slučajevima	slučaj	Ncmpl
kada	kada	Cs
brod	brod	Ncmsn
uz	uz	Sa
isprave	isprava	Ncfpa
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
stavka	stavak	Ncmsg
ima	imati	Vmr3s
izdana	izdan	Agpnpay
izuzeća	izuzeće	Ncnpa
prema	prema	Sl
Poglavlja	poglavlje	Ncnsg
I	i	Cc
/	/	Z
4	4	Mdc
,	,	Z
SOLAS	SOLAS	Npmsn
74	74	Mdc
ili	ili	Cc
izdana	izdati	Appfsny
jednakovrijedna	jednakovrijedan	Agpnpay
tehnička	tehnički	Agpnpay
rješenja	rješenje	Ncnpa
mora	morati	Vmr3s
se	sebe	Px--sa
