Gymnothorax	gymnothoti	Rr
spp	spp	Ncmsan
.	.	Z

Oedalechilus	oedalechilus	Agpmsny
labeo	labeo	Agpmsny
cipal	cipal	Ncmsn
plutaš	plutati	Vmr2s
nitorepke	nitorepka	Ncfpa
Nemipterus	Nemipteru	Npmpg
spp	sp	Ncmpg
.	.	Z

Ophidion	ophidion	Agpmsnn
barbatum	barbatum	Agpmsny
huj	huj	Agpmsny
bijelac	bijelac	Ncmsn
norveška	norveški	Agpfsny
ugotica	ugotica	Ncfsn
Trisopterus	Trisopterus	Xf
esmarkii	esmarkii	Xf
Ophidion	Ophidion	Xf
spp	spp	Xf
.	.	Z
huji	huja	Ncfsl
nototenije	nototenija	Ncfsg
Patagonotothen	Patagonotothen	Npmsn
spp	spp	Agpmsnn
.	.	Z

Ophisurus	ophisurui	Agpfsny
serpens	serpean	Agpfsny
zmija	zmija	Ncfsn
zubuša	zubušati	Vmr3s
novozelandski	novozelandski	Agpmsny
list	list	Ncmsn
Pelotretis	Pelotretis	Npmsn
flavilatus	flavilatus	Xf
Oxynotus	Oxynotus	Xf
centrina	centrina	Agpmsny
pas	pas	Ncmsn
prasac	prasac	Ncmsn
novozelandski	novozelandski	Agpmsny
oreo	oreo	Ncmsn
Pseudocyttus	Pseudocyttus	Xf
maculatus	maculatus	Xf
Pagellus	Pagellus	Xf
acarne	acarne	Xf
batoglavac	batoglavac	Xf
obrvan	obrvan	Xf
Aphanius	Aphanius	Xf
fasciatus	fasciatus	Xf
Pagellus	Pagellus	Xf
bogaraveo	bogaravesti	Vmp-sm
okan	okan	Ncmsan
,	,	Z
rumenac	rumenac	Ncmsn
okan	okan	Agpmsnn
,	,	Z
rumenac	rumenac	Ncmsn
Pagellus	Pagellus	Npmsn
bogaraveo	bogaravesti	Vmp-sm
Pagellus	pagellus	Agpmsny
erythrinus	erythrinus	Agpmsny
arbun	arbun	Ncmsn
oliga	oligo	Ncnsg
Atherina	Atherina	Npfsn
boyeri	boyer	Ncmpn
Pagellus	Pagellu	Npmpg
spp	sp	Ncmpg
.	.	Z
rumenci	rumenci	Agpmsny
oslić	oslić	Ncmsn
hoki	hoki	Agpmsny
Macruronus	Macruronus	Xf
novaezelandiae	novaezelandiae	Xf
Pagrus	Pagrus	Xf
coeruleostricus	coeruleostricus	Agpmsny
pagar	pagar	Agpmsny
barjaktar	barjaktar	Ncmsn
oslić	oslić	Ncmsn
hoki	hoki	Agpmsny
Macruronus	macruronus	Agpmsny
magellanicus	magellanicus	Agpmsny
Pagrus	pagrus	Agpmsny
major	major	Ncmsn
japanski	japanski	Agpmsny
pagar	pagar	Agpmsny
oslić	oslić	Ncmsn
,	,	Z
mol	mol	Ncmsan
Merluccius	Merluccius	Xf
merluccius	merluccius	Xf
Pagrus	Pagrus	Xf
pagrus	pagrus	Xf
pagar	pagar	Xf
oslići	oslić	Ncmpn
Merluccius	merlucciu	Agpmpgy
spp	sp	Ncmpg
.	.	Z

Pagrus	Pagrus	Xf
spp	spp	Xf
.	.	Z
pagri	pagri	Agpfsny
ovčica	ovčica	Ncfsn
Lithognathus	Lithognathus	Xf
mormyrus	mormyrus	Xf
Pampus	Pampus	Xf
argenteus	argenteus	Xf
srebrna	srebrn	Agpfsny
plotica	plotica	Ncfsn
ovčice	ovčica	Ncfsg
Lithognathus	Lithognathu	Npmpg
spp	sp	Ncmpg
.	.	Z

Paralichthys	Paralichthys	Npmsn
spp	spp	Agpmsnn
.	.	Z
dugozubi	dugozub	Agpmpny
iverci	iverak	Ncmpn
pacifička	pacifički	Agpfsny
haringa	haringa	Ncfsn
Clupea	Clupe	Npmsg
pallasii	pallasii	Xf
pallasii	pallasii	Xf
Parexocoetus	Parexocoetus	Xf
mento	menta	Xf
afrička	afrički	Agpfsny
poletuša	poletuš	Agpfsny
pacifička	pacifički	Agpfsny
palamida	palamida	Ncfsn
Sarda	Sard	Npmsg
chiliensis	chiliensis	Xf
Patagonotothen	Patagonotothen	Xf
spp	spp	Xf
.	.	Z
nototenije	nototenija	Ncfpn
pacifičke	pacifički	Agpfsgy
pastirice	pastirica	Ncfsg
Seriollela	Seriollel	Npmsg
spp	spp	Qr
.	.	Z

Pegusa	pegusa	Agpmsny
impar	impar	Agpmsny
list	list	Ncmsn
jadranski	jadranski	Agpmsny
pacifički	pacifički	Agpmsny
bakalar	bakalar	Ncmsn
Gadus	Gadus	Npmsn
macrocephalus	macrocephalus	Sg
Pegusa	Pegus	Npmsg
spp	sti	Appmpny
.	.	Z
listovi	list	Ncmpn
pacifički	pacifički	Agpmsny
bodečnjak	bodečnjak	Ncmsn
Sebastes	Sebastes	Xf
alutus	alutus	Xf
Pelotretis	Pelotretis	Xf
flavilatus	flavilatus	Xf
novozelandski	novozelandski	Agpmsny
list	list	Ncmsn
pacifički	pacifički	Agpmsny
iverak	iverak	Ncmsn
Lepidopsetta	Lepidopsett	Npmsg
bilineata	bilineat	Ncmsg
Peristedion	Peristedion	Xf
cataphractum	cataphractum	Agpmsann
turčin	Turčin	Ncmsan
pacifički	pacifički	Agpmpny
iverci	iverak	Ncmpn
Rhombosolea	Rhombosole	Npmsg
spp	spp	Mro
.	.	Z

Phycis	phycis	Agpfsny
blennoides	blennoide	Agpfsny
tabinja	tabinja	Ncfsn
bjelica	bjelica	Ncfpg
pagar	pagar	Xf
Pagrus	Pagrus	Xf
pagrus	pagrus	Xf
Phycis	Phycis	Xf
phycis	phycis	Agpfsny
tabinja	tabinja	Ncfsn
mrkulja	mrkulj	Ncmpg
pagar	pagar	Agpmsny
barjaktar	barjaktar	Ncmsn
Pagrus	Pagrus	Npmsn
coeruleostricus	coeruleostricus	Npmsn
Phycis	Phycis	Npmsn
spp	sti	Vmr3p
.	.	Z
tabinje	tabinja	Ncfpa
pagri	pagra	Ncfpg
Pagrus	Pagru	Npmpg
spp	sp	Ncmpg
.	.	Z

Platichthys	platichthys	Agpmsny
flesus	flesan	Agpmsny
iverak	iverak	Ncmsn
palamida	palamida	Ncfpg
Sarda	Sard	Npmpg
sarda	sard	Ncmpg
Pleuronectes	pleuronectes	Agpmsny
platessa	platessa	Agpmsny
