parlament	parlament	Ncmsn
proračuna	proračun	Ncmsg
EU-a	EU	Npmsg
_4X	_4X	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Sve	sav	Agpfpny
institucije	institucija	Ncfpn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
_4Y	_4Y	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Agpfpny
Ostale	ostali	Agpfpny
male	mali	Agpfpny
institucije	institucija	Ncfpn
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
ombudsman	ombudsman	Ncmsn
,	,	Z
Europski	europski	Agpmsny
nadzornik	nadzornik	Ncmsn
za	za	Sa
zaštitu	zaštita	Ncfsa
podataka	podatak	Ncmpg
itd.	itd.	Y
)	)	Z
_4Z	_4Z	Npmsn
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Aspfsny
Organizacija	organizacija	Ncfsn
za	za	Sa
ekonomsku	ekonomski	Agpfsay
suradnju	suradnja	Ncfsa
i	i	Cc
razvoj	razvoj	Ncmsan
(	(	Z
OECD	OECD	Npmsn
)	)	Z
_5A	_5	Ncmsg
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Banka	Banka	Npfsn
za	za	Sa
međunarodne	međunarodni	Agpfpay
namire	namiriti	Ncfpa
(	(	Z
BIS	bis	Ncmsn
)	)	Z
_5B	_5	Ncmsg
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međuamerička	međuamerički	Agpfsny
razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
(	(	Z
IADB	IADB	Npmsn
)	)	Z
_5C	_5C	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Afrička	afrički	Agpfsny
razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
(	(	Z
AfDB	AfDB	Npmsn
)	)	Z
_5D	_5D	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Azijska	azijski	Agpfsny
razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
(	(	Z
AsDB	AsDB	Npmsn
)	)	Z
_5E	_5e	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
banka	banka	Ncfsn
za	za	Sa
obnovu	obnova	Ncfsa
i	i	Cc
razvoj	razvoj	Ncmsan
(	(	Z
EBRD	EBRD	Npmsn
)	)	Z
_5F	_5F	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međuamerička	međuamerički	Agpfsny
investicijska	investicijski	Agpfsny
korporacija	korporacija	Ncfsn
(	(	Z
IIC	IIC	Npmsn
)	)	Z
_5G	_5g	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Nordijska	nordijski	Agpfsny
investicijska	investicijski	Agpfsny
banka	banka	Ncfsn
(	(	Z
NIB	NIB	Npmsn
)	)	Z
_5H	_5h	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Istočnokaripska	istočnokaripski	Agpfsny
središnja	središnji	Agpfsny
banka	banka	Ncfsn
(	(	Z
ECCB	ECCB	Npmsn
)	)	Z
_5I	_5i	Agpmsny
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodna	međunarodni	Agpfsny
banka	banka	Ncfsn
za	za	Sa
gospodarsku	gospodarski	Agpfsay
suradnju	suradnja	Ncfsa
(	(	Z
IBEC	IBEC	Npmsn
)	)	Z
_5J	_5j	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodna	međunarodni	Agpfsny
investicijska	investicijski	Agpfsny
banka	banka	Ncfsn
(	(	Z
IIB	IIB	Npmsn
)	)	Z
_5K	_5k	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Karipska	karipski	Agpfsny
razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
(	(	Z
CDB	CDB	Npmsn
)	)	Z
_5L	_5L	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Arapski	arapski	Agpmsny
monetarni	monetaran	Agpmsny
fond	fond	Ncmsn
(	(	Z
AMF	AMF	Npmsn
)	)	Z
_5M	_5M	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Arapska	arapski	Agpfsny
banka	banka	Ncfsn
za	za	Sa
gospodarski	gospodarski	Agpmsayn
razvoj	razvoj	Ncmsan
Afrike	Afrika	Npfsg
(	(	Z
BADEA	BADE	Npmsg
)	)	Z
_5N	_5N	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Središnja	središnji	Agpfsny
banka	banka	Ncfsn
zapadnih	zapadni	Agpfpgy
afričkih	afrički	Agpfpgy
država	država	Ncfpg
(	(	Z
BCEAO	BCEAO	Npfsn
)	)	Z
_5O	_5o	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
srednjoafričkih	srednjoafrički	Agpfpgy
država	država	Ncfpg
(	(	Z
CASDB	CASDB	Npmsn
)	)	Z
_5P	_5p	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Afrički	afrički	Agpmsny
razvojni	razvojan	Agpmsny
fond	fond	Ncmsn
_5Q	_5Q	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Azijski	azijski	Agpmsny
razvojni	razvojan	Agpmsny
fond	fond	Ncmsn
_5R	_5R	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Posebni	poseban	Agpmpny
unificirani	unificirati	Appmpny
razvojni	razvojan	Agpmpny
fondovi	fond	Ncmpn
_5S	_5S	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Srednjoamerička	srednjoamerički	Agpfsny
banka	banka	Ncfsn
za	za	Sa
ekonomsku	ekonomski	Agpfsay
integraciju	integracija	Ncfsa
(	(	Z
CABEI	CABEI	Npmsn
)	)	Z
_5T	_5T	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Andska	andski	Agpfsny
razvojna	razvojan	Agpfsny
korporacija	korporacija	Ncfsn
(	(	Z
ADC	ADC	Npmsn
)	)	Z
_5U	_5	Ncmsl
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Ostale	ostali	Agpfsgy
međunarodne	međunarodni	Agpfsgy
organizacije	organizacija	Ncfsg
(	(	Z
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
)	)	Z
_5V	_5v	Aspmsnn
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Banka	banka	Ncfsn
država	država	Ncfpg
središnje	središnji	Agpfsgy
Afrike	Afrika	Npfsg
(	(	Z
BEAC	BEAC	Npmsn
)	)	Z
_5W	_5W	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Ekonomska	ekonomski	Agpfsny
i	i	Cc
monetarna	monetaran	Agpfsny
zajednica	zajednica	Ncfsn
središnje	središnji	Agpfsgy
Afrike	Afrika	Npfsg
(	(	Z
CEMAC	CEMAC	Npmsn
)	)	Z
_5X	_5X	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Istočnokaripska	istočnokaripski	Agpfsny
valutna	valutni	Agpfsny
unija	unija	Ncfsn
(	(	Z
ECCU	ECC	Npmsl
)	)	Z
_5Y	_5Y	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Ostale	ostali	Agpfsgy
međunarodne	međunarodni	Agpfsgy
financijske	financijski	Agpfsgy
organizacije	organizacija	Ncfsg
koje	koji	Pi-fpn
nisu	biti	Var3p
drugdje	drugdje	Rgp
uključene	uključiti	Appfpny
_5Z	_5Z	Sa
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Ostale	ostali	Agpfsgy
međunarodne	međunarodni	Agpfsgy
organizacije	organizacija	Ncfsg
(	(	Z
nefinancijske	nefinancijski	Agpfsgy
institucije	institucija	Ncfsg
)	)	Z
_6A	_6	Ncmsg
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
NATO	NATO	Npmsn
(	(	Z
Organizacija	organizacija	Ncfsn
Sjevernoatlantskog	sjevernoatlantski	Agpmsgy
ugovora	ugovor	Ncmsg
)	)	Z
_6B	_6B	Npmsn
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfpg
Vijeće	vijeće	Ncnsn
Europe	Europa	Npfsg
_6C	_6C	Npfsg
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Međunarodni	međunarodni	Agpmsny
odbor	odbor	Ncmsn
Crvenog	crven	Agpmsgy
križa	križ	Ncmsg
(	(	Z
ICRC	ICRC	Npmsn
)	)	Z
_6D	_6D	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
svemirska	svemirski	Agpfsny
agencija	agencija	Ncfsn
(	(	Z
ESA	ESA	Npfsn
)	)	Z
_6E	_6e	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Europski	europski	Agpmsny
patentni	patentni	Agpmsny
ured	ured	Ncmsn
(	(	Z
EPO	EPO	Npmsn
)	)	Z
_6F	_6F	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
sigurnost	sigurnost	Ncfsa
zračne	zračan	Agpfsgy
plovidbe	plovidba	Ncfsg
(	(	Z
EUROCONTROL	EUROCONTROL	Npmsn
)	)	Z
_6G	_6g	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
telekomunikacijske	telekomunikacijski	Agpmpay
satelite	satelit	Ncmpa
(	(	Z
EUTELSAT	EUTELSAT	Npmsn
)	)	Z
_6H	_6h	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Zapadnoafrička	zapadnoafrički	Agpfsny
ekonomska	ekonomski	Agpfsny
i	i	Cc
monetarna	monetaran	Agpfsny
unija	unija	Ncfsn
(	(	Z
WAEMU	WAEM	Npmsl
)	)	Z
_6I	_6i	Agpmsny
C	C	Npmsn
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodna	međunarodni	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
telekomunikacijske	telekomunikacijski	Agpmpay
satelite	satelit	Ncmpa
(	(	Z
INTELSAT	INTELSAT	Npmsn
)	)	Z
_6J	_6j	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
unija	unija	Ncfsn
za	za	Sa
radiodifuziju	radiodifuzija	Ncfsa
(	(	Z
EBU	EB	Npmsl
/	/	Z
UER	UER	Npmsn
)	)	Z
_6K	_6K	I
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
iskorištavanje	iskorištavanje	Ncnsa
meteoroloških	meteorološki	Agpmpgy
satelita	satelit	Ncmpg
(	(	Z
EUMETSAT	EUMETSAT	Npmsn
)	)	Z
_6L	_6L	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Europski	europski	Agpmsny
južni	južan	Agpmsny
opservatorij	opservatorij	Ncmsn
(	(	Z
ESO	ESO	Npmsn
)	)	Z
_6M	_6M	X
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Europski	europski	Agpmsny
centar	centar	Ncmsn
za	za	Sa
srednjoročne	srednjoročni	Agpfpay
prognoze	prognoza	Ncfpa
vremena	vrijeme	Ncnsg
(	(	Z
ECMWF	ECMWF	Npmsn
)	)	Z
_6N	_6N	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	Šifra	Npfsn
Europski	europski	Agpmsny
laboratorij	laboratorij	Ncmsn
za	za	Sa
molekularnu	molekularan	Agpfsay
biologiju	biologija	Ncfsa
(	(	Z
EMBL	EMBL	Npmsn
)	)	Z
_6O	_6o	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Europska	europski	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
nuklearna	nuklearan	Agpnpay
istraživanja	istraživanje	Ncnpa
(	(	Z
CERN	CERN	Npmsn
)	)	Z
_6P	_6p	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Međunarodna	međunarodni	Agpfsny
organizacija	organizacija	Ncfsn
za	za	Sa
migracije	migracija	Ncfpa
(	(	Z
IOM	IOM	Npmsn
)	)	Z
_6Q	_6q	Ncnsn
C	C	X
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Islamska	islamski	Agpfsny
razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
(	(	Z
IDB	IDB	Npmsn
)	)	Z
_6R	_6R	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc
Šifra	šifra	Ncfsn
Euroazijska	euroazijski	Agpfsny
razvojna	razvojan	Agpfsny
banka	banka	Ncfsn
(	(	Z
EDB	EDB	Npmsn
)	)	Z
_6S	_6S	Xf
C	C	Xf
27.00	27.00	Mdc
9999040	9999040	Mdc

