135/15	135/15	Mds
)	)	Z
.	.	Z

II	ii	Mrc
.	.	Z

OBVEZE	obveza	Ncfpa
DSV-a	DSV	Npmsg
KAO	kao	Cs
STVARATELJA	stvaratelj	Ncmpg
I	i	Cc
IMATELJA	IMATELJ	Npmsg
JAVNOGA	JAVNOG	Npmsg
ARHIVSKOGA	ARHIVSKOG	Npmsg
I	i	Cc
REGISTRATURNOG	registraturni	Agpnsgy
GRADIVA	gradivo	Ncnsg

Članak	članak	Ncmsn
5.	5.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
DSV	DSV	Npmsn
kao	kao	Cs
stvaratelj	stvaratelj	Ncmsn
i	i	Cc
imatelj	imatelj	Ncmsn
javnoga	javan	Agpmsgy
arhivskog	arhivski	Agpmsgy
i	i	Cc
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
dužno	dužan	Agpnsny
je	biti	Var3s
:	:	Z

–	–	Z
savjesno	savjesno	Rgp
čuvati	čuvati	Vmn
gradivo	gradivo	Ncnsa
u	u	Sl
sređenom	srediti	Agpnsly
stanju	stanje	Ncnsl
i	i	Cc
osiguravati	osiguravati	Vmn
od	od	Sg
oštećenja	oštećenje	Ncnsg
do	do	Sg
predaje	predaja	Ncfsg
nadležnom	nadležan	Agpmsdy
arhivu	arhiv	Ncmsd
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
dijelu	dio	Ncmsl
teksta	tekst	Ncmsg
:	:	Z
HDA	HDA	Npfsn
)	)	Z
,	,	Z

–	–	Z
na	na	Sa
zahtjev	zahtjev	Ncmsan
HDA	HD	Npmsg
dostavljati	dostavljati	Vmn
popis	popis	Ncmsan
gradiva	gradivo	Ncnsg
i	i	Cc
javljati	javljati	Vmn
sve	sav	Agpfpay
promjene	promjena	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
njim	on	Pp3msi
te	te	Cc
pribavljati	pribavljati	Vmn
mišljenje	mišljenje	Ncnsa
nadležnog	nadležan	Agpmsgy
arhiva	arhiv	Ncmsg
prije	prije	Sg
poduzimanja	poduzimanje	Ncnsg
mjera	mjera	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
gradivo	gradivo	Ncnsa
,	,	Z

–	–	Z
redovito	redovito	Rgp
odabirati	odabirati	Vmn
arhivsko	arhivski	Agpnsay
gradivo	gradivo	Ncnsa
iz	iz	Sg
registraturnog	registraturni	Agpnsgy
gradiva	gradivo	Ncnsg
,	,	Z
periodički	periodički	Agpmsny
izlučivati	izlučivati	Vmn
gradivo	gradivo	Ncnsa
kojemu	koji	Pi-msd
su	biti	Var3p
istekli	istekao	Agpmpny
rokovi	rok	Ncmpn
čuvanja	čuvanje	Ncnsg
,	,	Z

–	–	Cc
omogućiti	omogućiti	Vmn
ovlaštenim	ovlašten	Agpmpdy
djelatnicima	djelatnik	Ncmpd
HDA	hdi	Agpnsay
obavljanje	obavljanje	Ncnsa
stručnog	stručan	Agpmsgy
nadzora	nadzor	Ncmsg
nad	nad	Si
čuvanjem	čuvanje	Ncnsi
gradiva	gradivo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
DSV	DSV	Pi3n-n
dužno	dužan	Agpnsny
je	biti	Var3s
izvijestiti	izvijestiti	Vmn
nadležni	nadležan	Agpmsayn
arhiv	arhiv	Ncmsan
o	o	Sl
svakoj	svaki	Pi-fsl
promjeni	promjena	Ncfsl
svog	svoj	Px-msg
statusa	status	Ncmsg
i	i	Cc
ustrojstva	ustrojstvo	Ncnsg
radi	radi	Sg
davanja	davanje	Ncnsg
mišljenja	mišljenje	Ncnsg
o	o	Sl
postupanju	postupanje	Ncnsl
s	sa	Si
gradivom	gradivo	Ncnsi
.	.	Z

III	III	Mrc
.	.	Z

PRIKUPLJANJE	prikupljanje	Ncnsn
,	,	Z
OBRADA	obrada	Ncfsn
I	i	Cc
ČUVANJE	čuvanje	Ncnsn
GRADIVA	gradivo	Ncnsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Konvencionalno	konvencionalan	Agpnsny
i	i	Cc
nekonvencionalno	nekonvencionalan	Agpnsny
gradivo	gradivo	Ncnsn
DSV-a	DSV	Npmsg
prikuplja	prikupljati	Vmr3s
se	sebe	Px--sa
,	,	Z
zaprima	zaprimati	Vmr3s
,	,	Z
obrađuje	obrađivati	Vmr3s
