14.08.2015	14.08.201i	Agpfsny
Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-612-08	I-612-08	X
/	/	Z
15	15	Mdc
-	-	Z
05/0180	05/0180	Agpmsny
Urbroj	urbroj	Ncmsn
:	:	Z
532	532	Mdc
-	-	Z
04	04	Mdc
-	-	Z
02	02	Mdc
-	-	Z
16/1	16/1	Mdc
-	-	Z
15	15	Mdc
-	-	Z
1	1	Mdc
P-5065	P-5065	Y
14.8.2018	14.8.201i	Agpfsny
Općina	općina	Ncfsn
ŠOLTA	ŠOLTA	Npfsn
Maslinica	Maslinica	Npfsn
Kulturni	kulturan	Agpmsny
krajolik	krajolik	Ncmsn
otočića	otočić	Ncmsg
Stipanska	Stipanska	Npfsn
kod	kod	Sg
Maslinice	Maslinica	Npfsg
na	na	Sl
otoku	otok	Ncmsl
Šolti	Šolta	Npmsl
4831/14	4831/1	Npmsl
,	,	Z
4831/11	4831/11	Mdc
,	,	Z
4831/49	4831/49	Mdc
,	,	Z
4831/10	4831/10	Mdc
,	,	Z
4831/48	4831/48	Mdc
,	,	Z
4831/12	4831/12	Mdc
,	,	Z
4831/13	4831/13	Mdc
,	,	Z
4831/45	4831/45	Mdc
,	,	Z
4831/46	4831/46	Mdc
,	,	Z
4831/47	4831/47	Mdc
,	,	Z
4831/44	4831/44	Mdc
,	,	Z
4831/43	4831/43	Mdc
,	,	Z
4831/9	4831/9	Mdc
,	,	Z
4831/42	4831/42	Mdc
,	,	Z
4831/524831/41	4831/524831/41	Mdm
,	,	Z
4831/40	4831/40	Mdc
,	,	Z
4831/39	4831/39	Mdc
,	,	Z
4831/38	4831/38	Mdc
,	,	Z
4831/37	4831/37	Mdc
,	,	Z
4831/19	4831/19	Mdc
,	,	Z
4831/34	4831/34	Mdc
,	,	Z
4831/33	4831/33	Mdc
,	,	Z
4831/32	4831/32	Mdc
,	,	Z
4831/31	4831/31	Mdc
,	,	Z
4831/30	4831/30	Mdc
,	,	Z
4831/29	4831/29	Mdc
,	,	Z
4831/28	4831/28	Mdc
,	,	Z
4831/27	4831/27	Mdc
,	,	Z
4831/8	4831/8	Mdc
,	,	Z
4831/35	4831/35	Mdc
,	,	Z
4831/36	4831/36	Mdc
,	,	Z
4831/20	4831/20	Mdc
,	,	Z
4831/26	4831/26	Mdc
,	,	Z
4831/7	4831/7	Mdc
,	,	Z
4831/25	4831/25	Mdc
,	,	Z
4831/24	4831/24	Mdc
,	,	Z
4831/23	4831/23	Mdc
,	,	Z
4831/22	4831/22	Mdc
,	,	Z
4831/6	4831/6	Mdc
,	,	Z
4831/5	4831/5	Mdc
,	,	Z
4831/4	4831/4	Mdc
,	,	Z
4831/3	4831/3	Mdc
,	,	Z
4831/2	4831/2	Mdc
,	,	Z
4831/1	4831/1	Mdc
,	,	Z
4831/21	4831/21	Mdc
,	,	Z
4831/16	4831/16	Mdc
,	,	Z
4831/17	4831/17	Mdc
,	,	Z
4831/51	4831/51	Mdc
,	,	Z
