strugotine	strugotina	Ncfpa
za	za	Sa
katalitičko	katalitički	Agpnsay
krekiranje	krekiranje	Ncnsa
s	sa	Si
istrošenom	istrošiti	Agpfsiy
tekućinom	tekućina	Ncfsi
(	(	Z
FCC	FCC	Npmsn
)	)	Z
(	(	Z
npr.	npr.	Y
aluminijev	aluminijev	Aspmsayn
oksid	oksid	Ncmsan
,	,	Z
zeoliti	zeolit	Ncfsl
)	)	Z
B1140	B1140	X
Kruti	krut	Agpmpny
ostaci	ostatak	Ncmpn
plemenitih	plemenit	Agpmpgy
metala	metal	Ncmpg
koji	koji	Pi-mpn
u	u	Sl
tragovima	trag	Ncmpl
sadrže	sadržati	Vmr3p
anorganske	anorganski	Agpmpay
cijanide	cijanid	Ncmpa
B1150	B1150	Mdo
Otpadni	otpadni	Agpmpny
plemeniti	plemenit	Agpmpny
metali	metal	Ncmpn
i	i	Cc
legure	legura	Ncfpa
(	(	Z
zlato	zlato	Ncnsn
,	,	Z
srebro	srebro	Ncnsn
,	,	Z
skupina	skupina	Ncfsn
platinastih	platinast	Agpmpgy
metala	metal	Ncmpg
,	,	Z
bez	bez	Sg
žive	živa	Ncfsg
)	)	Z
,	,	Z
u	u	Sl
raspršivom	raspršivo	Ncfsl
,	,	Z
netekućem	netekuće	Ncfsl
stanju	stanje	Ncnsd
pravilno	pravilno	Rgp
pakirani	pakirati	Appmpny
i	i	Cc
označeni	označiti	Appmpny
B1160	B1160	Sa
Pepeo	pepeo	Ncmsan
plemenitih	plemenit	Agpmpgy
metala	metal	Ncmpg
od	od	Sg
spaljivanja	spaljivanje	Ncnsg
tiskanih	tiskati	Agpfpgy
pločica	pločica	Ncfpg
B1170	b1170	Agpmsny
Pepeo	pepeo	Ncmsn
plemenitih	plemenit	Agpmpgy
metala	metal	Ncmpg
od	od	Sg
spaljivanja	spaljivanje	Ncnsg
fotografskog	fotografski	Agpmsgy
filma	film	Ncmsg
B1180	B1180	Mdo
Otpadni	otpadni	Agpmsny
fotografski	fotografski	Agpmsny
film	film	Ncmsn
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
srebrne	srebrn	Agpmpay
halogenide	halogenid	Ncmpa
i	i	Cc
metalno	metalan	Agpnsay
srebro	srebro	Ncnsa
B1190	b1190	Agpmsny
Otpadni	otpadni	Agpmsny
fotografski	fotografski	Agpmsny
papir	papir	Ncmsn
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
srebrne	srebrn	Agpmpay
halogenide	halogenid	Ncmpa
i	i	Cc
metalno	metalan	Agpnsay
srebro	srebro	Ncnsa
B1200	B120	Npmsg
Granulirana	Granuliran	Npmsg
šljaka	šljakati	Vmr3s
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
željeza	željezo	Ncnsg
i	i	Cc
čelika	čelik	Ncmsg
B1210	B1210	Npmsn
Šljaka	šljakati	Vmr3s
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
željeza	željezo	Ncnsg
i	i	Cc
čelika	čelik	Ncmpg
uključujući	uključivati	Rr
i	i	Cc
šljaku	šljak	Ncmsl
koja	koji	Pi-fsn
je	biti	Var3s
izvor	izvor	Ncmsan
TiO2	tioi	Agpnsny
i	i	Cc
vanadija	vanadij	Ncmsg
B1220	B1220	Npmsn
Šljaka	šljakati	Vmr3s
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
cinka	cink	Ncmsg
,	,	Z
kemijski	kemijski	Rgp
stabilizirana	stabilizirati	Appfsny
,	,	Z
visok	visok	Agpmsann
sadržaj	sadržaj	Ncmsan
željeza	željezo	Ncnsg
(	(	Z
iznad	iznad	Sg
20	20	Mdc
%	%	Z
)	)	Z
i	i	Cc
pripremljena	pripremiti	Appfsny
prema	prema	Sl
industrijskim	industrijski	Agpfply
specifikacijama	specifikacija	Ncfpl
(	(	Z
npr.	npr.	Y
DIN	din	Ncmsn
4301	4301	Mdc
)	)	Z
uglavnom	uglavnom	Rgp
za	za	Sa
korištenje	korištenje	Ncnsa
u	u	Sl
građevinarstvu	građevinarstvo	Ncnsl
B1230	B123	Npmsg
Okujina	Okujin	Npmsg
iz	iz	Sg
proizvodnje	proizvodnja	Ncfsg
željeza	željezo	Ncnsg
i	i	Cc
čelika	čelik	Ncmsg
B1240	B124	Npmsg
Okujina	Okujin	Npmsg
od	od	Sg
bakrenog	bakren	Agpmsgy
oksida	oksid	Ncmsg
B1250	B1250	Sa
Otpadna	otpadni	Agpnpay
motorna	motoran	Agpnpay
vozila	vozilo	Ncnpa
,	,	Z
ne	ne	Qz
sadrže	sadržati	Vmr3p
opasne	opasan	Agpfpay
tekućine	tekućina	Ncfpa
i	i	Cc
opasne	opasan	Agpfsgy
komponente	komponenta	Ncfsg
GC030	GC030	Mdc
Plovila	plovilo	Ncnpa
i	i	Cc
druge	drugi	Mlofpa
plutajuće	plutajući	Agpfpay
strukture	struktura	Ncfpa
namijenjene	namijenjen	Agpfpay
za	za	Sa
rastavljanje	rastavljanje	Ncnsa
,	,	Z
primjereno	primjeriti	Appnsny
ispražnjene	isprazniti	Appfpny
od	od	Sg
tereta	teret	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
materijala	materijal	Ncmpg
koji	koji	Pi-mpn
nastaju	nastajati	Vmr3p
tijekom	tijekom	Sg
rada	rad	Ncmsg
plovila	plovilo	Ncnpg
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
se	sebe	Px--sa
mogu	moći	Vmr3p
klasificirati	klasificirati	Vmn
kao	kao	Cs
opasne	opasan	Agpfpny
tvari	tvar	Ncfpn
ili	ili	Cc
otpad	otpad	Ncmsan
.	.	Z

B2	b2	Agpmsny
OTPAD	otpad	Ncmsn
KOJI	koji	Pi-msn
UGLAVNOM	uglavnom	Rgp
SADRŽI	sadržati	Vmr3s
ANORGANSKE	anorganski	Agpmpay
SASTOJKE	sastojak	Ncmpa
,	,	Z
ALI	ali	Cc
MOŽE	moći	Vmr3s
SADRŽAVATI	sadržavati	Vmn
METALE	metal	Ncmpa
I	i	Cc
ORGANSKE	organski	Agpmpay
MATERIJALE	materijal	Ncmpa
B2010	b2010	Agpmsny
Neraspršivi	neraspršiv	Agpmsny
otpad	otpad	Ncmsn
iz	iz	Sg
rudarskih	rudarski	Agpfpgy
aktivnosti	aktivnost	Ncfpg
[	[	Z
11	11	Mdc
]	]	Z
:	:	Z
–	–	Z
otpad	otpad	Ncmsan
od	od	Sg
prirodnog	prirodan	Agpmsgy
grafita	grafit	Ncmsg
–	–	Z
otpadni	otpadni	Agpmpny
škriljevci	škriljevac	Ncmpn
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
jesu	biti	Var3p
li	li	Qq
fino	fino	Rgp
ili	ili	Cc
grubo	grubo	Rgp
rezani	rezati	Appmpny
–	–	Z
otpadni	otpadni	Agpmpny
tinjci	tinjac	Ncmpn
(	(	Z
liskuni	liskuna	Ncfsl
)	)	Z

