filmske	filmski	Agpfsgy
ili	ili	Cc
druge	drugi	Mlofsg
tehničke	tehnički	Agpfpay
snimke	snimka	Ncfpa
,	,	Z
to	taj	Pd-nsn
će	htjeti	Var3s
se	sebe	Px--sa
navesti	navesti	Vmn
u	u	Sl
zapisniku	zapisnik	Ncmsl
i	i	Cc
priključiti	priključiti	Vmn
zapisniku	zapisnik	Ncmsd
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Zapisnik	zapisnik	Ncmsn
se	sebe	Px--sa
mora	morati	Vmr3s
voditi	voditi	Vmn
uredno	uredno	Rgp
,	,	Z
u	u	Sl
njemu	on	Pp3msl
se	sebe	Px--sa
ne	ne	Qz
smije	smjeti	Vmr3s
ništa	ništa	Pi3n-a
dodati	dodati	Vmn
ili	ili	Cc
mijenjati	mijenjati	Vmn
,	,	Z
a	a	Cc
prekrižena	prekrižiti	Appnpny
mjesta	mjesto	Ncnpn
moraju	morati	Vmr3p
ostati	ostati	Vmn
čitljiva	čitljiv	Agpfsny
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Zapisnik	zapisnik	Ncmsn
se	sebe	Px--sa
vodi	voditi	Vmr3s
uporabom	uporaba	Ncfsi
računala	računalo	Ncnsg
,	,	Z
osim	osim	Cs
ako	ako	Cs
zbog	zbog	Sg
posebnih	poseban	Agpfpgy
okolnosti	okolnost	Ncfpg
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
,	,	Z
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
takve	takav	Pd-fpn
okolnosti	okolnost	Ncfpn
naznačiti	naznačiti	Vmn
u	u	Sl
zapisniku	zapisnik	Ncmsl
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Ako	ako	Cs
zapisnik	zapisnik	Ncmsn
ima	imati	Vmr3s
više	mnogo	Rgc
listova	list	Ncmpg
,	,	Z
oni	oni	Pp3mpn
će	htjeti	Var3s
se	sebe	Px--sa
označiti	označiti	Vmn
rednim	redni	Agpmpiy
brojevima	broj	Ncmpi
.	.	Z

(	(	Z
13	13	Mdc
)	)	Z
Sve	sav	Agpfpny
preinake	preinaka	Ncfpn
,	,	Z
ispravci	ispravak	Ncmpn
i	i	Cc
dodaci	dodatak	Ncmpn
unose	unositi	Vmr3p
se	sebe	Px--sa
na	na	Sl
kraju	kraj	Ncmsl
zapisnika	zapisnik	Ncmpg
i	i	Cc
moraju	morati	Vmr3p
ih	oni	Pp3-pa
ovjeroviti	ovjeroviti	Vmn
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
potpisuju	potpisivati	Vmr3p
zapisnik	zapisnik	Ncmsan
.	.	Z

(	(	Z
14	14	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
radnja	radnja	Ncfsn
nije	biti	Var3s
mogla	moći	Vmp-sf
obaviti	obaviti	Vmn
bez	bez	Sg
prekida	prekid	Ncmsg
,	,	Z
u	u	Sl
zapisniku	zapisnik	Ncmsl
će	htjeti	Var3s
se	sebe	Px--sa
naznačiti	naznačiti	Vmn
dan	dan	Ncmsan
i	i	Cc
sat	sat	Ncmsn
kad	kad	Cs
je	biti	Var3s
nastao	nastati	Vmp-sm
prekid	prekid	Ncmsan
te	te	Cc
dan	dan	Ncmsan
i	i	Cc
sat	sat	Ncmsn
kad	kad	Cs
se	sebe	Px--sa
radnja	radnja	Ncfsn
nastavlja	nastavljati	Vmr3s
.	.	Z

(	(	Z
15	15	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
bilo	biti	Vap-sn
prigovora	prigovor	Ncmpg
u	u	Sl
svezi	sveza	Ncfsl
sa	sa	Si
sadržajem	sadržaj	Ncmsi
zapisnika	zapisnik	Ncmpg
,	,	Z
navest	navesti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
zapisniku	zapisnik	Ncmsl
i	i	Cc
ti	taj	Pd-mpn
prigovori	prigovor	Ncmpn
.	.	Z

Potpisivanje	potpisivanje	Ncnsn
zapisnika	zapisnik	Ncmsg

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ispitana	ispitati	Appfsny
osoba	osoba	Ncfsn
,	,	Z
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
obvezno	obvezno	Rgp
nazočne	nazočan	Agpfpny
radnjama	radnja	Ncfpi
,	,	Z
osumnjičenik	osumnjičenik	Ncmsn
,	,	Z
branitelj	branitelj	Ncmsn
i	i	Cc
oštećenik	oštećenik	Ncmsn
,	,	Z
ako	ako	Cs
su	biti	Var3p
nazočni	nazočan	Agpmpny
,	,	Z
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
pročitati	pročitati	Vmn
zapisnik	zapisnik	Ncmsan
ili	ili	Cc
,	,	Z
ako	ako	Cs
ne	ne	Qz
znaju	znati	Vmr3p
ili	ili	Cc
ne	ne	Qz
mogu	moći	Vmr3p
čitati	čitati	Vmn
,	,	Z
zahtijevati	zahtijevati	Vmn
da	da	Cs
im	oni	Pp3-pd
se	sebe	Px--sa
zapisnik	zapisnik	Ncmsn
pročita	pročitati	Vmr3s
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
ih	oni	Pp3-pg
je	biti	Var3s
službena	služben	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
poduzima	poduzimati	Vmr3s
radnju	radnja	Ncfsa
dužna	dužan	Agpfsny
upozoriti	upozoriti	Vmn
,	,	Z
a	a	Cc
u	u	Sl
zapisniku	zapisnik	Ncmsl
će	htjeti	Var3s
se	sebe	Px--sa
naznačiti	naznačiti	Vmn
je	biti	Var3s
li	li	Qq
upozorenje	upozorenje	Ncnsn
učinjeno	učiniti	Appnsny
i	i	Cc
je	biti	Var3s
li	li	Qq
zapisnik	zapisnik	Ncmsn
pročitan	pročitati	Appmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zapisnik	zapisnik	Ncmsn
potpisuje	potpisivati	Vmr3s
ispitana	ispitati	Appfsny
osoba	osoba	Ncfsn
,	,	Z
a	a	Cc
ako	ako	Cs
se	sebe	Px--sa
zapisnik	zapisnik	Ncmsn
sastoji	sastojati	Vmr3s
od	od	Sg
više	mnogo	Rgc
stranica	stranica	Ncfpg
,	,	Z
ispitana	ispitati	Appfsny
osoba	osoba	Ncfsn
potpisuje	potpisivati	Vmr3s
svaku	svaki	Pi-fsa
stranicu	stranica	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sl
kraju	kraj	Ncmsl
zapisnika	zapisnik	Ncmsg
potpisat	potpisati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
tumač	tumač	Ncmsn
,	,	Z
ako	ako	Cs
ga	on	Pp3msa
je	biti	Var3s
bilo	biti	Vap-sn
te	taj	Pd-fsg
svjedoci	svjedok	Ncmpn
i	i	Cc
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
čija	čiji	Pi-fsn
je	biti	Var3s
nazočnost	nazočnost	Ncfsn
obvezna	obvezan	Agpfsny
pri	pri	Sl
poduzimanju	poduzimanje	Ncnsl
radnje	radnja	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
zapisnik	zapisnik	Ncmsn
ne	ne	Qz
piše	pisati	Vmr3s
zapisničar	zapisničar	Ncmsn
,	,	Z
zapisnik	zapisnik	Ncmsn
potpisuju	potpisivati	Vmr3p
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
nazočne	nazočan	Agpfpny
radnji	radnja	Ncfsl
,	,	Z
a	a	Cc
ako	ako	Cs
takvih	takav	Pd-fpg
osoba	osoba	Ncfpg
nema	nemati	Vmr3s
ili	ili	Cc
ne	ne	Qz
