Primorski	primorski	Agpmsny
ŽC	ŽC	Y
6206	6206	Mdc
Vrboska	Vrboska	Npfsn
(	(	Z
D116	D116	Npmsn
)	)	Z
–	–	Z
Vrbanj	Vrbanj	Npmsn
–	–	Z
Svirče	Svirča	Npfsg
(	(	Z
L67190	L67190	X
)	)	Z
2,7	2,7	Mdc
ŽC	ŽC	Npmsn
6207	6207	Mdc
Kotezi	Kotez	Npmpn
(	(	Z
L67202	L67202	X
)	)	Z
–	–	Z
Vrgorac	Vrgorac	Npmsn
(	(	Z
Ž6208	Ž6208	X
)	)	Z
2,7	2,7	Mdc
ŽC	ŽC	Npmsn
6208	6208	Mdc
Vrgorac	Vrgorac	Npmsn
(	(	Z
D62	D62	X
)	)	Z
–	–	Z
Staševica	Staševica	Npfsn
–	–	Z
Ž6276	Ž6276	X
19,6	19,6	Mdc
ŽC	ŽC	Npmsn
6209	6209	Mdc
Ž6201	Ž6201	X
–	–	Z
Banja	banje	Ncnsg
–	–	Z
Orah	orah	Ncmsn
–	–	Z
G.	G.	Y
P.	P.	Y
Orah	orah	Ncmsn
(	(	Z
gr	gr	Ncmsn
.	.	Z

BiH	BiH	Npfsn
)	)	Z
7,3	7,3	Mdc
ŽC	ŽC	Npmsn
6210	6210	Mdc
Podprolog	podprol	Agpmsgy

