repaš	repati	Vmr2s
kraljevske	kraljevski	Agpfsgy
skuše	skuša	Ncfsg
Scomberomorus	scomberomorui	Agpfsgy
spp	spa	Ncfsg
.	.	Z

Lepidopus	lepidoti	Rr
spp	spp	Ncmsan
.	.	Z
zmijičnjaci	zmijičnjaci	Agpmsny
kratkokljuni	kratkokljun	Agpmsny
iglan	iglan	Ncmsn
Tetrapturus	Tetrapturus	Xf
angustirostris	angustirostris	Xf
Lepidorhombus	Lepidorhombus	Xf
boscii	boscii	Xf
patarača	patarač	Ncmpg
crnopjega	crnopjeg	Ncmpg
kučak	kučak	Ncmsn
Isurus	Isurus	Xf
oxyrinchus	oxyrinchus	Xf
Lepidorhombus	Lepidorhombus	Xf
spp	spp	Xf
.	.	Z
patarače	pataračiti	Vmr3p
kučci	kučak	Ncmpn
Isurus	Isurus	Xf
spp	spp	Xf
.	.	Z

Lepidorhombus	lepidorhombus	Ncfsn
whiffiagonis	whiffiagonis	Agpmpgy
patarača	patarač	Ncmpg
oštronoska	oštronoski	Agpfsny
kučina	kučina	Ncfsn
Lamna	Lamn	Npmsg
nasus	nasus	Sg
Lepidotrigla	Lepidotrigl	Npmsg
cavillone	cavillon	Agpfsgy
kokotić	kokotii	Agpfsgy
oštruljić	oštruljia	Ncfsg
kurdela	kurdel	Ncmpg
Cepola	Cepol	Npmsg
macrophthalma	macrophthalm	Npmsg
Lepidotrigla	Lepidotrigl	Npmsg
dieuzeidei	dieuzeide	Ncmpn
kokotić	kokotić	Sg
kusača	kusač	Ncmpg
Scomberesox	Scomberesox	Npfsg
saurus	saurus	Sg
Lepidotrigla	Lepidotrigl	Npmsg
spp	spp	Mro
.	.	Z
kokotići	kokotića	Ncfsl
lampuga	lampug	Ncmsg
Coryphaena	Coryphaen	Npmsg
hippurus	hippurus	Xf
Lestidiops	Lestidiops	Xf
sphyrenoides	sphyrenoidei	Agpfsny
štukovčica	štukovčica	Ncfsn
lampuge	lampuga	Ncfsg
Coryphaenidae	Coryphaenidae	Npfsn
Leucoraja	Leucoraja	Npfsn
circularis	circularis	Agpfsny
raža	raža	Ncfsn
smeđa	smeđ	Agpfsny
lastavica	lastavica	Ncfsn
Cheildonichthys	Cheildonichthys	Npfsn
lastoviza	lastoviz	Agpfsny
Lichia	Lichia	Npfsn
amia	ai	Agpnsgy
lica	lice	Ncnsg
lastavica	lastavica	Ncfpg
balavica	balavica	Ncfpg
Chelidonichthys	Chelidonichthys	Npmsn
lucernus	lucernus	Xf
Limanda	Limand	Npmsg
aspera	asper	Ncmpg
limanda	limand	Agpfsny
žutoperajna	žutoperajan	Agpfsny
lastavica	lastavica	Ncfsn
prasica	prasica	Ncfpg
Trigla	Trigl	Npmsg
lyra	lyr	Npmsg
Limanda	Limand	Npmsg
limanda	limand	Ncmsg
limanda	limand	Ncmsg
lastavice	lastavica	Ncfsg
Chelidonichthys	Chelidonichthys	Npmsn
spp	spp	Qr
.	.	Z

Limanda	limanda	Ncfsn
spp	sp	Ncmpg
.	.	Z
limande	limanda	Ncfpn
lica	lice	Ncnsg
Lichia	Lichia	Npfsn
amia	amia	Npfsn
Lithognathus	Lithognathus	Npfsn
mormyrus	mormyrui	Agpfsny
ovčica	ovčica	Ncfsn
limanda	limand	Ncmsg
Limanda	Limand	Npmsg
limanda	limand	Ncmsg
Lithognathus	Lithognathus	Npmsn
spp	sti	Vmr3p
.	.	Z
ovčice	ovčica	Ncfpn
limanda	limand	Ncmpg
žutoperajna	žutoperajn	Ncmsg
Limanda	Limand	Npmsg
aspera	asper	Npmsg
Liza	Liz	Npmsg
aurata	aurata	Agpmsny
cipal	cipal	Ncmsn
zlatar	zlatar	Ncmsn
limande	limanda	Ncfsg
Limanda	Limand	Npmsg
spp	spp	Mro
.	.	Z

Liza	liza	Agpmsny
ramada	ramada	Agpmsny
cipal	cipal	Ncmsn
balavac	balavac	Ncmsn
list	list	Ncmsn
crnorub	crnoru	Ncmsg
Synapturichthys	Synapturichthys	Npmsn
kleinii	kleinii	Agpmsny
Liza	liza	Agpmsny
saliens	saliens	Agpmsny
cipal	cipal	Ncmsn
dugaš	duga	Agpmsny
list	list	Ncmsn
egipatski	egipatski	Agpmsny
Solea	Sole	Npmsg
aegyptiaca	aegyptiac	Ncmpg
Lophius	Lophius	Npfsn
budegassa	budegass	Agpfsny
grdobina	grdobina	Ncfsn
žutka	žutak	Ncmsg
list	list	Ncmsn
hrapavac	hrapavac	Xf
Monochirus	Monochirus	Xf
hispidus	hispidus	Xf
Lophius	Lophius	Xf
piscatorius	piscatorius	Xf
grdobina	grdobina	Ncfsn
list	list	Ncmsn
jadranski	jadranski	Agpmsny
Pegusa	Pegus	Npmsg
impar	impar	Xf
Lophius	Lophius	Xf
spp	spp	Ncmsan
.	.	Z
grdobine	grdobina	Ncfpn
list	list	Ncmsn
pečatar	pečatar	Ncmsn
Microchirus	Microchirus	Xf
ocellatus	ocellatus	Xf
Lutjanidae	Lutjanidae	Xf
snaperi	snaper	Agpmsny
list	list	Ncmsn
piknjavac	piknjavac	Ncmsn
Buglossidium	Buglossidium	Npmsn
luteum	luteum	Xf
Luvarus	Luvarus	Xf
imperialis	imperialis	Xf
pjevčina	pjevčin	Agpfsny
pučinka	pučinka	Ncfsn
list	list	Ncmsn
prugavac	prugavac	Xf
Microchirus	Microchirus	Xf
variegatus	variegatus	Xf
Macroramphosus	Macroramphosus	Xf
scolopax	scolopax	Xf
šljuka	šljuka	Ncfsn
list	list	Ncmsn
senegalski	senegalski	Agpmsny
Solea	Sole	Npmsg
senegalensis	senegalensis	Xf
Macruronus	Macruronus	Xf
magellanicus	magellanicus	Agpmsny
oslić	oslić	Ncmsn
hoki	hoki	Agpmsny
list	list	Ncmsn
,	,	Z
švoja	švoj	Ncmsg
Solea	Sole	Npmsg
solea	sole	Ncmsg
,	,	Z
Solea	Sole	Npmsg
vulgaris	vulgaris	Xf
Macruronus	Macruronus	Xf
novaezelandiae	novaezelandiae	Agpmsny
oslić	oslić	Ncmsn
hoki	hoki	Agpmsny
listić	listić	Ncmsn
bijelac	bijelac	Ncmsn
Symphurus	Symphurus	Xf
nigrescens	nigrescens	Xf
Macruronus	Macruronus	Xf
spp	spp	Xf
.	.	Z
grenadiri	grenadir	Agpmpny
listovi	list	Ncmpn
Pegusa	Pegus	Npmsg
spp	spp	Pi-mpi
.	.	Z

Mallotus	Mallotus	Xf
villosus	villosus	Xf
kapelin	kapelin	Agpmpny
listovi	list	Ncmpn
Solea	Sole	Npmsg
spp	spp	Pi-mpi
.	.	Z

Melanogrammus	Melanogrammus	Xf
aeglefinus	aeglefinus	Xf
bakalarka	bakalarka	Agpmpny
listovi	list	Ncmpn
Soleidae	Soleidaa	Npmsg
Melanostigma	Melanostigm	Npmsg
atlanticum	atlanticum	Agpmsny
atlantski	atlantski	Agpmsny
mekousnik	mekousnik	Ncmsn
lojka	lojka	Ncfsn
Alosa	Alos	Npmsg
agone	agona	Ncfsg
Menticirrhus	Menticirrhus	Npmsn
spp	sti	Vmr3p
.	.	Z
atlantski	atlantski	Rgp
korafi	korafi	Agpfsny
lojka	lojka	Ncfsn
Alosa	Alos	Npmsg
alosa	alos	Npmsg
Merlangius	merlangius	Agpmsny
merlangus	merlangus	Agpmsny
pišmolj	pišmolj	Ncmsn
lojke	lojka	Ncfsg
Alosa	Alos	Npmsg
spp	spp	Qr
.	.	Z

Merluccius	merluccius	Agpmsny
merluccius	merluccius	Agpmsny
oslić	oslić	Ncmsn
,	,	Z
mol	mol	Ncmsan
lokarda	lokarda	Ncfpg
,	,	Z
plavica	plavica	Ncfsn
Scomber	Scomber	Xf
japonicus	japonicus	Xf
Merluccius	Merluccius	Xf
spp	spp	Xf
.	.	Z
oslići	oslić	Ncmpn
lokarda	lokarda	Ncfpg
,	,	Z
plavica	plavica	Ncfsn
Scomber	Scomber	Xf
collias	collias	Xf
Microchirus	Microchirus	Xf
ocellatus	ocellatus	Xf
list	list	Ncmsn
pečatar	pečatar	Agpmsny
lubin	lubin	Ncmsn
,	,	Z
brancin	brancin	Ncmsn
Dicentrarchus	Dicentrarchus	Npmsn
labrax	labrax	Xf
Microchirus	Microchirus	Xf
variegatus	variegatus	Xf
list	list	Ncmsn
prugavac	prugavac	Mlompn
lubini	lubin	Ncmpn
Dicentrarchus	Dicentrarchus	Npmsn
spp	sti	Vmr3p
.	.	Z

Micromesistius	micromesistiu	Agpfpgy
poutassou	poutass	Agpfpgy
ugotica	ugotica	Ncfpg
pučinka	pučinki	Agpfsny
luc	luc	Ncfsn
Euthynnus	Euthynnus	Xf
alletteratus	alletteratus	Xf
Microstomus	Microstomus	Xf
kitt	kit	Agpmsny
iverak	iverak	Ncmsn
limun	limun	Ncmsan
lucevi	lucev	Ncfsg
Euthynnus	Euthynnus	Xf
spp	spp	Xf
.	.	Z

Mobula	mobula	Agpmsny
mobular	mobular	Agpmsny
golub	golub	Ncmsn
uhan	uhan	Agpmsann
lumbrak	lumbrak	Ncmsan
Symphodus	Symphodu	Npmsg
tinca	tinc	Npmsg
Mola	Mol	Npmsg
mola	mol	Ncmsg
bucanj	bucanj	Ncmsn
veliki	velik	Agpmsny
ljuskotrn	ljuskotrn	Ncmsn
Ruvettus	Ruvettus	Xf
pretiosus	pretiosus	Xf
Molva	Molv	Npmsg
macrophthalma	macrophthalma	Agpmsny
manjić	manjić	Ncmsn
morski	morski	Agpmsny
ljuskotrni	ljuskotran	Agpmsny
Lepidoccybium	Lepidoccybium	Npmsn
spp	spp	Agpmsnn
.	.	Z

Molva	molva	Agpmsny
molva	molva	Agpmsny
manjić	manjić	Ncmsn
ljuskotrni	ljuskotran	Agpmsny
Ruvettus	Ruvettus	Npmsn
spp	spp	Agpmsnn
.	.	Z

Molva	molva	Ncfsn
spp	sp	Ncmpg
.	.	Z
manjići	manjić	Agpmsny
mač	mač	Ncmsn
srebrnjak	srebrnjak	Ncmsn
Trachipterus	Trachipterus	Xf
trachypterus	trachypterus	Xf
Monochirus	Monochirus	Xf
hispidus	hispidus	Agpmsny
list	list	Ncmsn
hrapavac	hrapava	Agpfsny
mačka	mačka	Ncfsn
bljedica	bljedica	Ncfpg
Scyliorhinus	Scyliorhinus	Npmsn
canicula	canicula	Sg
Mora	more	Ncnsg
moro	mora	Agpfsny
crnka	crnka	Ncfsn
mačka	mačak	Ncmsg
crnouska	crnouski	Agpfsny
Galeus	Galeus	Xf
melastomus	melastomus	Xf
Morone	Morone	Xf
spp	spp	Xf
.	.	Z
prugasti	prugast	Agpmpny
lubini	lubin	Ncmpn
mačka	mačka	Ncfsn
mrkulja	mrkulj	Ncmsg
Scyliorhinus	Scyliorhinus	Npmsn
stellaris	stellaris	Npmsn
Mugil	Mugil	Npmsn
cephalus	cephalus	Agpmsny
cipal	cipal	Ncmsn
glavaš	glavaš	Ncmsn
madeirska	madeirski	Agpfsny
srdela	srdela	Ncfsn
golema	golem	Agpfsny
Sardinella	Sardinella	Npfsn
maderensis	maderensis	Xf
Mugilidae	Mugilidae	Xf
cipli	cipal	Ncmpn
manjić	manjić	Ncmsn
Molva	Molv	Npmsg
molva	molv	Npmsg
Mullus	Mullu	Npmsg
barbatus	barbatu	Agpfpgy
trlja	trlja	Ncfpg
blatarica	blatarica	Ncfsn
manjić	manjić	Ncmsn
morski	morski	Agpmsny
Molva	Molva	Npmsn
macrophthalma	macrophthalmati	Vmr3s
Mullus	Mullus	Npmsan
spp	spp	Ncmsan
.	.	Z
trlje	trlja	Ncfpa
manjići	manjić	Ncmpn
Molva	Molv	Npmsg
spp	spp	Mro
.	.	Z

Mullus	mullu	Agpfpgy
surmuletus	surmuletus	Agpfpgy
trlja	trlja	Ncfpg
kamenjarka	kamenjarka	Ncfsn
matulčić	matulčii	Agpfsny
Apogon	Apogon	Npfsn
imberbis	imberbis	Agpfsny
Muraena	muraen	Agpfsny
helena	Helena	Agpfsny
murina	murina	Ncfsn
matulčići	matulčić	Ncfsg
Apogon	Apogon	Npfsg
spp	spp	Ncfpg
.	.	Z

Muraena	Muraena	I
spp	spp	I
.	.	Z
murine	murina	Ncfsg
matulčići	matulčić	Ncfsg
Apogonidae	Apogonidaa	Npfsg
Muraenesox	Muraenesox	Npfsg
spp	spp	Ncmsan
.	.	Z
murine	murina	Ncfsg
matuljić	u	Agsmpgy
Callanthias	Callanthias	Xf
ruber	ruber	Xf
