4.3	4.3	Agpmpny
Stropovi	strop	Ncmpn
između	između	Sg
podrumskih	podrumski	Agpmpgy
(	(	Z
podzemnih	podzeman	Agpfpgy
etaža	etaža	Ncfpg
)	)	Z
R	R	Y
60	60	Mdc
REI	REI	Y
60	60	Mdc
REI	REI	Y
90	90	Mdc
REI	REI	Y
90	90	Mdc
REI	REI	Y
90	90	Mdc
5	5	Mdc
Balkonska	balkonski	Agpfsny
ploča	ploča	Ncfsn
BEZ	bez	Sg
ZAHTJEVA	zahtjev	Ncmpg
BEZ	bez	Sg
ZAHTJEVA	zahtjev	Ncmpg
BEZ	bez	Sg
ZAHTJEVA	zahtjev	Ncmpg
R	R	Y
30	30	Mdc
ili	ili	Cc
najmanje	malo	Rgs
A2	A2	Pi-fpa
R	a	Ncfpa
30	30	Mdc
i	i	Cc
najmanje	malo	Rgs
A2	a2	Ncfpg
PREMA	prema	Sl
POSEBNOM	poseban	Agpmsly
PROPISU	propis	Ncmsl

Tablica	tablica	Ncfsn
2.	2.	Mdo
Dozvoljene	dozvoljen	Agpfsgy
površine	površina	Ncfsg
požarnih	požarni	Agpmpgy
i	i	Cc
dimnih	diman	Agpmpgy
odjeljaka	odjeljak	Ncmpg
(	(	Z
m2	m2	Mls
)	)	Z
u	u	Sl
nadzemnim	nadzemni	Agpfply
industrijskim	industrijski	Agpfply
građevinama	građevina	Ncfpl
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
otpornost	otpornost	Ncfsa
konstrukcije	konstrukcija	Ncfsg
i	i	Cc
ugrađene	ugraditi	Agpmpay
sustave	sustav	Ncmpa
,	,	Z
te	te	Cc
broj	broj	Ncmsn
spojenih	spojiti	Appfpgy
nadzemnih	nadzemni	Agpfpgy
etaža	etaža	Ncfpg
.	.	Z

Opremljenost	opremljenost	Ncfsn
sigurnosnim	sigurnosni	Agpmpiy
sustavima	sustav	Ncmpi
Ukupan	ukupan	Agpmsnn
broj	broj	Ncmsn
spojenih	spojiti	Appfpgy
nadzemnih	nadzemni	Agpfpgy
etaža	etaža	Ncfpg
industrijskih	industrijski	Agpfpgy
građevina	građevina	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
4	4	Mdc
>	>	Z
4	4	Mdc
Otpornost	otpornost	Ncfsa
na	na	Sa
požar	požar	Ncmsan
nosivih	nosiv	Agpmpgy
i	i	Cc
ukrutnih	ukrutan	Agpmpgy
elemenata	element	Ncmpg
/	/	Z
dozvoljene	dozvoljen	Agpfsgy
površine	površina	Ncfsg
požarnih	požarni	Agpmpgy
odjeljaka	odjeljak	Ncmpg
u	u	Sl
(	(	Z
m2	ma	Ncfsl
)	)	Z
bez	bez	Sg
zahtijeva	zahtijevati	Vmr3s
R30	R30	X
R30	R30	X
R60	R60	X
(	(	Z
1	1	Mdc
)	)	Z
R90	R90	X
(	(	Z
2	2	Mdc
)	)	Z
R90	R90	X
(	(	Z
2	2	Mdc
)	)	Z
R90	R90	X
(	(	Z
2	2	Mdc
)	)	Z
R90	R90	X
Bez	bez	Sg
sustava	sustav	Ncmsg
1	1	Mdc
800,00	800,00	Mdc
3	3	Mdc
