okolnostima	okolnost	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-nsg
zakona	zakon	Ncmsg
i	i	Cc
djeca	dijete	Ncfpg
mirnodopskih	mirnodopski	Agpfpgy
vojnih	vojni	Agpfpgy
i	i	Cc
civilnih	civilan	Agpmpgy
invalida	invalid	Ncmpg
rata	rat	Ncmsg
I.	I.	Mro
skupine	skupina	Ncfsg
sa	sa	Si
100	100	Mdc
%	%	Z
-	-	Z
tnim	tan	Agpnsiy
oštećenjem	oštećenje	Ncnsi
organizma	organizam	Ncmsg
,	,	Z
koja	koji	Pi-fsn
imaju	imati	Vmr3p
prednost	prednost	Ncfsa
pri	pri	Sl
smještaju	smještaj	Ncmsl
u	u	Sa
učeničke	učenički	Agpmpay
domove	dom	Ncmpa
ako	ako	Cs
im	oni	Pp3-pd
redoviti	redovit	Agpmpny
mjesečni	mjesečan	Agpmpny
prihodi	prihod	Ncmpn
po	po	Sl
članu	član	Ncmsl
kućanstva	kućanstvo	Ncnsg
ne	ne	Qz
prelaze	prelaziti	Vmr3p
60	60	Mdc
%	%	Z
proračunske	proračunski	Agpfsgy
osnovice	osnovica	Ncfsg
,	,	Z
ostvaruju	ostvarivati	Vmr3p
dodatnih	dodatan	Agpmpgy
deset	deset	Mlc
(	(	Z
10	10	Mdc
)	)	Z
bodova	bod	Ncmpg
;	;	Z

–	–	Agpmsny
učenik	učenik	Ncmsn
čiji	čiji	Pi-msn
je	biti	Var3s
roditelj	roditelj	Ncmsn
mirnodopski	mirnodopski	Agpmsny
vojni	vojni	Agpmsny
ili	ili	Cc
civilni	civilan	Agpmsny
invalid	invalid	Ncmsn
rata	rat	Ncmsg
koji	koji	Pi-msn
ima	imati	Vmr3s
oštećenje	oštećenje	Ncnsa
organizma	organizam	Ncmsg
veće	velik	Agcnsny
od	od	Sg
50	50	Mdc
%	%	Z
,	,	Z
ostvaruje	ostvarivati	Vmr3s
dodatnih	dodatan	Agpmpgy
pet	pet	Mlc
(	(	Z
5	5	Mdc
)	)	Z
bodova	bod	Ncmpg
;	;	Z

–	–	Agpmsny
učenik	učenik	Ncmsn
s	sa	Si
posebnim	poseban	Agpmsiy
socijalnim	socijalan	Agpmsiy
statusom	status	Ncmsi
ostvaruje	ostvarivati	Vmr3s
dodatnih	dodatan	Agpmpgy
10	10	Mdc
bodova	bod	Ncmpg
ako	ako	Cs
:	:	Z

–	–	Z
živi	živjeti	Vmr3s
uz	uz	Sa
jednoga	jedan	Agpmsayn
i	i	Cc
/	/	Z
ili	ili	Cc
oba	oba	Mls
roditelja	roditelj	Ncmsg
s	sa	Si
dugotrajnom	dugotrajan	Agpfsiy
teškom	težak	Agpfsiy
bolesti	bolest	Ncfsi
(	(	Z
što	što	Pi3n-n
dokazuje	dokazivati	Vmr3s
liječničkom	liječnički	Agpfsiy
potvrdom	potvrda	Ncfsi
o	o	Sl
dugotrajnoj	dugotrajan	Agpfsly
težoj	težak	Agcfsly
bolesti	bolest	Ncfsl
jednoga	jedan	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
obaju	oba	Ncmsl
roditelja	roditelj	Ncmpg
)	)	Z
;	;	Z

–	–	Z
živi	živjeti	Vmr3s
uz	uz	Sa
dugotrajno	dugotrajan	Agpnsay
nezaposlena	nezaposlen	Agpfsny
oba	oba	Ncfsn
roditelja	roditelj	Ncmsg
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
poticanju	poticanje	Ncnsl
zapošljavanja	zapošljavanje	Ncnsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
57/2012	57/2012	Mds
i	i	Cc
120/2012	120/2012	Mds
)	)	Z
(	(	Z
što	što	Pi3n-n
dokazuje	dokazivati	Vmr3s
potvrdom	potvrda	Ncfsi
o	o	Sl
dugotrajnoj	dugotrajan	Agpfsly
nezaposlenosti	nezaposlenost	Ncfsl
obaju	oba	Ncmsl
roditelja	roditelj	Ncmpg
iz	iz	Sg
područnoga	područni	Agpmsgy
ureda	ured	Ncmsg
Hrvatskoga	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
zapošljavanje	zapošljavanje	Ncnsa
)	)	Z
;	;	Z

–	–	Z
živi	živjeti	Vmr3s
uz	uz	Sa
samohranoga	samohran	Agpmsayn
roditelja	roditelj	Ncmsay
(	(	Z
roditelj	roditelj	Ncmsn
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
braku	brak	Ncmsl
i	i	Cc
ne	ne	Qz
živi	živjeti	Vmr3s
u	u	Sl
izvanbračnoj	izvanbračni	Agpfsly
zajednici	zajednica	Ncfsl
,	,	Z
a	a	Cc
sam	biti	Var1s
se	sebe	Px--sa
skrbi	skrbiti	Vmr3s
o	o	Sl
svome	sav	Ncnsl
djetetu	dijete	Ncnsl
i	i	Cc
uzdržava	uzdržavati	Vmr3s
ga	on	Pp3msa
)	)	Z
korisnika	korisnik	Ncmpg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članaka	članak	Ncmpg
4.	4.	Mdo
,	,	Z
21.	21.	Mdo
i	i	Cc
30.	30.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
socijalnoj	socijalan	Agpfsly
