64.	64.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Mjesečno	mjesečan	Agpnsny
obračunsko	obračunski	Agpnsny
razdoblje	razdoblje	Ncnsn
vezano	vezati	Appnsny
je	biti	Var3s
na	na	Sa
kalendarski	kalendarski	Agpmsayn
mjesec	mjesec	Ncmsan
i	i	Cc
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
:	:	Z

–	–	Ncmsn
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
iz	iz	Sg
kategorije	kategorija	Ncfsg
kućanstvo	kućanstvo	Ncnsa
s	sa	Si
priključnom	priključni	Agpfsiy
snagom	snaga	Ncfsi
do	do	Sg
uključivo	uključivo	Rgp
20	20	Mdc
kW	kW	Y
s	sa	Si
daljinskim	daljinski	Agpnsiy
očitanjem	očitanje	Ncnsi
,	,	Z

–	–	Ncmsn
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
iz	iz	Sg
kategorije	kategorija	Ncfsg
kućanstvo	kućanstvo	Ncnsa
s	sa	Si
priključnom	priključni	Agpfsiy
snagom	snaga	Ncfsi
iznad	iznad	Sg
20	20	Mdc
kW	k	Ncmpg
,	,	Z

–	–	Ncmsn
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
iz	iz	Sg
kategorije	kategorija	Ncfsg
poduzetništvo	poduzetništvo	Ncnsn
,	,	Z

–	–	Z
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
s	sa	Si
pravom	pravo	Ncfsi
na	na	Sa
samoočitanje	samoočitanje	Ncnsa
stanja	stanje	Ncnsg
brojila	brojilo	Ncnsg
,	,	Z

–	–	Z
proizvođača	proizvođač	Ncmsg
i	i	Cc

–	–	Z
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
s	sa	Si
vlastitom	vlastit	Agpfsiy
proizvodnjom	proizvodnja	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Polugodišnje	polugodišnji	Agpnsny
obračunsko	obračunski	Agpnsny
razdoblje	razdoblje	Ncnsn
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
krajnjeg	krajnji	Agpmsgy
kupca	kupac	Ncmsg
iz	iz	Sg
kategorije	kategorija	Ncfsg
kućanstvo	kućanstvo	Ncnsa
s	sa	Si
priključnom	priključni	Agpfsiy
snagom	snaga	Ncfsi
do	do	Sg
uključivo	uključivo	Rgp
20	20	Mdc
kW	kW	Y
bez	bez	Sg
daljinskog	daljinski	Agpnsgy
očitanja	očitanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
65.	65.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
krajnjeg	krajnji	Agpmsayn
kupca	kupac	Ncmsay
s	sa	Si
mjesečnim	mjesečan	Agpnsiy
