mjeri	mjera	Ncfsl
na	na	Sa
dva	dva	Mlc
ili	ili	Cc
više	mnogo	Rgc
obračunskih	obračunski	Agpnpgy
mjernih	mjerni	Agpnpgy
mjesta	mjesto	Ncnpg
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
prijenosnog	prijenosni	Agpmsgy
sustava	sustav	Ncmsg
ili	ili	Cc
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmpg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
u	u	Sl
okviru	okvir	Ncmsl
jedne	jedan	Mlcfsg
građevinske	građevinski	Agpfsgy
lokacije	lokacija	Ncfsg
jednog	jedan	Mlcmsg
vlasnika	vlasnik	Ncmsg
ili	ili	Cc
u	u	Sl
okviru	okvir	Ncmsl
jedne	jedan	Mlcfsg
tehnološke	tehnološki	Agpfsgy
cjeline	cjelina	Ncfsg
za	za	Sa
potrebe	potreba	Ncfpa
elektrovuče	elektrovuča	Ncfpg
,	,	Z
obračunska	obračunski	Agpfsny
vršna	vršni	Agpfsny
radna	radni	Agpfsny
snaga	snaga	Ncfsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
kao	kao	Cs
najveći	velik	Agsmsny
zbroj	zbroj	Ncmsn
vršnih	vršni	Agpfpgy
radnih	radni	Agpfpgy
snaga	snaga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
izmjerenih	izmjeriti	Appmpgy
u	u	Sl
istom	isti	Agpmsly
obračunskom	obračunski	Agpmsly
mjernom	mjerni	Agpmsly
intervalu	interval	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
se	sebe	Px--sa
krajnji	krajnji	Agpmsny
kupac	kupac	Ncmsn
u	u	Sl
okviru	okvir	Ncmsl
jedne	jedan	Mlcfsg
građevinske	građevinski	Agpfsgy
lokacije	lokacija	Ncfsg
jednog	jedan	Mlcmsg
vlasnika	vlasnik	Ncmsg
istovremeno	istovremeno	Rgp
opskrbljuje	opskrbljivati	Vmr3s
električnom	električan	Agpfsiy
energijom	energija	Ncfsi
preko	preko	Sg
obračunskih	obračunski	Agpnpgy
mjernih	mjerni	Agpnpgy
mjesta	mjesto	Ncnpg
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
prijenosnog	prijenosni	Agpmsgy
sustava	sustav	Ncmsg
i	i	Cc
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
obračunska	obračunski	Agpfsny
vršna	vršni	Agpfsny
radna	radni	Agpfsny
snaga	snaga	Ncfsn
se	sebe	Px--sa
određuje	određivati	Vmr3s
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

–	i	Agpnsny
za	za	Sa
mrežu	mreža	Ncfsa
operatora	operator	Ncmsg
prijenosnog	prijenosni	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
kao	kao	Cs
najveći	velik	Agsmsny
zbroj	zbroj	Ncmsn
vršnih	vršni	Agpfpgy
radnih	radni	Agpfpgy
snaga	snaga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
izmjerenih	izmjeriti	Appmpgy
u	u	Sl
istom	isti	Agpmsly
obračunskom	obračunski	Agpmsly
mjernom	mjerni	Agpmsly
intervalu	interval	Ncmsl
na	na	Sl
obračunskim	obračunski	Agpnply
mjernim	mjerni	Agpnply
mjestima	mjesto	Ncnpl
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
prijenosnog	prijenosni	Agpmsgy
sustava	sustav	Ncmsg
i	i	Cc
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z

–	i	Agpnsny
za	za	Sa
mrežu	mreža	Ncfsa
operatora	operator	Ncmsg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
kao	kao	Cs
najveći	velik	Agsmsny
zbroj	zbroj	Ncmsn
vršnih	vršni	Agpfpgy
radnih	radni	Agpfpgy
snaga	snaga	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
ovih	ovaj	Pd-mpg
Općih	opći	Agpmpgy
uvjeta	uvjet	Ncmpg
u	u	Sl
istom	isti	Agpmsly
obračunskom	obračunski	Agpmsly
mjernom	mjerni	Agpmsly
intervalu	interval	Ncmsl
samo	samo	Rgp
na	na	Sl
obračunskim	obračunski	Agpnply
mjernim	mjerni	Agpnply
mjestima	mjesto	Ncnpl
na	na	Sl
mreži	mreža	Ncfsl
operatora	operator	Ncmsg
distribucijskog	distribucijski	Agpmsgy
sustava	sustav	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
potrebe	potreba	Ncfpa
obračuna	obračun	Ncmpg
