muzike	muzika	Ncfpa
i	i	Cc
čardaša	čardaš	Ncmpg
,	,	Z
Kaštel	Kaštel	Npmsn
Stari	star	Agpmsny
3.000,00	3.000,00	Mdc
–	–	Z
Baština	baština	Ncfsn
–	–	Z
1050	1050	Mdc
godina	godina	Ncfpg
povijesti	povijest	Ncfsg
,	,	Z
Kaštel	Kaštel	Npmsn
Stari	star	Agpmsny
5.000,00	5.000,00	Mdc
–	–	Z
Poljski	poljski	Agpmsny
simpozij	simpozij	Ncmsn
u	u	Sl
Slavoniji	Slavonija	Npfsl
na	na	Sa
temu	tema	Ncfsa
:	:	Z
Prva	prvi	Mlofsn
poljska	poljski	Agpfsny
emigracija	emigracija	Ncfsn
5.000,00	5.000,00	Mdc
UKUPNO	ukupno	Rgp
POLJACI	POLJACI	Npmsn
:	:	Z
98.000,00	98.000,00	Mdc
X.	X.	Y
ROMI	Rom	Npmpn
1.	1.	Mdo
UDRUGA	udruga	Ncfsn
ROMA	Rom	Npmsg
ZAGREB	Zagreb	Npmsn
I	i	Cc
ZAGREBAČKE	zagrebački	Agpfsgy
ŽUPANIJE	županija	Ncfsg
40.000,00	40.000,00	Mdc
1.	1.	Mdo
Informiranje	informiranje	Ncnsn
:	:	Z
–	–	Z
»	»	Z
Romano	Romano	Npmsn
Čaćipe	Čaćipe	Npmsn
«	«	Z
,	,	Z
4	4	Mdc
broja	broj	Ncmsg
,	,	Z
A	a	Cc
4	4	Mdc
,	,	Z
48	48	Mdc
str.	str.	Y
,	,	Z
naklada	naklada	Ncfsn
1000	1000	Mdc
40.000,00	40.000,00	Mdc
2.	2.	Mdo
ROMSKO	romski	Agpnsny
KULTURNO	kulturan	Agpnsny
UMJETNIČKO	umjetnički	Agpnsny
DRUŠTVO	društvo	Ncnsn
»	»	Z
DARDA	DARD	Npmsg
«	«	Z
DARDA	DARD	Npmsg
33.000,00	33.000,00	Mdc
1.	1.	Mdo
Kulturni	kulturan	Agpmsny
amaterizam	amaterizam	Ncmsn
:	:	Z
25.000,00	25.000,00	Mdc
–	–	Z
Folklorna	folkloran	Agpfsny
skupina	skupina	Ncfsn
2.	2.	Mdo
Kulturne	kulturan	Agpfsgy
manifestacije	manifestacija	Ncfsg
:	:	Z
–	–	Z
