upravnog	upravan	Agpmsgy
nadzora	nadzor	Ncmsg
i	i	Cc
žalbenog	žalbeni	Agpmsgy
postupka	postupak	Ncmsg
6	6	Mdc
12.2.2.2.	12.2.2.2.	Mds

Odjel	odjel	Ncmsn
kontrole	kontrola	Ncfsg
naknada	naknada	Ncfsn
za	za	Sa
koncesije	koncesija	Ncfpa
,	,	Z
vodnih	vodni	Agpfpgy
naknada	naknada	Ncfpg
i	i	Cc
ulaganja	ulaganje	Ncnsg
5	5	Mdc
12.3.	12.3.	Mds

Sektor	sektor	Ncmsn
međunarodnih	međunarodni	Agpmpgy
projekata	projekat	Ncmpg
1	1	Mdc
12.3.1.	12.3.1.	Y

Služba	služba	Ncfsn
za	za	Sa
pripremu	priprema	Ncfsa
međunarodnih	međunarodni	Agpmpgy
projekata	projekat	Ncmpg
1	1	Mdc
12.3.1.1.	12.3.1.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
programiranje	programiranje	Ncnsa
6	6	Mdc
12.3.1.2.	12.3.1.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
odobravanje	odobravanje	Ncnsa
projekata	projekat	Ncmpg
8	8	Mdc
12.3.2.	12.3.2.	Y

Služba	služba	Ncfsn
za	za	Sa
provedbu	provedba	Ncfsa
međunarodnih	međunarodni	Agpmpgy
projekata	projekat	Ncmpg
1	1	Mdc
12.3.2.1.	12.3.2.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
financijsko	financijski	Agpnsay
praćenje	praćenje	Ncnsa
projekata	projekat	Ncmpg
6	6	Mdc
12.3.2.2.	12.3.2.2.	Y

Odjel	odjel	Ncmsn
za	za	Sa
nadzor	nadzor	Ncmsan
provedbe	provedba	Ncfsg
projekata	projekat	Ncmpg
7	7	Mdc
12.4.	12.4.	Mds

Sektor	sektor	Ncmsn
djelatnosti	djelatnost	Ncfsg
javne	javan	Agpfsgy
vodoopskrbe	vodoopskrba	Ncfsg
i	i	Cc
odvodnje	odvodnja	Ncfsg
1	1	Mdc
12.4.1.	12.4.1.	Mdo

Služba	služba	Ncfsn
djelatnosti	djelatnost	Ncfsg
javne	javan	Agpfsgy
vodoopskrbe	vodoopskrba	Ncfsg
5	5	Mdc
12.4.2.	12.4.2.	Mdo

Služba	služba	Ncfsn
djelatnosti	djelatnost	Ncfsg
javne	javan	Agpfsgy
odvodnje	odvodnja	Ncfsg
5	5	Mdc
UKUPNO	ukupno	Rgp
133	133	Mdc
13.	13.	Mdo

UPRAVA	uprava	Ncfsn
RIBARSTVA	ribarstvo	Ncnsg
Neposredno	neposredan	Agpnsny
u	u	Sl
Upravi	uprava	Ncfsl
1	1	Mdc
13.1.	13.1.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
Ribarski	ribarski	Agpmsayn
monitoring	monitoring	Ncmsan
centar	centar	Ncmsan
,	,	Z
upravljanje	upravljanje	Ncnsa
flotom	flota	Ncfsi
i	i	Cc
prikupljanje	prikupljanje	Ncnsa
podataka	podatak	Ncmpg
1	1	Mdc
13.1.1.	13.1.1.	Y

Služba	služba	Ncfsn
za	za	Sa
ribarsku	ribarski	Agpfsay
statistiku	statistika	Ncfsa
i	i	Cc
upravljanje	upravljanje	Ncnsa
flotom	flota	Ncfsi
–	–	Z
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
Šibenik	Šibenik	Npmsn
2	2	Mdc
Ispostava	ispostava	Ncfsn
Pula	Pula	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Rijeka	Rijeka	Npfsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Zadar	Zadar	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
Ispostava	ispostava	Ncfsn
Split	Split	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
3	3	Mdc
Ispostava	ispostava	Ncfsn
Dubrovnik	Dubrovnik	Npmsn
(	(	Z
samostalni	samostalan	Agpmsny
izvršitelj	izvršitelj	Ncmsn
)	)	Z
1	1	Mdc
13.1.2.	13.1.2.	Y

Služba	služba	Ncfsn
za	za	Sa
Ribarski	ribarski	Agpmsayn
monitoring	monitoring	Ncmsan
centar	centar	Ncmsan
i	i	Cc
program	program	Ncmsan
prikupljanja	prikupljanje	Ncnsg
podataka	podatak	Ncmpg
1	1	Mdc
13.1.2.1.	13.1.2.1.	Y

Odjel	odjel	Ncmsn
za	za	Sa
Ribarski	ribarski	Agpmsayn
monitoring	monitoring	Ncmsan
centar	centar	Ncmsan
6	6	Mdc
13.1.2.2.	13.1.2.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
program	program	Ncmsan
prikupljanja	prikupljanje	Ncnsg
podataka	podatak	Ncmpg
4	4	Mdc
13.2.	13.2.	Mds

Sektor	sektor	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
resursima	resurs	Ncmpi
i	i	Cc
akvakulturu	akvakultura	Ncfsa
1	1	Mdc
13.2.1.	13.2.1.	Mdo

Služba	služba	Ncfsn
za	za	Sa
akvakulturu	akvakultura	Ncfsa
–	–	Z
Područna	područni	Agpfsny
jedinica	jedinica	Ncfsn
