rezultirati	rezultirati	Vmn
daljnjim	daljnji	Agpnsiy
povećanjem	povećanje	Ncnsi
/	/	Z
smanjenjem	smanjenje	Ncnsi
rashoda	rashod	Ncmpg
i	i	Cc
izdataka	izdatak	Ncmpg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
trošak	trošak	Ncmsan
provođenja	provođenje	Ncnsg
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
1	1	Mdc
i	i	Cc
2	2	Mdc
)	)	Z
,	,	Z
ovi	ovaj	Pd-mpn
stupci	stupac	Ncmpn
se	sebe	Px--sa
ne	ne	Qz
popunjavaju	popunjavati	Vmr3p
.	.	Z

Sedamnaesti	sedamnaesti	Mlomsn
stupac	stupac	Ncmsn
Ukupno	ukupno	Rgp
predstavlja	predstavljati	Vmr3s
zbroj	zbroj	Ncmsan
troškova	trošak	Ncmpg
provođenja	provođenje	Ncnsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	Npmsn
+2	+2	Npmsn
)	)	Z
iz	iz	Sg
Izvora	izvor	Ncmsg
1	1	Mdc
,	,	Z
2	2	Mdc
i	i	Cc
8	8	Mdc
te	te	Cc
Ostalih	ostali	Agpmpgy
izvora	izvor	Ncmpg
.	.	Z

Popunjava	popunjavati	Vmr3s
se	sebe	Px--sa
automatski	automatski	Rgp
unosom	unos	Ncmsi
podataka	podatak	Ncmpg
u	u	Sl
petnaesti	petnaesti	Ncfsl
i	i	Cc
šesnaesti	šesnaesti	Mlomsn
stupac	stupac	Ncmsn
.	.	Z

Osamnaesti	osamnaesti	Mlomsn
stupac	stupac	Ncmsn
Ukupni	ukupan	Agpmsny
trošak	trošak	Ncmsn
provedbe	provedba	Ncfsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
predstavlja	predstavljati	Vmr3s
ukupni	ukupan	Agpmsayn
trošak	trošak	Ncmsan
provedbe	provedba	Ncfsg
predloženog	predložen	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
u	u	Sl
godini	godina	Ncfsl
(	(	Z
t	t	X
+2	+2	X
)	)	Z
,	,	Z
a	a	Cc
dobiva	dobivati	Vmr3s
se	sebe	Px--sa
kao	kao	Cs
zbroj	zbroj	Ncmsn
troškova	trošak	Ncmpg
provedbe	provedba	Ncfsg
postojećeg	postojeći	Agpmsgy
propisa	propis	Ncmsg
/	/	Z
akta	akt	Ncmsg
planiranja	planiranje	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
(	(	Z
stupac	stupac	Ncmsn
3	3	Mdc
)	)	Z
i	i	Cc
procjene	procjena	Ncfpa
očekivanog	očekivati	Agpnsgy
povećanja	povećanje	Ncnsg
/	/	Z
