sulfid	sulfid	Ncmsn
i	i	Cc
odgovarajuće	odgovarajući	Agpfsgy
alkilirane	alkilirana	Ncfsg
i	i	Cc
protonirane	protonirana	Ncfsg
soli	sol	Ncfsg
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
:	:	Z

QL	QL	Npmsn
:	:	Z
O-etil-O-2-di-izopropilaminoetil	o-etil-o-2-di-izopropilaminoetil	Agpmsayn
metilfosfonit	metilfosfonit	Ncmsan
(	(	Z
CAS	CAS	Npmsn
57856	57856	Mdc
-	-	Z
11	11	Mdc
-	-	Z
8	8	Mdc
)	)	Z
;	;	Z

3.	3.	Mdo
klorosarin	klorosarin	Ncmsn
:	:	Z
O-izopropil	o-izopropil	Agpmsnn
metilfosfonokloridat	metilfosfonokloridat	Ncmsn
(	(	Z
CAS	CAS	Npmsn
1445	1445	Mdc
-	-	Z
76	76	Mdc
-	-	Z
7	7	Mdc
)	)	Z
;	;	Z

4.	4.	Mdo
klorosoman	klorosoman	Ncmsn
:	:	Z
O-pinakolil	o-pinakolil	Agpmsnn
metilfosfonokloridat	metilfosfonokloridat	Ncmsn
(	(	Z
CAS	CAS	Npmsn
7040	7040	Mdc
-	-	Z
57	57	Mdc
-	-	Z
5	5	Mdc
)	)	Z
;	;	Z

d.	d.	Y
»	»	Z
Agensi	agens	Ncmpn
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
nereda	nered	Ncmpg
«	«	Z
,	,	Z
aktivne	aktivan	Agpfsgy
sastavne	sastavan	Agpfsgy
kemikalije	kemikalija	Ncfsg
i	i	Cc
njihove	njihov	Ps3fpa
kombinacije	kombinacija	Ncfpa
,	,	Z
uključujući	uključivati	Rr
:	:	Z

1.	1.	Mdo
α-bromobenzenacetonitril	α-bromobenzenacetonitril	X
,	,	Z
(	(	Z
bromobenzil	bromobenzil	Agpmsny
cijanid	cijanid	Ncmsn
)	)	Z
(	(	Z
CA	CA	Npfsn
)	)	Z
(	(	Z
CAS	CAS	Npmsn
5798	5798	Mdc
-	-	Z
79	79	Mdc
-	-	Z
8	8	Mdc
)	)	Z
;	;	Z

2.	2.	Mdo
[	[	Z
(	(	Z
2-klorofenil	2-klorofenil	Npmsn
)	)	Z
metilen	metilen	Ncmsan
]	]	Z
propanedinitril	propanedinitril	Ncmsan
,	,	Z
(	(	Z
o-klorobenzilidenemalonoonitril	o-klorobenzilidenemalonoonitril	Npmsn
(	(	Z
CS	CS	Npmsn
