građevinskim	građevinski	Agpnsiy
područjem	područje	Ncnsi
,	,	Z
lokacijom	lokacija	Ncfsi
,	,	Z
trasom	trasa	Ncfsi
i	i	Cc
ostalim	ostali	Agpmpiy
pokazateljima	pokazatelj	Ncmpi
ovoga	ovaj	Pd-msg
Plana	plan	Ncmsg
,	,	Z
a	a	Cc
prikazane	prikazati	Appfpny
su	biti	Var3p
na	na	Sl
kartografskim	kartografski	Agpmply
prikazima	prikaz	Ncmpl
br.	br.	Y
1.	1.	Mdo
Korištenje	korištenje	Ncnsn
i	i	Cc
namjene	namjena	Ncfsg
prostora	prostor	Ncmsg
,	,	Z
br.	br.	Y
2.	2.	Mdo
Infrastrukturni	infrastrukturni	Agpmpny
sustavi	sustav	Ncmpn
i	i	Cc
br.	br.	Y
3.	3.	Mdo
Uvjeti	uvjet	Ncmpn
korištenja	korištenje	Ncnsg
,	,	Z
uređenja	uređenje	Ncnsg
i	i	Cc
zaštite	zaštita	Ncfsg
prostora	prostor	Ncmsg
,	,	Z
u	u	Sl
mjerilu	mjerilo	Ncnsl
1	1	Mdc
:	:	Z
25	25	Mdc
000.	000.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
Građevine	građevina	Ncfsg
od	od	Sg
važnosti	važnost	Ncfsg
za	za	Sa
Državu	država	Ncfsa
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Prometne	prometan	Agpfsgy
građevine	građevina	Ncfsg
:	:	Z

–	–	Sg
cestovne	cestovan	Agpfsgy
građevine	građevina	Ncfsg
;	;	Z
državna	državni	Agpfsny
cesta	cesta	Ncfsn
A1	A1	Xf
,	,	Z
državna	državni	Agpfsny
cesta	cesta	Ncfsn
D8	i	Agpmsgy
,	,	Z
državna	državni	Agpfsny
cesta	cesta	Ncfsn
D39	D39	Npmsn
,	,	Z
državna	državni	Agpfsny
cesta	cesta	Ncfsn
D62	D62	Npmsn
,	,	Z
državna	državni	Agpfsny
cesta	cesta	Ncfsn
D76	D76	Npmsn
i	i	Cc
državna	državni	Agpfsny
cesta	cesta	Ncfsn
D512	D512	Npmsn

–	–	Z
planirani	planiran	Agpmsny
jadransko-jonski	jadransko-jonski	Agpmsny
željeznički	željeznički	Agpmsny
koridor	koridor	Ncmsn
.	.	Z

2.	2.	Mdo
Građevine	građevina	Ncfsg
za	za	Sa
potrebe	potreba	Ncfpa
obrane	obrana	Ncfsg
:	:	Z

–	–	Z
»	»	Z
Kuk	kuk	Ncmsn
0	0	Mdc
«	«	Z
(	(	Z
Gornja	gornji	Agpfsny
Brela	Brela	Npfsn
)	)	Z
.	.	Z

3.	3.	Mdo
Telekomunikacijske	telekomunikacijski	Agpfsgy
građevine	građevina	Ncfsg
:	:	Z

–	–	Npmsn
TV	TV	Npmsn
i	i	Cc
radijski	radijski	Agpmsny
odašiljač	odašiljač	Ncmsn
Biokovo	Biokovo	Npnsn
.	.	Z

4.	4.	Mdo
Vodne	vodni	Agpfsgy
građevine	građevina	Ncfsg
:	:	Z

–	–	Agpmsny
vodoopskrbni	vodoopskrbni	Agpmsny
sustav	sustav	Ncmsn
Makarskog	makarski	Agpnsgy
primorja	primorje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Građevine	građevina	Ncfsg
od	od	Sg
važnosti	važnost	Ncfsg
za	za	Sa
Županiju	županija	Ncfsa
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Prometne	prometan	Agpfsgy
građevine	građevina	Ncfsg
:	:	Z

–	i	Agpfsny
županijska	županijski	Agpfsny
cesta	cesta	Ncfsn
ŽC6199	ŽC6199	Mds

–	–	Z
lokalna	lokalan	Agpfsny
cesta	cesta	Ncfsn
LC67143	LC67143	Qr
.	.	Z

2.	2.	Mdo
Energetske	energetski	Agpfsgy
građevine	građevina	Ncfsg
županijskog	županijski	Agpmsgy
značaja	značaj	Ncmsg
:	:	Z

–	–	Agpmsny
visokonaponski	visokonaponski	Agpmsny
vod	vod	Ncmsn
110	110	Mdc
kV	kV	Y
D167	D167	X
(	(	Z
Kraljevac	Kraljevac	Npmsn
Zagvozd	Zagvozd	Npmsn
)	)	Z

(	(	Z
4	4	Mdc
)	)	Z
Građevine	građevina	Ncfsg
od	od	Sg
važnosti	važnost	Ncfsg
za	za	Sa
Državu	država	Ncfsa
i	i	Cc
Županiju	županija	Ncfsa
određene	odrediti	Appfpny
su	biti	Var3p
kao	kao	Cs
postojeće	postojeći	Agpfsgy
građevine	građevina	Ncfsg
za	za	Sa
koje	koji	Pi-fpa
je	biti	Var3s
određena	određen	Agpfsny
postojeća	postojeći	Agpfsny
građevna	građevni	Agpfsny
čestica	čestica	Ncfsn
ili	ili	Cc
posebni	poseban	Agpmpny
zaštitni	zaštitni	Agpmpny
koridori	koridor	Ncmpn
prema	prema	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
i	i	Cc
sukladno	sukladno	Rgp
prostornim	prostoran	Agpmsiy
i	i	Cc
funkcionalnim	funkcionalan	Agpmpiy
zahtjevima	zahtjev	Ncmpi
.	.	Z

4.	4.	Mdo
RAZMJEŠTAJ	razmještaj	Ncmsan
FUNKCIJA	funkcija	Ncfsn
OD	od	Sg
VAŽNOSTI	važnost	Ncfsg
ZA	za	Sa
UPRAVLJANJE	upravljanje	Ncnsa
PODRUČJEM	područje	Ncnsi

4.1.	4.1.	Mdo

Namjena	namjena	Ncfsn
–	–	Z
korištenje	korištenje	Ncnsn
i	i	Cc
posjećivanje	posjećivanje	Ncnsa
prostora	prostor	Ncmsg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Na	na	Sl
prostoru	prostor	Ncmsl
Parka	park	Ncmsg
