smjeru	smjer	Ncmsd
Slika	slika	Ncfsn
63.	63.	Mdo

Pozdravljanje	pozdravljanje	Ncnsn
rukom	ruka	Ncfsi
kada	kada	Cs
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
nosi	nositi	Vmr3s
kapu	kapa	Ncfsa
bez	bez	Sg
oboda	obod	Ncmsg
ili	ili	Cc
kada	kada	Cs
je	biti	Var3s
bez	bez	Sg
kape	kapa	Ncfsg

Članak	članak	Ncmsn
59.	59.	Mdo

Kada	kada	Rgp
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
nosi	nositi	Vmr3s
kapu	kapa	Ncfsa
s	sa	Si
obodom	obod	Ncmsi
ili	ili	Cc
kacigu	kaciga	Ncfsa
(	(	Z
slika	slika	Ncfsn
64.	64.	Mdo
)	)	Z
,	,	Z
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
pozdravlja	pozdravljati	Vmr3s
rukom	ruka	Ncfsi
tako	tako	Cs
da	da	Cs
odrješito	odrješito	Rgp
podigne	podići	Vmr3s
desnu	desni	Agpfsay
ruku	ruka	Ncfsa
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
vrh	vrh	Ncmsn
prstiju	prst	Ncmpg
kreće	kretati	Vmr3s
uz	uz	Sa
tijelo	tijelo	Ncnsa
u	u	Sa
visinu	visina	Ncfsa
desne	desni	Agpfsgy
sljepoočnice	sljepoočnica	Ncfsg
,	,	Z
dodirujući	dodirivati	Rr
srednjim	srednji	Agpmsiy
prstom	prst	Ncmsi
obod	obod	Agpfsgy
kape	kapa	Ncfsg
ili	ili	Cc
kacige	kaciga	Ncfsg
.	.	Z

Ruka	ruka	Ncfsn
je	biti	Var3s
savijena	saviti	Appfsny
u	u	Sl
laktu	lakat	Ncmsl
,	,	Z
podlaktica	podlaktica	Ncfsn
desne	desni	Agpfsgy
ruke	ruka	Ncfsg
čini	činiti	Vmr3s
ravnu	ravan	Agpfsay
crtu	crta	Ncfsa
s	sa	Si
dlanom	dlan	Ncmsi
i	i	Cc
prstima	prst	Ncmpi
.	.	Z

Dlan	dlan	Ncmsn
je	biti	Var3s
lagano	lagano	Rgp
okrenut	okrenuti	Appmsnn
prema	prema	Sl
licu	lice	Ncnsl
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
vidi	vidjeti	Vmr3s
njegova	njegov	Ps3fsn
unutrašnjost	unutrašnjost	Ncfsn
niti	niti	Cc
palac	palac	Ncmsn
.	.	Z

Lijeva	Lijeva	Npfsn
je	biti	Var3s
ruka	ruka	Ncfsn
kao	kao	Cs
i	i	Qo
u	u	Sl
osnovnome	osnovan	Agpmsly
stavu	stav	Ncmsl
.	.	Z

Slika	slika	Ncfsn
64.	64.	Mdo

Pozdravljanje	pozdravljanje	Ncnsn
rukom	ruka	Ncfsi
kada	kada	Cs
vojna	vojni	Agpfsny
osoba	osoba	Ncfsn
nosi	nositi	Vmr3s
kapu	kapa	Ncfsa
s	sa	Si
obodom	obod	Ncmsi
ili	ili	Cc
kacigu	kaciga	Ncfsa

Članak	članak	Ncmsn
60.	60.	Mdo

Pri	pri	Sl
iskazivanju	iskazivanje	Ncnsl
počasti	počast	Ncfsg
himni	himna	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
kada	kada	Rgp
su	biti	Var3p
u	u	Sl
stroju	stroj	Ncmsl
,	,	Z
vojne	vojni	Agpfpny
osobe	osoba	Ncfpn
pozdravljaju	pozdravljati	Vmr3p
osnovnim	osnovan	Agpmsiy
stavom	stav	Ncmsi
,	,	Z
a	a	Cc
osoba	osoba	Ncfsn
na	na	Sl
čelu	čelo	Ncnsl
stroja	stroj	Ncmsg
pozdravlja	pozdravljati	Vmr3s
rukom	ruka	Ncfsi
.	.	Z

Izvan	izvan	Sg
stroja	stroj	Ncmsg
vojne	vojni	Agpfsgy
osobe	osoba	Ncfsg
pozdravljaju	pozdravljati	Vmr3p
rukom	ruka	Ncfsi
,	,	Z
a	a	Cc
u	u	Sl
zatvorenom	zatvoren	Agpmsly
prostoru	prostor	Ncmsl
počast	počast	Ncfsa
himni	himna	Ncfpg
iskazuju	iskazivati	Vmr3p
osnovnim	osnovan	Agpmsiy
stavom	stav	Ncmsi
.	.	Z

Članak	članak	Ncmsn
61.	61.	Mdo

Kada	kada	Cs
