zakonitosti	zakonitost	Ncfpn
kojemu	koji	Pi-msd
su	biti	Var3p
cilj	cilj	Ncmsan
i	i	Cc
svrha	svrha	Ncfsn
da	da	Cs
nitko	nitko	Pi3m-n
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
podvrgnut	podvrgnuti	Appmsnn
arbitrarnom	arbitraran	Agpmsly
progonu	progon	Ncmsl
,	,	Z
osudi	osuda	Ncfsl
ili	ili	Cc
kazni	kazna	Ncfpg
.	.	Z

Novi	nov	Agpmsny
stavak	stavak	Ncmsn
4.	4.	Mdo
članka	članak	Ncmsg
31.	31.	Mdo

Ustava	ustava	Ncfsn
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
razmatrati	razmatrati	Vmn
zasebno	zasebno	Rgp
i	i	Cc
odvojeno	odvojeno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
tog	taj	Pd-msg
istog	isti	Agpmsgy
članka	članak	Ncmsg
jer	jer	Cs
samo	samo	Rgp
zajedno	zajedno	Rgp
s	sa	Si
njim	on	Pp3msi
čini	činiti	Vmr3s
smislenu	smislen	Agpfsay
normativnu	normativan	Agpfsay
cjelinu	cjelina	Ncfsa
,	,	Z
a	a	Cc
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
izdvajati	izdvajati	Vmn
ni	ni	Qo
iz	iz	Sg
cjelokupnog	cjelokupan	Agpmsgy
teksta	tekst	Ncmsg
Ustava	ustav	Ncmsg
kao	kao	Cs
jedinstvene	jedinstven	Agpfsgy
cjeline	cjelina	Ncfsg
(	(	Z
v.	v.	Y
točke	točka	Ncfsg
80.	80.	Mdo
i	i	Cc
81.	81.	Mdo
)	)	Z
.	.	Z

155.	155.	Mdo

S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
takvo	takav	Pd-nsa
stanje	stanje	Ncnsa
stvari	stvar	Ncfpg
,	,	Z
a	a	Cc
potvrđujući	potvrđivati	Rr
stajalište	stajalište	Ncnsa
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
,	,	Z
sadržano	sadržati	Appnsny
u	u	Sl
presudi	presuda	Ncfsl
broj	broj	Ncmsan
:	:	Z
I	i	Cc
Kž	Kž	Y
423/13	423/13	Mdc
-	-	Z
4	4	Mdc
od	od	Sg
23.	23.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
,	,	Z
prema	prema	Sl
kojem	koji	Pi-msl
bi	biti	Vaa3s
se	sebe	Px--sa
počinjenje	počinjenje	Ncnsn
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
ratnog	ratni	Agpnsgy
profiterstva	profiterstvo	Ncnsg
moglo	moći	Vmp-sn
ocjenjivati	ocjenjivati	Vmn
tek	tek	Rgp
ako	ako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
prethodno	prethodno	Rgp
dokazalo	dokazati	Vmp-sn
postojanje	postojanje	Ncnsn
djela	djelo	Ncnpg
/	/	Z
31	31	Mdc
