kapitalu	kapital	Ncmsd
.	.	Z

Priznavanje	priznavanje	Ncnsn
i	i	Cc
mjerenje	mjerenje	Ncnsa
rashoda	rashod	Ncmpg
ovisi	ovisiti	Vmr3s
o	o	Sl
konceptu	koncept	Ncmsl
kapitala	kapital	Ncmsg
i	i	Cc
očuvanju	očuvanje	Ncnsl
kapitala	kapital	Ncmsg
koje	koji	Pi-mpa
koristi	koristiti	Vmr3s
poduzetnik	poduzetnik	Ncmsn
kod	kod	Sg
sastavljanja	sastavljanje	Ncnsg
i	i	Cc
prezentiranja	prezentiranje	Ncnsg
financijskih	financijski	Agpmpgy
izvještaja	izvještaj	Ncmpg
.	.	Z

Dobit	dobit	Ncfsn
predstavlja	predstavljati	Vmr3s
povećanje	povećanje	Ncnsa
ekonomske	ekonomski	Agpfsgy
koristi	korist	Ncfsg
tijekom	tijekom	Sg
obračunskog	obračunski	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

Dobit	dobit	Ncfsn
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
sučeljavanjem	sučeljavanje	Ncnsi
prihoda	prihod	Ncmpg
i	i	Cc
rashoda	rashod	Ncmpg
.	.	Z

Dobit	dobit	Ncfsn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
i	i	Qo
kao	kao	Cs
mjerilo	mjerilo	Ncnsn
uspješnosti	uspješnost	Ncfsg
ili	ili	Cc
kao	kao	Cs
temelj	temelj	Ncmsn
za	za	Sa
druga	drugi	Agpnpay
mjerenja	mjerenje	Ncnpa
.	.	Z

Gubici	gubitak	Ncmpn
predstavljaju	predstavljati	Vmr3p
smanjenje	smanjenje	Ncnsa
ekonomke	ekonomka	Ncfsg
koristi	koristiti	Vmr3s
tijekom	tijekom	Sg
obračunskog	obračunski	Agpnsgy
razdoblja	razdoblje	Ncnsg
.	.	Z

Gubici	gubitak	Ncmpn
se	sebe	Px--sa
utvrđuju	utvrđivati	Vmr3p
sučeljavanjem	sučeljavanje	Ncnsi
prihoda	prihod	Ncmpg
i	i	Cc
rashoda	rashod	Ncmpg
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
su	biti	Var3p
rashodi	rashod	Ncmpn
veći	velik	Agcmsayn
od	od	Sg
prihoda	prihod	Ncmpg
.	.	Z

1.5.	1.5.	Mdo

MJERENJE	mjerenje	Ncnsn
ELEMENATA	element	Ncmpg
FINANCIJSKIH	financijski	Agpmpgy
IZVJEŠTAJA	izvještaj	Ncmpg

Mjerenje	mjerenje	Ncnsn
je	biti	Var3s
proces	proces	Ncmsn
utvrđivanja	utvrđivanje	Ncnsg
novčanih	novčan	Agpmpgy
iznosa	iznos	Ncmpg
po	po	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
priznaju	priznati	Vmr3p
elementi	element	Ncmpn
financijskih	financijski	Agpmpgy
