zapovjedničkog	zapovjednički	Agpmsgy
i	i	Cc
to	to	Qo
najmanje	malo	Rgs
2,5	2,5	Mdc
%	%	Z
od	od	Sg
broja	broj	Ncmsg
putnika	putnik	Ncmpg
na	na	Sl
brodu	brod	Ncmsl
.	.	Z

.	.	Z
2	2	Mdc
na	na	Sl
putničkim	putnički	Agpmply
brodovima	brod	Ncmpl
u	u	Sl
međunarodnoj	međunarodni	Agpfsly
plovidbi	plovidba	Ncfsl
na	na	Sl
putovanjima	putovanje	Ncnpl
trajanja	trajanje	Ncnsg
24	24	Mdc
sata	sat	Ncmsg
i	i	Cc
više	mnogo	Rgc
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
prsluk	prsluk	Ncmsn
za	za	Sa
spašavanje	spašavanje	Ncnsa
pogodan	pogodan	Agpmsnn
za	za	Sa
dojenče	dojenče	Ncnsa
za	za	Sa
svako	svaki	Agpnsay
dojenče	dojenče	Ncnsa
na	na	Sl
brodu	brod	Ncmsl
.	.	Z

.	.	Z
3	3	Mdc
mora	morati	Vmr3s
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
dovoljan	dovoljan	Agpmsnn
broj	broj	Ncmsn
prsluka	prsluk	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
pogodnih	pogodan	Agpmpgy
za	za	Sa
djecu	dijete	Ncnpa
,	,	Z
i	i	Cc
to	to	Qo
najmanje	malo	Rgs
10	10	Mdc
%	%	Z
od	od	Sg
broja	broj	Ncmsg
putnika	putnik	Ncmpg
na	na	Sl
brodu	brod	Ncmsl
ili	ili	Cc
za	za	Sa
svako	svaki	Agpnsay
dijete	dijete	Ncnsa
na	na	Sl
brodu	brod	Ncmsl
po	po	Sa
jedan	jedan	Mlcmsan
prsluk	prsluk	Ncmsan
za	za	Sa
spašavanje	spašavanje	Ncnsa
(	(	Z
što	što	Pi3n-n
je	biti	Var3s
veće	velik	Agcnsny
)	)	Z
.	.	Z

.	.	Z
4	4	Mdc
mora	morati	Vmr3s
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
dovoljan	dovoljan	Agpmsnn
broj	broj	Ncmsn
prsluka	prsluk	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
za	za	Sa
posadu	posada	Ncfsa
na	na	Sl
straži	straža	Ncfsl
,	,	Z
kao	kao	Cs
i	i	Qo
za	za	Sa
primjenu	primjena	Ncfsa
na	na	Sl
udaljenim	udaljen	Agpfply
stanicama	stanica	Ncfpl
plovila	plovilo	Ncnsg
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
(	(	Z
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
6	6	Mdc
kom	kom	Ncmsan
.	.	Z
)	)	Z
.	.	Z

Prsluci	prsluk	Ncmpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
za	za	Sa
posadu	posada	Ncfsa
na	na	Sl
straži	straža	Ncfsl
moraju	morati	Vmr3p
se	sebe	Px--sa
držati	držati	Vmn
na	na	Sl
mostu	most	Ncmsl
,	,	Z
u	u	Sl
središnjem	središnji	Agpnsly
upravljačkom	upravljački	Agpnsly
mjestu	mjesto	Ncnsl
strojarnice	strojarnica	Ncfsg
i	i	Cc
na	na	Sl
ostalim	ostali	Agpnply
upravljačkim	upravljački	Agpnply
mjestima	mjesto	Ncnpl
sa	sa	Si
stalnom	stalan	Agpfsiy
stražom	straža	Ncfsi
.	.	Z

.	.	Z
5	5	Mdc
ako	ako	Cs
prsluci	prsluk	Ncmpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
za	za	Sa
odrasle	odrastao	Agpmpay
nisu	biti	Var3p
dizajnirani	dizajnirati	Appmpny
za	za	Sa
pretile	pretio	Agpfpay
osobe	osoba	Ncfpa
čiji	čiji	Pi-msn
je	biti	Var3s
opseg	opseg	Ncmsn
struka	struka	Ncfpg
veći	velik	Agcmsny
od	od	Sg
1750	1750	Mdc
mm	mm	Y
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
odgovarajući	odgovarajući	Agpmsny
dodatak	dodatak	Ncmsn
za	za	Sa
pričvršćenje	pričvršćenje	Ncnsa
prsluka	prsluk	Ncmsg
za	za	Sa
takve	takav	Agpfpay
osobe	osoba	Ncfpa
i	i	Cc
to	taj	Pd-nsn
,	,	Z
najmanje	malo	Rgs
,	,	Z
2,5	2,5	Mdc
%	%	Z
od	od	Sg
ukupno	ukupno	Rgp
odobrenog	odobren	Agpmsgy
broja	broj	Ncmsg
osoba	osoba	Ncfpg
na	na	Sl
brodu	brod	Ncmsl
(	(	Z
ne	ne	Qz
manje	malo	Rgc
od	od	Sg
2	2	Mdc
kom	kom	Ncmsan
.	.	Z
)	)	Z
.	.	Z

2.2.2.2	2.2.2.2	Agpmsny
Smještaj	smještaj	Ncmsn
prsluka	prsluk	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
jasno	jasno	Rgp
označen	označiti	Appmsnn
a	a	Cc
prsluci	prsluk	Ncmpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
moraju	morati	Vmr3p
biti	biti	Van
lako	lako	Rgp
dostupni	dostupan	Agpmpny
.	.	Z

Ako	ako	Cs
,	,	Z
zbog	zbog	Sg
posebnog	poseban	Agpmsgy
razmještaja	razmještaj	Ncmsg
na	na	Sl
brodu	brod	Ncmsl
,	,	Z
prsluci	prsluk	Ncmpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
predviđeni	predvidjeti	Appmpny
u	u	Sl
2.2.2.1	2.2.2.a	Ncfsl
,	,	Z
u	u	Sl
određenim	određen	Agpfply
okolnostima	okolnost	Ncfpl
mogu	moći	Vmr3p
biti	biti	Van
nedostupni	nedostupan	Agpmpny
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
dogovorno	dogovorno	Rgp
s	sa	Si
RO	RO	Npmsn
osigurati	osigurati	Vmn
zamjena	zamjena	Ncfsn
.	.	Z

2.2.2.3	2.2.2.3	Pd-mpn
Prsluci	prsluk	Ncmpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
koji	koji	Pi-mpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
u	u	Sl
potpuno	potpuno	Rgp
zatvorenim	zatvoren	Agpfply
brodicama	brodica	Ncfpl
za	za	Sa
spašavanje	spašavanje	Ncnsa
,	,	Z
osim	osim	Sg
brodica	brodica	Ncfpg
za	za	Sa
spašavanje	spašavanje	Ncnsa
koje	koji	Pi-fpn
se	sebe	Px--sa
spuštaju	spuštati	Vmr3p
slobodnim	slobodan	Agpmsiy
padom	pad	Ncmsi
,	,	Z
ne	ne	Qz
smiju	smjeti	Vmr3p
ometati	ometati	Vmn
ulazak	ulazak	Ncmsan
u	u	Sa
brodicu	brodica	Ncfsa
za	za	Sa
spašavanje	spašavanje	Ncnsa
ili	ili	Cc
pristup	pristup	Ncmsan
sjedećim	sjedeći	Agpnply
mjestima	mjesto	Ncnpl
,	,	Z
uključujući	uključivati	Rr
rukovanje	rukovanje	Ncnsa
sigurnosnim	sigurnosni	Agpmpiy
pojasima	pojas	Ncmpi
.	.	Z

2.2.2.4	2.2.2.4	Pd-mpn
Prsluci	prsluk	Ncmpn
za	za	Sa
spašavanje	spašavanje	Ncnsa
koji	koji	Pi-mpn
su	biti	Var3p
odabrani	odabrati	Appmpny
za	za	Sa
brodice	brodica	Ncfpa
za	za	Sa
spašavanje	spašavanje	Ncnsa
koje	koji	Pi-fpn
se	sebe	Px--sa
spuštaju	spuštati	Vmr3p
slobodnim	slobodan	Agpmsiy
padom	pad	Ncmsi
,	,	Z
i	i	Cc
način	način	Ncmsan
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
oni	oni	Pp3mpn
nose	nositi	Vmr3p
,	,	Z
ne	ne	Qz
smiju	smjeti	Vmr3p
ometati	ometati	Vmn
ulazak	ulazak	Ncmsan
u	u	Sa
brodicu	brodica	Ncfsa
,	,	Z
sigurnost	sigurnost	Ncfsn
osoba	osoba	Ncfpg
ili	ili	Cc
rukovanje	rukovanje	Ncnsn
brodicom	brodica	Ncfsi
.	.	Z

2.2.3	2.2.3	Mdc
Hidro-termo	hidro-termo	Agpnsgy
odijela	odijelo	Ncnsg
i	i	Cc
odijela	odijelo	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
od	od	Sg
vremenskih	vremenski	Agpfpgy
nepogoda	nepogoda	Ncfpg

2.2.3.1	2.2.3.1	Mdc
Hidro-termo	Hidro-termo	Sa
odijelo	odijelo	Ncnsa
odgovarajuće	odgovarajući	Agpfsgy
veličine	veličina	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
6.4	6.4	Mdc
ili	ili	Cc
odijelo	odijelo	Ncnsn
za	za	Sa
zaštitu	zaštita	Ncfsa
od	od	Sg
vremenskih	vremenski	Agpfpgy
nepogoda	nepogoda	Ncfpg
odgovarajuće	odgovarajući	Agpfsgy
veličine	veličina	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
6.5	6.5	Mdc
,	,	Z
mora	morati	Vmr3s
se	sebe	Px--sa
predvidjeti	predvidjeti	Vmn
za	za	Sa
svaku	svaki	Agpfsay
osobu	osoba	Ncfsa
određenu	odrediti	Appfsay
za	za	Sa
posadu	posada	Ncfsa
brodica	brodica	Ncfpg
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ili	ili	Cc
za	za	Sa
osoblje	osoblje	Ncnsa
sustava	sustav	Ncmsg
za	za	Sa
napuštanje	napuštanje	Ncnsa
broda	brod	Ncmsg
.	.	Z

Ako	ako	Cs
brod	brod	Ncmsn
stalno	stalno	Rgp
plovi	ploviti	Vmr3s
u	u	Sl
području	područje	Ncnsl
tople	topao	Agpfsgy
klime	klima	Ncfsg
,	,	Z
RO	RO	Npmsn
može	moći	Vmr3s
osloboditi	osloboditi	Vmn
brod	brod	Ncmsan
ovih	ovaj	Pd-mpg
zahtjeva	zahtjev	Ncmpg
.	.	Z

2.3	2.3	Mdc
RASPORED	raspored	Ncmsan
ZA	za	Sa
UZBUNU	uzbuna	Ncfsa
I	i	Cc
UPUTE	uputa	Ncfpa
U	u	Sl
NUŽDI	nužda	Ncfsl

2.3.1	2.3.1	Pd-mpn
Zahtjevi	zahtjev	Ncmpn
ovog	ovaj	Pd-msg
odjeljka	odjeljak	Ncmsg
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
sve	sav	Agpmpay
brodove	brod	Ncmpa
.	.	Z

2.3.2	2.3.i	Agpnsny
Za	za	Sa
svaku	svaki	Pi-fsa
osobu	osoba	Ncfsa
na	na	Sl
brodu	brod	Ncmsl
moraju	morati	Vmr3p
postojati	postojati	Vmn
jasne	jasan	Agpfpay
upute	uputa	Ncfpa
,	,	Z
kojih	koji	Pi-fpg
se	sebe	Px--sa
treba	trebati	Vmr3s
pridržavati	pridržavati	Vmn
u	u	Sl
nuždi	nužda	Ncfsl
.	.	Z

Na	na	Sl
putničkim	putnički	Agpmply
brodovima	brod	Ncmpl
,	,	Z
ove	ovaj	Agpfpny
upute	uputa	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
engleskom	engleski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

2.3.3	2.3.3	Agpmsny
Raspored	raspored	Ncmsn
za	za	Sa
uzbunu	uzbuna	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Sg
7.3.	7.3.	Mro
mora	morati	Vmr3s
se	sebe	Px--sa
izložiti	izložiti	Vmn
na	na	Sl
istaknutim	istaknuti	Agpnply
mjestima	mjesto	Ncnpl
po	po	Sl
cijelom	cijel	Agpmsly
brodu	brod	Ncmsl
,	,	Z
uključivo	uključivo	Rgp
zapovjednički	zapovjednički	Agpmsny
most	most	Ncmsn
,	,	Z
strojarnica	strojarnica	Ncfsn
i	i	Cc
nastambe	nastamba	Ncfsg
za	za	Sa
posadu	posada	Ncfsa
.	.	Z

2.3.4	2.3.4	Pd-mpn
Slikovni	slikovni	Agpmpny
prikazi	prikaz	Ncmpn
i	i	Cc
upute	uputa	Ncfpn
na	na	Sl
hrvatskom	hrvatski	Agpmsly
i	i	Cc
engleskom	engleski	Agpmsly
jeziku	jezik	Ncmsl
moraju	morati	Vmr3p
biti	biti	Van
izloženi	izložiti	Appmpny
u	u	Sl
putničkim	putnički	Agpfply
kabinama	kabina	Ncfpl
i	i	Cc
moraju	morati	Vmr3p
se	sebe	Px--sa
vidljivo	vidljiv	Agpnsny
izložiti	izložiti	Vmn
na	na	Sl
zbornim	zborni	Agpfply
i	i	Cc
drugim	drugi	Mlonpl
mjestima	mjesto	Ncnpl
,	,	Z
radi	radi	Sg
obavještavanja	obavještavanje	Ncnsg
putnika	putnik	Ncmpg
o	o	Sl
:	:	Z

.	.	Z
1	1	Mdc
njihovom	njihov	Agpnsly
zbornom	zborni	Agpnsly
mjestu	mjesto	Ncnsl
;	;	Z

.	.	Z
2	2	Mdc
radnjama	radnja	Ncfpi
koje	koji	Pi-fpn
moraju	morati	Vmr3p
poduzeti	poduzeti	Vmn
u	u	Sl
nuždi	nužda	Ncfsl
;	;	Z
i	i	Cc

.	.	Z
3	3	Mdc
načinu	način	Ncmsl
oblačenja	oblačenje	Ncnsg
prsluka	prsluk	Ncmsg
za	za	Sa
spašavanje	spašavanje	Ncnsa
.	.	Z

2.4	2.i	Agpfpay
UPUTE	uputa	Ncfpa
ZA	za	Sa
RUKOVANJE	rukovanje	Ncnsa

2.4.1	2.4.1	Pd-mpn
Zahtjevi	zahtjev	Ncmpn
ovog	ovaj	Pd-msg
odjeljka	odjeljak	Ncmsg
odnose	odnositi	Vmr3p
se	sebe	Px--sa
na	na	Sa
sve	sav	Agpmpay
brodove	brod	Ncmpa
.	.	Z

2.4.2	2.4.2	Mdc
Plakati	plakati	Vmn
i	i	Cc
natpisi	natpis	Ncmpn
o	o	Sl
uputama	uputa	Ncfpl
za	za	Sa
rukovanje	rukovanje	Ncnsa
moraju	morati	Vmr3p
se	sebe	Px--sa
postaviti	postaviti	Vmn
na	na	Sa
ili	ili	Cc
u	u	Sl
blizini	blizina	Ncfsl
plovila	ploviti	Vmp-sf
za	za	Sa
preživljavanje	preživljavanje	Ncnsa
i	i	Cc
u	u	Sl
blizini	blizina	Ncfsl
uređaja	uređaj	Ncmpg
za	za	Sa
upravljanje	upravljanje	Ncnsa
njihovim	njihov	Agpnsiy
spuštanjem	spuštanje	Ncnsi
,	,	Z
i	i	Cc
moraju	morati	Vmr3p
:	:	Z

.	.	Z
1	1	Mdc
opisati	opisati	Vmn
namjenu	namjena	Ncfsa

