specifične	specifičan	Agpfpny
pozicije	pozicija	Ncfpn
Bruto	bruto	Rgp
kreditna	kreditan	Agpfsny
aktiva	aktiva	Ncfsn
–	–	Z
nakon	nakon	Sg
derivata	derivat	Ncmsg
(	(	Z
valutni	valutni	Agpmpny
forvard	forvard	Ncmsn
ili	ili	Cc
međuvalutni	međuvalutan	Agpmsayn
ugovor	ugovor	Ncmsan
o	o	Sl
razmjeni	razmjena	Ncfsl
)	)	Z
010	010	Mdc
Krediti	kredit	Ncmpn
kućanstvu	kućanstvo	Ncnsd
i	i	Cc
nefinancijskim	nefinancijski	Agpnply
društvima	društvo	Ncnpl
osim	osim	Sg
obratnih	obratan	Agpmpgy
sporazuma	sporazum	Ncmpg
o	o	Sl
povratnoj	povratan	Agpfsly
kupnji	kupnja	Ncfsl
(	(	Z
domaće	domaći	Agpfsgy
aktivnosti	aktivnost	Ncfsg
)	)	Z
Pogledati	pogledati	Vmn
Obrazac	obrazac	Ncmsan
1	1	Mdc
A	a	Cc
,	,	Z
r040	r040	Mdc
+	+	Z
r110	r110	Mdc
020	020	Mdc
Krediti	kredit	Ncmpn
kućanstvu	kućanstvo	Ncnsd
i	i	Cc
nefinancijskim	nefinancijski	Agpnply
društvima	društvo	Ncnpl
osim	osim	Sg
obratnih	obratan	Agpmpgy
sporazuma	sporazum	Ncmpg
o	o	Sl
povratnoj	povratan	Agpfsly
kupnji	kupnja	Ncfsl
(	(	Z
međunarodne	međunarodni	Agpfsgy
aktivnosti	aktivnost	Ncfsg
)	)	Z
Pogledati	pogledati	Vmn
Obrazac	obrazac	Ncmsan
1	1	Mdc
A	a	Cc
,	,	Z
r090	r090	Mdc
+	+	Z
r160	r160	Mdc
030	030	Mdc
Krediti	kredit	Ncmpn
kreditnim	kreditan	Agpfpdy
institucijama	institucija	Ncfpd
i	i	Cc
ostalim	ostali	Agpnply
financijskim	financijski	Agpnply
društvima	društvo	Ncnpl
osim	osim	Sg
obratnih	obratan	Agpmpgy
sporazuma	sporazum	Ncmpg
o	o	Sl
povratnoj	povratan	Agpfsly
kupnji	kupnja	Ncfsl
(	(	Z
poslovanje	poslovanje	Ncnsn
u	u	Sl
RH	RH	Npfsl
i	i	Cc
izvan	izvan	Sg
RH	RH	Npfsg
)	)	Z
Pogledati	pogledati	Vmn
Obrazac	obrazac	Ncmsan
1	1	Mdc
A	a	Cc
,	,	Z
r170	r170	Mdc
040	040	Mdc
2	2	Mdc
C	C	Y
:	:	Z
Ispravak	ispravak	Ncmsn
vrijednosti	vrijednost	Ncfsg
kredita	kredit	Ncmsg
−	−	Z
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
ispravke	ispravka	Ncfpa
vrijednosti	vrijednost	Ncfsg
za	za	Sa
kredite	kredit	Ncmpa
navedene	navesti	Appmpay
u	u	Sl
r010	r01a	Ncfsl
,	,	Z
020	020	Mdc
i	i	Cc
030	030	Mdc
ovog	ovaj	Pd-msg
Obrasca	obrazac	Ncmsg
.	.	Z
050	050	Mdc
2	2	Mdc
C	C	X
:	:	Z
Ostala	ostali	Agpfsny
imovina	imovina	Ncfsn
−	−	Z
razlika	razlika	Ncfsn
imovine	imovina	Ncfsg
u	u	Sl
izvještajnoj	izvještajni	Agpfsly
valuti	valuta	Ncfsl
između	između	Sg
retka	redak	Ncmsg
220	220	Mdc
u	u	Sl
obrascu	obrazac	Ncmsl
1	1	Mdc
A	a	Cc
i	i	Qo
r010	r010	Mdc
do	do	Sg
040	040	Mdc
