ZA	za	Sa
POSEBNE	poseban	Agpfpay
ZADAĆE	zadaća	Ncfpa
0,825	0,825	Mdc
60	60	Mdc
VOĐA	vođa	Ncmsn
SPECIJALISTIČKE	specijalistički	Agpfsgy
GRUPE	grupa	Ncfsg
SPECIJALNE	specijalan	Agpfsgy
POLICIJE	policija	Ncfsg
0,825	0,825	Mdc
60	60	Mdc
VOĐA	vođa	Ncmsn
INTERVENTNE	interventni	Agpfsgy
GRUPE	grupa	Ncfsg
0,825	0,825	Mdc
40	40	Mdc
INTERVENCIJSKI	intervencijski	Agpmsny
TEHNIČAR	tehničar	Ncmsn
SPECIJALNE	specijalan	Agpfsgy
POLICIJE	policija	Ncfsg
0,776	0,776	Mdc
60	60	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
RONILAC	ronilac	Ncmsn
0,776	0,776	Mdc
60	60	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
EKIPE	ekipa	Ncfsg
ZA	za	Sa
POSEBNE	poseban	Agpfpay
ZADAĆE	zadaća	Ncfpa
0,776	0,776	Mdc
60	60	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
SPECIJALNE	specijalan	Agpfsgy
POLICIJE	policija	Ncfsg
0,776	0,776	Mdc
60	60	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
VODIČ	vodič	Ncmsn
SLUŽBENOG	služben	Agpmsgy
PSA	pas	Ncmsg
U	u	Sl
SPECIJALNOJ	specijalan	Agpfsly
JEDINICI	jedinica	Ncfsl
POLICIJE	policija	Ncfsg
0,776	0,776	Mdc
60	60	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
ZA	za	Sa
SPECIJALIZIRANA	specijaliziran	Agpnpay
VOZILA	vozilo	Ncnpa
I	i	Cc
PLOVILA	plovilo	Ncnpa
SPECIJALNE	specijalan	Agpfsgy
POLICIJE	policija	Ncfsg
0,776	0,776	Mdc
60	60	Mdc
POLICIJSKI	policijski	Agpmsny
SLUŽBENIK	službenik	Ncmsn
–	–	Z
VODIČ	vodič	Ncmsn
SLUŽBENOG	služben	Agpmsgy
PSA	pas	Ncmsg
ZA	za	Sa
DETEKCIJU	detekcija	Ncfsa
