potpredsjednica	potpredsjednica	Ncfsn
za	za	Sa
korporativno	korporativan	Agpnsay
upravljanje	upravljanje	Ncnsa
,	,	Z
Podravka	Podravka	Npfsn
d.	d.	Y
d.	d.	Y
,	,	Z
Ante	Ante	Npmsg
Starčevića	Starčević	Npmsg
32	32	Mdc
,	,	Z
Koprivnica	Koprivnica	Npfsn

120.	120.	Mdo

Perkušić	Perkušić	Npmsn
dr.	dr.	Y
sc.	sc.	Y
Ante	Ante	Npmsn
,	,	Z
sudac	sudac	Ncmsn
,	,	Z
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
Trg	trg	Ncmsn
Nikole	Nikola	Npmsg
Šubića	Šubić	Npmsg
Zrinskog	Zrinski	Npmsg
3	3	Mdc
,	,	Z
Zagreb	Zagreb	Npmsn

121.	121.	Mdo

Perović	Perović	Npmsn
Dubravko	Dubravko	Npmsn
,	,	Z
izvršni	izvršan	Agpmsny
direktor	direktor	Ncmsn
pravnih	pravni	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
Agrokor	Agrokor	Npmsn
d.	d.	Y
d.	d.	Y
,	,	Z
Trg	trg	Ncmsn
Dražena	Dražen	Npmsg
Petrovića	Petrović	Npmsg
3	3	Mdc
,	,	Z
Zagreb	Zagreb	Npmsn

122.	122.	Mdo

Petrak	petrak	Ncmsn
dr.	dr.	Y
sc.	sc.	Y
Marko	Marko	Npmsn
,	,	Z
profesor	profesor	Ncmsn
,	,	Z
Pravni	pravni	Agpmsayn
fakultet	fakultet	Ncmsan
Sveučilišta	sveučilište	Ncnsg
u	u	Sl
Zagrebu	Zagreb	Npmsl
,	,	Z
Ćirilometodska	ćirilometodski	Agpfsny
4	4	Mdc
,	,	Z
Zagreb	Zagreb	Npmsn

123.	123.	Mdo

Petrić	Petrić	Npmsn
dr.	dr.	Y
sc.	sc.	Y
Silvija	Silvi	Npmsg
,	,	Z
profesor	profesor	Ncmsn
,	,	Z
Pravni	pravni	Agpmsny
fakultet	fakultet	Ncmsn
Sveučilišta	sveučilište	Ncnsg
u	u	Sl
Splitu	Split	Npmsl
,	,	Z
Ulica	ulica	Ncfsn
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
8	8	Mdc
,	,	Z
Split	Split	Npmsn

124.	124.	Mdo

Petrović	Petrović	Npmsn
dr.	dr.	Y
sc.	sc.	Y
Siniša	Siniš	Npmsg
,	,	Z
profesor	profesor	Ncmsn
,	,	Z
