dvije	dva	Mlcf-n
grupe	grupa	Ncfsg
sudionika	sudionik	Ncmpg
:	:	Z

–	i	Agpfsny
vježbovna	vježbovni	Agpfsny
skupina	skupina	Ncfsn
:	:	Z
sudionici	sudionik	Ncmpn
i	i	Cc
operativne	operativan	Agpfpny
snage	snaga	Ncfpn
sustava	sustav	Ncmsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
koji	koji	Pi-mpn
provode	provoditi	Vmr3p
vježbu	vježba	Ncfsa
sukladno	sukladno	Rgp
svojim	svoj	Px-fpi
nadležnostima	nadležnost	Ncfpi
i	i	Cc
sposobnostima	sposobnost	Ncfpl
te	te	Cc
nisu	biti	Var3p
upoznati	upoznati	Vmn
sa	sa	Si
scenarijem	scenarij	Ncmsi
vježbe	vježba	Ncfsg
zbog	zbog	Sg
realnosti	realnost	Ncfsg
provedbe	provedba	Ncfsg
iste	isti	Agpfsgy
(	(	Z
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
za	za	Sa
pokazne	pokazni	Agpfpay
vježbe	vježba	Ncfpa
)	)	Z

–	i	Agpfsny
upravljačka	upravljački	Agpfsny
skupina	skupina	Ncfsn
:	:	Z
sudionici	sudionik	Ncmpn
i	i	Cc
operativne	operativan	Agpfpny
snage	snaga	Ncfpn
sustava	sustav	Ncmsg
civilne	civilan	Agpfsgy
zaštite	zaštita	Ncfsg
koji	koji	Pi-mpn
planiraju	planirati	Vmr3p
vježbu	vježba	Ncfsa
(	(	Z
izrada	izrada	Ncfsn
elaborata	elaborat	Ncmsg
vježbe	vježba	Ncfsg
i	i	Cc
priprema	pripremati	Vmr3s
vježbovne	vježbovni	Agpfsgy
lokacije	lokacija	Ncfsg
s	sa	Si
potrebnom	potreban	Agpfsiy
logistikom	logistika	Ncfsi
)	)	Z
,	,	Z
prate	pratiti	Vmr3p
njezino	njezin	Ps3nsa
provođenje	provođenje	Ncnsa
,	,	Z
pripremaju	pripremati	Vmr3p
vježbovnu	vježbovni	Agpfsay
skupinu	skupina	Ncfsa
za	za	Sa
provedbu	provedba	Ncfsa
vježbe	vježba	Ncfsg
te	te	Cc
su	biti	Var3p
odgovorni	odgovoran	Agpmpny
za	za	Sa
sigurnost	sigurnost	Ncfsa
na	na	Sl
vježbi	vježba	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
vježbi	vježba	Ncfsl
razlikujemo	razlikovati	Vmr1p
sljedeće	sljedeći	Agpfsgy
funkcije	funkcija	Ncfsg
nadležnih	nadležan	Agpfpgy
osoba	osoba	Ncfpg
:	:	Z

–	–	Agpmsny
koordinator	koordinator	Ncmsn
vježbe	vježba	Ncfsg
:	:	Z
nadležan	nadležan	Agpmsnn
za	za	Sa
rad	rad	Ncmsan
upravljačke	upravljački	Agpfsgy
skupine	skupina	Ncfsg
vježbe	vježba	Ncfsg
i	i	Cc
pripadajućih	pripadajući	Agpmpgy
timova	tim	Ncmpg

–	–	Agpmsny
voditelj	voditelj	Ncmsn
tima	tim	Ncmsg
za	za	Sa
analizu	analiza	Ncfsa
:	:	Z
nadležan	nadležan	Agpmsnn
za	za	Sa
analizu	analiza	Ncfsa
vježbe	vježba	Ncfsg
temeljem	temelj	Sg
definirane	definirati	Agpfsgy
metodologije	metodologija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
na	na	Sa
način	način	Ncmsan
