Niz	niz	Ncmsn
znakova	znak	Ncmpg
999	999	Mdc
010	010	Mdc
;	;	Z
020	020	Mdc
;	;	Z
030	030	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C		Npmsg
14.00	14.00	Mdc
Postotak	postotak	Ncmsn
999	999	Mdc
090	090	Mdc
;	;	Z
150	150	Mdc
;	;	Z
200	200	Mdc
;	;	Z
220	220	Mdc
;	;	Z
410	410	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C	C	X
14.00	14.0i	Agpfsny
Šifra	šifra	Ncfsn
999	999	Mdc
040	040	Mdc
;	;	Z
050	050	Mdc
;	;	Z
060	060	Mdc
;	;	Z
070	070	Mdc
;	;	Z
080	080	Mdc
;	;	Z
110	110	Mdc
;	;	Z
160	160	Mdc
;	;	Z
170	170	Mdc
;	;	Z
190	190	Mdc
;	;	Z
450	450	Mdc
9999	9999	Mdc
efg	ef	Ncmpg
C	C	Npmsn
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
010	010	Mdc
abcd010	abcd010	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
020	020	Mdc
abcd020	abcd020	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
030	030	Mdc
abcd030	abcd030	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
;	;	Z
110	110	Mdc
;	;	Z
210	210	Mdc
;	;	Z
310	310	Mdc
;	;	Z
410	410	Mdc
;	;	Z
510	510	Mdc
;	;	Z
610	610	Mdc
;	;	Z
710	710	Mdc
;	;	Z
810	810	Mdc
;	;	Z
910	910	Mdc
;	;	Z
911	911	Mdc
;	;	Z
912	912	Mdc
;	;	Z
913	913	Mdc
;	;	Z
914	914	Mdc
040	040	Mdc
abcd040	abcd040	Mdc
C	C	Y
17.00	17.00	Mdc
Cijeli	cijel	Agpmsny
broj	broj	Ncmsn
010	010	Mdc
