kapljevine	kapljevina	Ncfpa
adhesives	adhesives	Xf
--	--	Z
Requirements	Requirements	Npmsn
,	,	Z
test	test	Ncmsan
methods	methods	Ncfpg
,	,	Z
evaluation	evaluation	Xf
of	of	Xf
conformity	conformity	Xf
,	,	Z
classification	classification	Xf
and	and	Xf
designation	designation	Xf
1.	1.	Mdo
3.	3.	Mdo
2013.	2013.	Mdo
1.	1.	Mdo
3.	3.	Mdo
2014.	2014.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14891:2012	14891:2012	Mdc
/	/	Z
Ispr	Ispr	Npmsn
.	.	Z
1:2013	1:2013	Mdc
EN	EN	Npmsn
14891:2012	14891:2012	Mdc
/	/	Z
AC	AC	Npmsn
:	:	Z
2012	2012	Mdc
1.	1.	Mdo
3.	3.	Mdo
2013.	2013.	Mdo
1.	1.	Mdo
3.	3.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14904:2006	14904:2006	Mdc
Površine	površina	Ncfsg
sportskih	sportski	Agpmpgy
terena	teren	Ncmpg
--	--	Z
Površine	površina	Ncfsg
u	u	Sl
zatvorenom	zatvoren	Agpmsly
prostoru	prostor	Ncmsl
za	za	Sa
višenamjensku	višenamjenski	Agpfsay
sportsku	sportski	Agpfsay
uporabu	uporaba	Ncfsa
--	--	Z
Specifikacija	specifikacija	Ncfsn
EN	EN	Xf
14904:2006	14904:2006	Xf
Surfaces	Surfaces	Xf
for	for	Xf
sports	sports	Xf
areas	areas	Xf
--	--	Xf
Indoor	Indoor	Xf
surfaces	surfaces	Xf
for	for	Xf
multi-sports	multi-sports	Xf
use	use	Xf
--	--	Xf
Specification	Specification	Xf
1.	1.	Mdo
2.	2.	Mdo
2007.	2007.	Mdo
1.	1.	Mdo
2.	2.	Mdo
2008.	2008.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14909:2012	14909:2012	Mdc
Savitljive	savitljiv	Agpfsgy
hidroizolacijske	hidroizolacijski	Agpfsgy
trake	traka	Ncfsg
--	--	Z
Plastične	plastičan	Agpfsgy
i	i	Cc
elastomerne	elastomeran	Agpfsgy
trake	traka	Ncfsg
za	za	Sa
sprečavanje	sprečavanje	Ncnsa
kapilarnog	kapilaran	Agpnsgy
podizanja	podizanje	Ncnsg
vode	voda	Ncfsg
--	--	Z
Definicije	definicija	Ncfsg
i	i	Cc
značajke	značajka	Ncfsg
EN	EN	Npmsn
14909:2012	14909:2012	Mdc
Flexible	Flexible	Xf
sheets	sheets	Xf
for	for	Xf
waterproofing	waterproofing	Xf
--	--	Z
Plastic	Plastic	Xf
and	and	Xf
rubber	rubber	Xf
damp	damp	Xf
proof	proof	Xf
courses	courses	Xf
--	--	Z
Definitions	Definitions	Xf
and	and	Xf
characteristics	characteristics	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
14909:2008	14909:2008	Mdc
(	(	Z
EN	EN	Npmsn
14909:2006	14909:2006	Mdc
)	)	Z
1.	1.	Mdo
3.	3.	Mdo
2013.	2013.	Mdo
1.	1.	Mdo
7.	7.	Mdo
2013.	2013.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14915:2013	14915:2013	Mdc
Zidne	zidni	Agpfsgy
i	i	Cc
stropne	stropni	Agpfsgy
obloge	obloga	Ncfsg
od	od	Sg
cjelovitoga	cjelovit	Agpnsgy
drva	drvo	Ncnsg
--	-i	Agpfsgy
Značajke	značajka	Ncfsg
,	,	Z
ocjena	ocjena	Ncfsn
sukladnosti	sukladnost	Ncfsg
i	i	Cc
označivanje	označivanje	Ncnsa
EN	EN	Npmsn
14915:2013	14915:2013	Mdc
Solid	Solid	Xf
wood	wood	Xf
panelling	panelling	Xf
and	and	Xf
cladding	cladding	Xf
--	--	Z
Characteristics	Characteristics	Npmsn
,	,	Z
evaluation	evaluation	Xf
of	of	Xf
conformity	conformity	Xf
and	and	Xf
marking	marking	Xf
HRN	HRN	Npmsn
EN	EN	Npmsn
14915:2008	14915:2008	Mdc
(	(	Z
EN	EN	Npmsn
14915:2006	14915:2006	Mdc
)	)	Z
8.	8.	Mdo
8.	8.	Mdo
2014.	2014.	Mdo
8.	8.	Mdo
8.	8.	Mdo
2015.	2015.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14933:2008	14933:2008	Mdc
Toplinsko-izolacijski	toplinsko-izolacijski	Agpmpny
proizvodi	proizvod	Ncmpn
i	i	Cc
proizvodi	proizvoditi	Vmr3s
ispunjeni	ispuniti	Appmpny
laganim	lagan	Agpnsiy
punjenjem	punjenje	Ncnsi
za	za	Sa
primjenu	primjena	Ncfsa
u	u	Sl
građevinarstvu	građevinarstvo	Ncnsl
--	--	Z
Tvornički	tvornički	Agpmpny
izrađeni	izraditi	Appmpny
proizvodi	proizvod	Ncmpn
od	od	Sg
ekspandiranog	ekspandirati	Agpmsgy
polistirena	polistiren	Ncmsg
(	(	Z
EPS	EPS	Npmsn
)	)	Z
--	--	Z
Specifikacija	specifikacija	Ncfsn
EN	EN	Npmsn
14933:2007	14933:2007	Mdc
Thermal	Thermal	Xf
insulation	insulation	Xf
and	and	Xf
light	light	Xf
weight	weight	Xf
fill	fill	Xf
products	products	Xf
for	for	Xf
civil	civil	Xf
engineering	engineering	Xf
applications	applications	Xf
--	--	Z
Factory	Factory	Xf
made	made	Xf
products	products	Xf
of	of	Xf
expanded	expanded	Xf
polystyrene	polystyrene	Xf
(	(	Z
EPS	EPS	Npmsn
)	)	Z
--	--	Z
Specification	Specification	Xf
1.	1.	Mdo
7.	7.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
7.	7.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14934:2008	14934:2008	Mdc
Toplinsko-izolacijski	toplinsko-izolacijski	Agpmpny
proizvodi	proizvod	Ncmpn
i	i	Cc
proizvodi	proizvoditi	Vmr3s
ispunjeni	ispuniti	Appmpny
laganim	lagan	Agpnsiy
punjenjem	punjenje	Ncnsi
za	za	Sa
primjenu	primjena	Ncfsa
u	u	Sl
građevinarstvu	građevinarstvo	Ncnsl
--	--	Z
Tvornički	tvornički	Agpmpny
izrađeni	izraditi	Appmpny
proizvodi	proizvod	Ncmpn
od	od	Sg
ekstrudirane	ekstrudirana	Ncfsg
polistirenske	polistirenski	Agpfsgy
pjene	pjena	Ncfsg
(	(	Z
XPS	XPS	Npmsn
)	)	Z
--	--	Z
Specifikacija	specifikacija	Ncfsn
EN	EN	Npmsn
14934:2007	14934:2007	Mdc
Thermal	Thermal	Xf
insulation	insulation	Xf
and	and	Xf
light	light	Xf
weight	weight	Xf
fill	fill	Xf
products	products	Xf
for	for	Xf
civil	civil	Xf
engineering	engineering	Xf
applications	applications	Xf
--	--	Z
Factory	Factory	Xf
made	made	Xf
products	products	Xf
of	of	Xf
extruded	extruded	Xf
polystyrene	polystyren	Agpfsgy
foam	foaa	Ncfsg
(	(	Z
XPS	XPS	Npmsn
)	)	Z
--	--	Z
Specification	Specification	Xf
1.	1.	Mdo
7.	7.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
7.	7.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14963:2008	14963:2008	Mdc
Krovne	krovni	Agpfpny
obloge	obloga	Ncfpn
--	--	Z
Neprekinuti	neprekinut	Agpmsny
plastični	plastičan	Agpmsny
svjetlarnici	svjetlarnik	Ncmpn
nosivih	nosiv	Agpmpgy
profila	profil	Ncmpg
ili	ili	Cc
bez	bez	Sg
njih	oni	Pp3-pg
--	--	Z
Klasifikacija	klasifikacija	Ncfsn
,	,	Z
zahtjevi	zahtjev	Ncmpn
i	i	Cc
metode	metoda	Ncfpn
ispitivanja	ispitivanje	Ncnsg
EN	EN	Npmsn
14963:2006	14963:2006	Npmsn
Roof	Roof	Npmsn
coverings	coverings	Xf
--	--	Z
Continuous	Continuous	Npmsn
rooflights	rooflights	Xf
of	of	Xf
plastics	plastics	Xf
with	with	Xf
or	or	Xf
without	without	Xf
upstands	upstands	Xf
--	--	Z
Classification	Classification	Xf
,	,	Z
requirements	requirements	Agpmsny
and	and	Agpmsny
test	test	Ncmsn
methods	methoda	Ncfsg
1.	1.	Mdo
8.	8.	Mdo
2009.	2009.	Mdo
1.	1.	Mdo
8.	8.	Mdo
2012.	2012.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14964:2008	14964:2008	Mdc
Krute	krut	Agpfsgy
podloge	podloga	Ncfsg
za	za	Sa
prekidano	prekidati	Agpnsay
pokrivanje	pokrivanje	Ncnsa
krovova	krov	Ncmpg
--	-i	Agpfsgy
Definicije	definicija	Ncfsg
i	i	Cc
značajke	značajka	Ncfsg
EN	EN	Npmsn
14964:2006	14964:2006	Mdc
Rigid	Rigid	Xf
underlays	underlays	Xf
for	for	Xf
discontinuous	discontinuous	Xf
roofing	roofing	Xf
--	--	Z
Definitions	Definitions	Xf
and	and	Xf
characteristics	characteristics	Xf
1.	1.	Mdo
1.	1.	Mdo
2008.	2008.	Mdo
1.	1.	Mdo
1.	1.	Mdo
2009.	2009.	Mdo

HRN	HRN	Npmsn
EN	EN	Npmsn
14967:2008	14967:2008	Mdc
Savitljive	savitljiv	Agpfsgy
hidroizolacijske	hidroizolacijski	Agpfsgy
trake	traka	Ncfsg
--	--	Z

